countyFIPS,population,Total_cases
0,0,0
1001,55869,8698
1003,223234,15327
1005,24686,6160
1007,22394,3583
1009,57826,3276
1011,10101,6087
1013,19448,15376
1015,113605,8629
1017,33254,22264
1019,26196,1756
1021,44428,5185
1023,12589,5861
1025,23622,5457
1027,13235,1684
1029,14910,1025
1031,52342,10561
1033,55241,6663
1035,12067,1698
1037,10663,2206
1039,37049,3882
1041,13772,3034
1043,83768,6443
1045,49172,4489
1047,37196,10609
1049,71513,10800
1051,81209,14334
1053,36633,2920
1055,102268,12948
1057,16302,735
1059,31362,20149
1061,26271,1473
1063,8111,4766
1065,14651,6675
1067,17205,3114
1069,105882,9697
1071,51626,4388
1073,658573,93890
1075,13805,1181
1077,92729,7048
1079,32924,2084
1081,164542,31473
1083,98915,5454
1085,9726,9604
1087,18068,3811
1089,372909,20668
1091,18863,6896
1093,29709,6650
1095,96774,33616
1097,413210,105854
1099,20733,2034
1101,226486,66474
1103,119679,11820
1105,8923,1689
1107,19930,5226
1109,33114,8535
1111,22722,6595
1113,57961,7531
1115,89512,6557
1117,217702,28374
1119,12427,8906
1121,79978,5729
1123,40367,22174
1125,209355,31456
1127,63521,14545
1129,16326,3391
1131,10373,6814
1133,23629,3029
0,0,82
2013,3337,0
2016,5634,0
2020,288000,14821
2050,18386,123
2060,836,0
2068,2097,0
2070,4916,0
2090,96849,6274
2100,2530,7
2105,2148,0
2110,31974,2081
2122,58708,2574
2130,13901,1304
2150,12998,66
2158,8314,0
2164,1592,0
2170,108317,1668
2180,10004,121
2185,9832,19
2188,7621,63
2195,3266,253
2198,6203,129
2220,8493,98
2230,1183,0
2240,6893,148
2261,9202,0
2270,0,0
2275,2502,11
2282,579,0
2290,5230,75
0,0,6
4001,71887,60352
4003,125922,4376
4005,143476,53905
4007,54018,1566
4009,38837,1427
4011,9498,277
4012,21108,3792
4013,4485414,500689
4015,212181,16666
4017,110924,84974
4019,1047279,126000
4021,462789,44751
4023,46498,13467
4025,235099,13946
4027,213787,46415
0,0,11296
5001,17486,238
5003,19657,1323
5005,41932,527
5007,279141,23911
5009,37432,372
5011,10763,1076
5013,5189,0
5015,28380,1057
5017,10118,961
5019,22320,2654
5021,14551,274
5023,24919,5928
5025,7956,1035
5027,23457,1051
5029,20846,868
5031,110332,10133
5033,63257,1082
5035,47955,18203
5037,16419,2340
5039,7009,101
5041,11361,1118
5043,18219,1141
5045,126007,6658
5047,17715,187
5049,12477,247
5051,99386,8925
5053,18265,1096
5055,45325,2322
5057,21532,854
5059,33771,1634
5061,13202,1244
5063,37825,1428
5065,13629,715
5067,16719,187
5069,66824,23543
5071,26578,2656
5073,6624,529
5075,16406,4249
5077,8857,2853
5079,13024,51559
5081,12259,390
5083,21466,360
5085,73309,3115
5087,16576,1072
5089,16694,83
5091,43257,2810
5093,40651,3220
5095,6701,299
5097,8986,68
5099,8252,864
5101,7753,192
5103,23382,588
5105,10455,645
5107,17782,748
5109,10718,280
5111,23528,1831
5113,19964,1091
5115,64072,6478
5117,8062,186
5119,391911,48806
5121,17958,1413
5123,24994,24043
5125,122437,5974
5127,10281,89
5129,7881,505
5131,127827,2345
5133,17007,7213
5135,17442,1676
5137,12506,631
5139,38682,6969
5141,16545,2187
5143,239187,24694
5145,78753,2811
5147,6320,95
5149,21341,4997
0,0,32
6000,0,2121
6001,1671329,165614
6003,1129,147
6005,39752,649
6007,219186,2303
6009,45905,1048
6011,21547,308
6013,1153526,81532
6015,27812,1253
6017,192843,4737
6019,999101,78596
6021,28393,716
6023,135558,5539
6025,181215,76580
6027,18039,1397
6029,900202,104299
6031,152940,37299
6033,64386,926
6035,30573,141
6037,10039107,2524669
6039,157327,5998
6041,258826,25389
6043,17203,709
6045,86749,1251
6047,277680,13984
6049,8841,0
6051,14444,2284
6053,434061,28583
6055,137744,6307
6057,99755,3149
6059,3175692,291364
6061,398329,14189
6063,18807,293
6065,2470546,388590
6067,1552058,87073
6069,62808,4999
6071,2180085,238374
6073,3338330,371319
6075,881549,138643
6077,762148,51748
6079,283111,16333
6081,766573,112380
6083,446499,77361
6085,1927852,186498
6087,273213,11900
6089,180080,2493
6091,3005,24
6093,43539,522
6095,447643,26560
6097,494336,27187
6099,550660,37548
6101,96971,2848
6103,65084,277
6105,12285,43
6107,466195,85999
6109,54478,226
6111,846006,56459
6113,220500,12581
6115,78668,1721
0,0,8784
8001,517421,156288
8003,16233,2934
8005,656590,222084
8007,14029,547
8009,3581,838
8011,5577,71
8013,326196,51516
8014,70465,12969
8015,20356,4537
8017,1831,189
8019,9700,1068
8021,8205,88
8023,3887,343
8025,6061,2218
8027,5068,149
8029,31162,3395
8031,727211,281143
8033,2055,0
8035,351154,41600
8037,55127,41995
8039,26729,2712
8041,720403,89451
8043,47839,1480
8045,60061,8129
8047,6243,160
8049,15734,580
8051,17462,12213
8053,820,215
8055,6897,175
8057,1392,0
8059,582881,119030
8061,1406,0
8063,7097,1574
8065,8127,1542
8067,56221,4860
8069,356899,31651
8071,14506,278
8073,5701,205
8075,22409,25541
8077,154210,3545
8079,769,156
8081,13283,445
8083,26183,2013
8085,42758,8916
8087,29068,30244
8089,18278,889
8091,4952,439
8093,18845,1110
8095,4265,630
8097,17767,4378
8099,12172,536
8101,168424,13767
8103,6324,75
8105,11267,1200
8107,25638,4118
8109,6824,2072
8111,728,42
8113,8179,1431
8115,2248,0
8117,31011,11713
8119,25388,2088
8121,4908,1290
8123,324492,137717
8125,10019,1231
0,0,25261
9001,943332,886496
9003,891720,506084
9005,180333,75567
9007,162436,56897
9009,854757,604473
9011,265206,51972
9013,150721,40965
9015,116782,18565
0,0,2055
10001,180786,69029
10003,558753,177565
10005,234225,199508
11001,705749,430046
0,0,3520
12001,269043,23164
12003,29210,1780
12005,174705,5875
12007,28201,3205
12009,601942,23598
