State,countyFIPS,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,population
AK,64610,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.366969906157516e-06,1.366969906157516e-06,1.366969906157516e-06,1.366969906157516e-06,4.100909718472548e-06,8.201819436945095e-06,8.201819436945095e-06,1.366969906157516e-05,2.1871518498520257e-05,2.733939812315032e-05,3.1440307841622863e-05,5.057788652782809e-05,5.741273605861567e-05,8.065122446329344e-05,9.43209235248686e-05,0.00011619244202338885,0.00013943093042806664,0.00015583456930195683,0.0001626694188327444,0.00018180699751894962,0.00019410972667436725,0.00020094457620515484,0.00021461427526673,0.00023375185395293523,0.00025288943263914045,0.00026109125207608556,0.0002911645900115509,0.0003089351987915986,0.00032260489785317374,0.0003376415668209064,0.0003526782357886391,0.00037318278438100183,0.00038001763391178945,0.00039095339316104954,0.0004018891524103097,0.0004114579417534123,0.0004237606709088299,0.00043059552043961754,0.0004374303699704051,0.00044016430978272014,0.0004511000690319803,0.00045930188846892534,0.0004620358282812404,0.0004647697680935554,0.0004647697680935554,0.00046750370790587045,0.0004729715875305005,0.00048117340696744563,0.00048664128659207565,0.00048664128659207565,0.0004989440157474933,0.0005003109856536508,0.0005044118953721234,0.0005071458351844384,0.0005085128050905959,0.0005098797749967535,0.0005126137148090685,0.000516714624527541,0.0005180815944336985,0.000519448564339856,0.0005221825041521711,0.0005249164439644861,0.0005249164439644861,0.0005303843235891162,0.0005303843235891162,0.0005303843235891162,0.0005426870527445338,0.0005467879624630064,0.0005467879624630064,0.0005495219022753214,0.0005495219022753214,0.0005522558420876365,0.0005577237217122665,0.0005577237217122665,0.000559090691618424,0.000561824631430739,0.0005631916013368966,0.0005809622101169443,0.0005877970596477319,0.000593264939272362,0.0006288061568324574,0.0006383749461755599,0.0006657143442987103,0.0006903198026095456,0.0007012555618588057,0.0007162922308265383,0.0007326958697004285,0.0007436316289496887,0.0007696040571666814,0.0007832737562282567,0.0008106131543514069,0.0008338516427560847,0.0008543561913484474,0.0008912643788147004,0.0009035671079701181,0.0009076680176885905,731545
AL,71489,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019745328801585e-06,2.243439723363487e-06,4.486879446726974e-06,5.914522907049193e-06,7.954013564652364e-06,1.0401402353776167e-05,1.5908027129304727e-05,2.1618600970593604e-05,2.671732761460153e-05,3.405949398197294e-05,3.9974016889022137e-05,4.935567391399672e-05,7.872433938348236e-05,0.00010829695391872833,0.00013032345302084258,0.0001462314801501473,0.00016825797925226155,0.0001919160708804583,0.00020333721856303607,0.0002255676667309106,0.0002590153135156026,0.0003128578668763263,0.00033284487532083735,0.0003752662809989833,0.00040850997871791497,0.0004480760974754165,0.0005096687153350322,0.0005788074486277796,0.0006132748407412733,0.0006652818525101541,0.0007305455535534555,0.0007750064498892046,0.0008058027588190125,0.0008641321916264632,0.0008973758893453949,0.0009208300319078314,0.000962435641322936,0.0009987385750282725,0.0010348375596678486,0.0010843971826476056,0.0011417068701262546,0.0011880033080538467,0.0012289970702716703,0.0012671355455688496,0.0013087411549839543,0.0013332150428751923,0.001375432499487578,0.0014105117387983525,0.0014404922514651192,0.0014876044856557524,0.0015522563395017727,0.0016081383835200996,0.001654026923316171,0.0017205143187540343,0.0017725213305229152,0.0018449232488678277,0.001913858033094815,0.001971779567770745,0.002016852311303775,0.002072938304387862,0.0021349388203789985,0.0021820510545696318,0.002262610935544957,0.00232236801181273,0.0023802895464886597,0.0024000726058674106,0.0024632968162531087,0.0025236657397181626,0.002661331359106377,0.0027349569718458514,0.0027879837289435335,0.0028862871786400064,0.002958689096984919,0.003098802105162257,0.0031913949810174406,0.0032690995750721216,0.0033759688855305274,0.003473456538963959,0.003540147883467583,0.0036402868747558983,0.003721254653862744,0.0037581694347653617,0.0037838670170511615,0.0038273081680581093,0.0038899205312465266,0.004019632137070088,0.004112836860122553,0.004199311264004927,0.00429741076463564,0.0044106024961326155,0.004583551303897365,0.004758743551385477,0.004939646372714878,0.0051466546744616,0.005358149855655049,4903185
AR,380625,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3136678193812457e-07,1.6568339096906226e-06,2.6509342555049966e-06,3.976401383257495e-06,5.301868511009993e-06,7.29006920263874e-06,9.278269894267488e-06,1.2260570931710608e-05,2.0544740480163722e-05,3.313667819381245e-05,3.9101280268698695e-05,5.467551901979055e-05,6.362242213211992e-05,7.356342559026365e-05,9.808456745368486e-05,0.00010868830447570485,0.0001242625432267967,0.00013354081312106419,0.00014745821796246543,0.00016700885809681478,0.00018556539788534975,0.00020577877158357535,0.00022466667815404845,0.00024256048437870716,0.00024521141863421216,0.0002826558649932202,0.00030717700685664145,0.00033037268159231015,0.00035688202414736015,0.00037974633210109075,0.00039797150510768756,0.0004065870414380788,0.0004228240137530469,0.00048777190301291934,0.0004953933389974962,0.0005278672836274324,0.0005351573528300711,0.0005600098614754305,0.0005885074047221092,0.0005895015050679236,0.0006524611936361672,0.0007488889271801615,0.0007922979756140558,0.0008608908994752475,0.0009301465569003155,0.0009632832350941281,0.0009934376122504975,0.0010153078198584136,0.0010345270932108248,0.0010607050689839367,0.0010832380101557292,0.0010948358475235634,0.0011127296537482222,0.0011322802938825715,0.001146860432287849,0.0011670738059860746,0.0011952399824508152,0.0012234061589155559,0.0012409685983582764,0.0012409685983582764,0.001327786695226065,0.001338059065466147,0.0013788171796445363,0.0014033383215079575,0.0014464160031599136,0.0014785585810079117,0.001516334394148858,0.0015766431484615965,0.0015945369546862553,0.001630987300699449,0.001657496643254499,0.0018079371622544075,0.0018589676466728787,0.0019126490653468549,0.0019616913490736972,0.001997478961523015,0.0020468526120317955,0.002079989290225608,0.0021641564528378913,0.002245341314412732,0.002322881141386253,0.002403071902615279,0.0024660315911835227,0.0025896314008464435,0.00267147899598516,0.002790771037482885,0.0028666540305467155,0.0030157690824188714,0.0031228005529848855,0.0032261869889495805,0.003338851694808543,0.003434948061570599,0.003583400379878879,0.003825960864257586,0.004007549860759678,0.004141753407444619,0.004280264722294755,3017804
AZ,60208,64,0.0,0.0,0.0,0.0,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,1.373868499077516e-07,2.747736998155032e-07,5.495473996310064e-07,5.495473996310064e-07,8.243210994465096e-07,8.243210994465096e-07,1.373868499077516e-06,1.373868499077516e-06,1.373868499077516e-06,1.6486421988930192e-06,1.6486421988930192e-06,2.472963298339529e-06,2.747736998155032e-06,3.709444947509293e-06,6.04502139594107e-06,8.65537154418835e-06,1.4150845540498415e-05,2.0882801185978242e-05,3.214852287841388e-05,4.478811306992702e-05,5.509212681300839e-05,6.979251975313781e-05,9.108748148883931e-05,0.00010620003497869199,0.00012625851506522373,0.00015854442479354536,0.00017709164953109182,0.00019426500576956077,0.00021926941245277155,0.00024303733748681257,0.00027724666311384273,0.00031173076244068836,0.00033742210337343794,0.00035377113851246036,0.0003745165528485309,0.0004146335130215943,0.0004274104900630152,0.0004661535817370012,0.0004862120618235329,0.0005084687315085887,0.0005228943507489026,0.0005443266993345119,0.0005816959225094202,0.0006192025325342364,0.000648191157864772,0.0006770423963453998,0.0006957270079328541,0.0007214183488656037,0.000749994813646416,0.0007924473502679112,0.0008302287339925429,0.00086278941742068,0.0008965865824979869,0.0009226900839804597,0.0009545638331590581,0.0009894600930356271,0.0010507346280944842,0.0010937367121156105,0.0011491036126284344,0.0011870223832029737,0.0012253533143272365,0.001278247251541721,0.001333476765204637,0.001366174835482682,0.0014461339821289934,0.0015057598749889576,0.0015274669972743823,0.0015633249651003055,0.001612234683667465,0.0016726848976268756,0.001741103548880936,0.001809110039585273,0.001872720151092562,0.001914760527164334,0.0019467716631928402,0.00200117685575631,0.0020466519030757756,0.0021040796063372157,0.0021441965665102793,0.0022035476856704277,0.002244763740642753,0.0022751262344723666,0.0023056261151518874,0.0023714344162577006,0.0024404026149113917,0.002536848183546633,0.0026453837949737572,0.0027640860332940544,0.0027646355806936855,0.002919333173689814,0.0030527358049502406,0.003125962995951072,0.0033427594451055044,0.003496632717002186,0.0036941950071695327,0.003802455844896841,0.0038874983049897393,0.004101272243446201,0.004295125088666038,0.004522500325263367,0.004734076074121305,0.004903474060057563,0.005042784325864022,7278717
CA,357364,360,0.0,0.0,0.0,0.0,5.061724823733658e-08,7.592587235600488e-08,7.592587235600488e-08,1.0123449647467317e-07,1.0123449647467317e-07,1.0123449647467317e-07,1.0123449647467317e-07,1.0123449647467317e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.5185174471200975e-07,1.7716036883067803e-07,1.7716036883067803e-07,2.0246899294934633e-07,2.0246899294934633e-07,2.0246899294934633e-07,2.0246899294934633e-07,2.0246899294934633e-07,2.2777761706801463e-07,2.2777761706801463e-07,2.2777761706801463e-07,3.037034894240195e-07,3.037034894240195e-07,3.037034894240195e-07,3.290121135426878e-07,3.290121135426878e-07,3.7962936178002436e-07,4.0493798589869266e-07,4.5555523413602926e-07,5.567897306107024e-07,5.567897306107024e-07,7.592587235600487e-07,8.604932200347219e-07,1.214813957696078e-06,1.569134695357434e-06,1.999381305374795e-06,3.011726270121527e-06,3.315429759545546e-06,4.909873079021649e-06,5.593205930225692e-06,8.250611462685863e-06,8.908635689771239e-06,1.0275301392179327e-05,1.275554655580882e-05,1.571665557769301e-05,1.8728381847814535e-05,2.3359860061530832e-05,2.80166468993658e-05,3.3356766588404806e-05,4.041787271751326e-05,4.56567579100776e-05,5.3274653769796754e-05,6.547341059499487e-05,7.56727861148182e-05,8.903573964947505e-05,0.0001105480701503431,0.0001322628696441605,0.0001533196449108925,0.00016974494196390823,0.00019343381413898175,0.000223095521606061,0.0002574393245350939,0.00028844238908046254,0.00032281150063361404,0.0003557127119878828,0.0003886392319662703,0.0004187311860433669,0.00044811449864514075,0.0004856978054613632,0.0005147014887013571,0.0005458057877432003,0.000571013177365394,0.0005930569889727541,0.000618466847587897,0.0006544557110846434,0.0006857877877435547,0.0007118303619616644,0.0007445797215712212,0.0007802395729544247,0.00079952474453285,0.0008571777902751763,0.0009064030641859862,0.0009538314257843706,0.001001107935638043,0.0010456764227110178,0.0010772615856111157,0.0011053035411346002,0.001143241168688484,0.00117467447984387,0.0012349343138704193,0.0012735805828996258,0.0013224515360727742,0.0013589718806760126,0.0013906329694484665,0.00142211689785209,0.0014869322842199994,0.0015362587926272839,0.0015785748121536973,0.0016341019334700556,0.0016905907825029232,0.0017208598969488504,0.0017568487604455968,0.0017978740401419582,0.0018498832627058214,0.0018961221189706284,0.001947726403548593,0.001994193037430468,0.0020291189387142304,0.002073080018808357,0.0021226343048327094,0.0021788700676243907,0.002235358916657258,0.00229746628024447,0.0023451983453322786,0.0023903742393841013,0.0024466606194240197,0.0025270914268731475,0.0025783666993375695,0.0026324512290791637,0.002699190070880092,0.002787390625933651,0.0028523578640462723,0.002915730658839418,0.0029742948150500164,0.00303313736612592,0.003112783606227369,0.003196808238301348,0.0032639267094640564,0.0033242371607388427,0.0033884198315037857,0.0034638142227532984,0.0035365258998462322,0.0036251567015098086,0.00372034243682012,0.0038042405257735054,0.00387143492280857,0.0039402237631631105,39512223
CO,515983,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.209476524014993e-07,1.2155445222701647e-06,1.2155445222701647e-06,2.4310890445403295e-06,3.1256859144089953e-06,4.167581219211994e-06,8.508811655891154e-06,1.3370989744971814e-05,1.7538570964183807e-05,2.2748047488198798e-05,2.7783874794746626e-05,3.177780679649145e-05,3.177780679649145e-05,4.8100833238405096e-05,6.286101672311423e-05,8.248337829690405e-05,0.00010262668752309534,0.0001250274365763598,0.0001581944371125886,0.00018858305016934273,0.0002481447317605808,0.0003007604446531322,0.00035789103719982996,0.00040043509547928576,0.00045565554663384465,0.0005148699297901484,0.000580162035557803,0.0006466696858477277,0.0007246381844904854,0.0007927086777376147,0.0008595636264624737,0.0008981137527401846,0.0009427416016292464,0.000981986324776826,0.0010589129281147807,0.001097810352827426,0.0011526835055470507,0.001197832302088514,0.0012377716221059622,0.001265902795335643,0.001301153586481478,0.0015064069615276685,0.0015708308212079873,0.0016368175238455106,0.0016883913414332589,0.0017538570964183806,0.0018128978303572172,0.001887740643085566,0.0019417455497178547,0.0021134846257928825,0.002237296517846972,0.0023190852992740073,0.002395143656524626,0.002483878406650348,0.0025604577115533687,0.0026500607077664267,0.0027377535625873455,0.0028172849041873077,0.0028867445911741744,0.0029350190736300466,0.0030152450120998777,0.003096165547439577,0.003190109774089314,0.003269293817254342,0.0033637589915564803,0.0034203686364507766,0.0034512781971599324,0.0034993790303983374,0.003554078533900495,0.0036171131998410763,0.00368553099152314,0.0037549906785100066,0.0038076063914025578,0.0038543180309012254,0.003902766162574565,0.003958681210598993,0.004024841562453983,0.004078151872216403,0.004159593355208504,0.004194844146354339,0.004210646225143851,0.004261699095079198,0.0043005965197918435,0.004362241991992687,0.004447503757769066,0.004531897277458109,0.004580519058348916,0.004615075252624882,0.0046511942898580525,0.004698600526226589,0.004750868940684206,0.0047953231403558005,0.004835609758808183,0.0048621780890806595,0.004893261299007282,0.0049217397706718975,0.004948308100944374,0.004974008185129514,0.0050045704474037354,0.005038605694027301,0.00505822805560109,0.0050877484225705085,5758736
CT,72064,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8048232863160807e-07,5.609646572632161e-07,8.414469858948242e-07,1.4024116431580404e-06,2.2438586290528646e-06,5.6096465726321614e-06,7.2925405444218095e-06,1.1499775473895931e-05,1.9072798346949346e-05,2.6926303548634375e-05,4.459669025242568e-05,5.4413571754531966e-05,6.25475592848486e-05,9.171772146253583e-05,0.00011640016638211735,0.00017333807909433377,0.000245422037552657,0.00028384811657518734,0.000362102686263406,0.00042745506883457067,0.0005590012809627949,0.0007211200669118643,0.00087734872395967,0.0009976756429426299,0.0010725644246872693,0.0013785706452243535,0.001479824765860364,0.0015917372149843758,0.0019370109615298853,0.002182432999082542,0.0024629153277141505,0.0027442391033316534,0.002955722779119886,0.0032283516025498086,0.003375604825081403,0.0037531340394195475,0.003923667295227565,0.004137955794302114,0.0044551813079844625,0.0047146274619687,0.004922464867484722,0.005038023586880944,0.0055577573418353135,0.00571062021093954,0.006302157442023602,0.006479141791390146,0.006709417783196696,0.006894816602422189,0.007087507962192104,0.007291699097435915,0.007380051030954871,0.007507670490482253,0.007769360503095543,0.008067793700759574,0.008214485958633905,0.008214485958633905,0.008406896836075189,0.008588649385028471,0.008693549775936692,0.0089145698508984,0.00909071275327905,0.00925142912758496,0.009411304054904977,0.009470485826246246,0.009629799788909,0.009776211564454698,0.009947025302591348,0.010121204828671578,0.010294542907765911,0.010495368255066142,0.010690864438122373,0.010778935889312698,0.01094329853389082,0.010995748729344931,0.011118319506956943,0.011225463756494218,0.01134971742807802,0.011464154218159717,0.011565408338795727,0.011580554384541834,0.011656565095601,0.011713503008313217,0.011786428413757434,0.011836634750582492,0.011985570867085876,0.012054569519929252,0.012086264023064622,0.01212749492537347,0.012189762002329687,0.01228989419365117,0.012331966542945912,0.012367026834024863,0.012390867831958549,0.012438549827825923,0.012470524813289925,0.0125341943018893,0.012620021894450573,0.012646106751013313,0.01268761813565079,3565287
DC,11001,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8338686983615986e-06,5.667737396723197e-06,5.667737396723197e-06,1.4169343491807994e-05,1.4169343491807994e-05,1.4169343491807994e-05,2.267094958689279e-05,2.408788393607359e-05,3.1172555681977584e-05,4.392496482460478e-05,5.526043961805118e-05,0.00010060233879183676,0.00010910394488692156,0.00013885956621971835,0.00016436438450497274,0.00019412000583776952,0.00025929898590008627,0.00032731183466076465,0.00037832147123127344,0.000430748042150963,0.0004845915474198334,0.0005681906740215006,0.0007013825028444957,0.0008303235286199485,0.0008303235286199485,0.000925258130015062,0.001072619302329865,0.001278074782961081,0.0014141004804824379,0.0015543769810513368,0.001715907496857948,0.002040385462820351,0.0021579910138023574,0.002352111019640127,0.0025193092728434613,0.0026567519047139988,0.0026567519047139988,0.002916050890614085,0.003113004765150216,0.0033297957205748784,0.003508329448571659,0.0037775469749160113,0.003957497637261973,0.0041473668400522,0.0043896626137621166,0.004542691523473643,0.004762316347596667,0.0049989443839098605,0.005241240157619777,0.005442444835203451,0.0055147084870116716,0.005659235790628113,0.005817932437736362,0.006125407191508596,0.0066000801984841635,0.006797034073020295,0.00710734269549089,0.007325550585264733,0.007540924606340214,0.007737878480876346,0.00801134681026824,0.008358495725817535,0.008646133398701237,0.008887012238061974,0.009052793556916128,0.009188819254437484,0.009329095755006383,0.009544469776081865,0.009735755913221273,0.009978051686931189,0.010092823369214835,0.010301112718544411,0.010533489951810063,0.010699271270664217,0.011035084711420066,0.01118386281808405,0.011287299025574248,0.011491337571856284,0.011654285022012075,0.011808730866072783,0.0119107501392138,0.012032606493243348,0.012097785473305665,0.012351416721809028,0.012470439207140216,0.01254978753069434,0.012590878626820583,0.012775080092214088,0.01292244126452889,0.013034379078114174,0.01313356448255683,0.01322283134655522,0.013303596604458526,0.013424036024138894,0.013513302888137284,0.013586983474294686,0.013679084206991437,0.013757015596196381,0.013839197788448868,0.013884539687622653,705749
DE,30009,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1077714928873934e-06,4.1077714928873934e-06,6.16165723933109e-06,7.1886001125529385e-06,8.215542985774787e-06,1.7458028844771425e-05,2.670051470376806e-05,3.080828619665545e-05,4.005077205565209e-05,4.621242929498318e-05,5.750880090042351e-05,8.934402997030081e-05,0.00010680205881507224,0.00012220620191339996,0.00012220620191339996,0.00016944557408160498,0.00021976577486947557,0.00023825074658746884,0.00027111291853056796,0.00032759477655776965,0.0003779149773456402,0.00040358854917618643,0.0004621242929498318,0.0006089771238205562,0.000691132553678304,0.0008040962697327073,0.0009530029863498754,0.0011460682465155828,0.0012415739337252147,0.001361726249892171,0.0015188485094951138,0.0016821324263373877,0.001808446399743675,0.0019778919738252802,0.0020682629466688028,0.0021309064619353356,0.002385588294494354,0.0026063810122370513,0.0026063810122370513,0.002818958186993974,0.003009969561413238,0.003286217194309915,0.0033971270246178744,0.003534737369629602,0.00367234771464133,0.004142687550576936,0.004274136238349333,0.004698263644989957,0.004780419074847705,0.004861547561832231,0.005050505050505051,0.005173738195291672,0.0053483184837393866,0.0054304739135971345,0.005515710172074548,0.00593367592147584,0.006099013724064558,0.006275647898258715,0.006449201243833208,0.006620700703661257,0.006731610533969217,0.00692262190838848,0.0071393068546382905,0.007408365887422414,0.007564461204152135,0.007740068435473072,0.007876651837611577,0.008082040412255947,0.008253539872083996,0.008414769903179825,0.008611942934838421,0.008758795765709145,0.008924133568297863,0.009046339770211263,0.00920654285843387,0.009310264088629278,0.009341072374825933,0.009418093090317572,0.009484844377076992,0.009675855751496256,0.009753903409861117,0.009863786297295854,0.009945941727153603,0.009973669184730591,0.010008585242420135,0.010036312699997125,0.010110252586869097,0.010209866045571617,0.010240674331768273,0.010289967589682921,0.010326937533118908,0.010325910590245686,0.010447089849285864,0.010504598650186287,0.010540541650749052,0.010618589309113913,973764
FL,808550,816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.655984007998608e-08,4.655984007998608e-08,4.655984007998608e-08,9.311968015997216e-08,9.311968015997216e-08,2.7935904047991647e-07,4.190385607198747e-07,6.518377611198051e-07,1.163996001999652e-06,2.281432163919318e-06,2.7004707246391926e-06,2.979829765119109e-06,4.4697446476786636e-06,6.332138250878107e-06,7.775493293357675e-06,1.0056925457276993e-05,1.5271627546235436e-05,2.0113850914553986e-05,3.0357015732150924e-05,3.547859814094939e-05,4.679263928038601e-05,5.712892377814292e-05,6.574249419294035e-05,9.195568415797251e-05,0.00011355944995508605,0.0001488983685757955,0.0001880086342429838,0.00023037808871577113,0.0002655773278162406,0.0003138598819791862,0.0003519458311646148,0.0004194110394405146,0.00047807643794129707,0.0005374867938833593,0.0005750140249878281,0.0006345640604501303,0.0006866179616595548,0.0007308963695756215,0.0007834158691858458,0.0008365872065571899,0.0008839851237586158,0.0009263080183913231,0.0009786412786412274,0.001006996221249939,0.0010484810387612065,0.0010867066674668752,0.0011522163624594155,0.0011868568834789252,0.0012250825121845937,0.0012597230332041034,0.001297529623349052,0.0013304939901256823,0.0013803595788513473,0.001421611597162215,0.0014357192287064507,0.001467892078201721,0.0014962470208104326,0.0015292113875870629,0.001545414211934898,0.001568601012294731,0.0016167904467775166,0.0016510119292363064,0.0016797859104057378,0.0017176856202308465,0.001742688254353799,0.001769320482879551,0.0018078254706256995,0.0018249594917751344,0.0018623004835192833,0.001890143267887115,0.0019081153661579895,0.0019507176198311769,0.00197357850131045,0.0020118041300161184,0.0020548719820901056,0.002086346433984176,0.0021224303100461656,0.0021620527339542336,0.0021855188933545466,0.002210195608596939,0.0022661139765330026,0.002302244412435072,0.0023339051036894622,0.002368312825508572,0.0024092389249388796,0.0024329378835395927,0.0024505840629299074,0.002480941078662058,0.0025373250449989213,0.0025803928970729085,0.002614847178732098,0.002645902592065449,0.0026747231330749603,0.002735949322780142,0.0028020642956937225,0.0028628248869981042,0.0029220024437397667,0.0029767568156738302,0.0030217801810311765,0.003072856325598921,0.0031367364261886623,0.0032158415944845585,0.003304351850476612,0.0034244762378829764,0.0035183874353243083,0.003600286194025004,21477737
