County&State,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,population
"Statewide Unallocated,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Autauga County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,1.7899013764341584e-05,3.579802752868317e-05,3.579802752868317e-05,3.579802752868317e-05,3.579802752868317e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,5.3697041293024756e-05,7.159605505736634e-05,7.159605505736634e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,8.949506882170792e-05,0.00010739408258604951,0.00010739408258604951,0.00010739408258604951,0.00010739408258604951,0.00010739408258604951,0.00010739408258604951,55869
"Baldwin County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479604361342806e-06,4.479604361342806e-06,4.479604361342806e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,8.959208722685613e-06,1.343881308402842e-05,1.7918417445371226e-05,1.7918417445371226e-05,1.7918417445371226e-05,1.7918417445371226e-05,2.2398021806714032e-05,2.2398021806714032e-05,2.2398021806714032e-05,2.2398021806714032e-05,2.2398021806714032e-05,2.2398021806714032e-05,2.687762616805684e-05,3.1357230529399645e-05,3.1357230529399645e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,3.583683489074245e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,4.031643925208526e-05,223234
"Barbour County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,4.0508790407518434e-05,24686
"Bibb County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,4.4654818254889704e-05,22394
"Blount County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,1.729325908760765e-05,57826
"Bullock County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,9.9000099000099e-05,0.000297000297000297,0.000297000297000297,0.000297000297000297,0.000396000396000396,0.000396000396000396,0.000396000396000396,0.000495000495000495,0.000594000594000594,0.000594000594000594,0.000594000594000594,0.000594000594000594,0.000693000693000693,0.000693000693000693,0.000693000693000693,0.000792000792000792,0.000792000792000792,0.000792000792000792,0.000792000792000792,0.000792000792000792,0.000792000792000792,0.000792000792000792,0.000891000891000891,10101
"Butler County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,5.141916906622789e-05,0.00010283833813245579,0.00010283833813245579,0.00010283833813245579,0.00015425750719868367,0.00030851501439736734,0.00030851501439736734,0.00030851501439736734,0.00030851501439736734,0.00030851501439736734,0.00041135335252982314,0.000462772521596051,0.000462772521596051,0.000462772521596051,0.0005141916906622789,0.0005141916906622789,0.0005656108597285068,0.0005656108597285068,0.0005656108597285068,0.0005656108597285068,0.0006170300287947347,0.0006170300287947347,0.0006684491978609625,0.0006684491978609625,0.0007712875359934183,0.0008227067050596463,0.0008741258741258741,0.000925545043192102,0.000925545043192102,0.000925545043192102,0.000925545043192102,0.000925545043192102,0.0010798025503907856,0.0011312217194570137,0.0011312217194570137,0.0012340600575894694,0.0012340600575894694,0.0012340600575894694,0.0012854792266556972,0.0012854792266556972,0.0012854792266556972,0.0012854792266556972,0.0012854792266556972,19448
"Calhoun County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.802429470533868e-06,1.7604858941067736e-05,1.7604858941067736e-05,1.7604858941067736e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,2.64072884116016e-05,113605
"Chambers County,AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0071570337403018e-05,3.0071570337403018e-05,9.021471101220906e-05,0.00012028628134961207,0.00012028628134961207,0.00012028628134961207,0.0001503578516870151,0.0001503578516870151,0.0001503578516870151,0.00021050099236182113,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.00024057256269922414,0.0002706441330366272,0.0003307872737114332,0.0003307872737114332,0.0003307872737114332,0.0003307872737114332,0.00039093041438623924,0.0004811451253984483,0.0004811451253984483,0.0005112166957358513,0.0005412882660732544,0.0005412882660732544,0.0005412882660732544,0.0005713598364106573,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006315029770854634,0.0006615745474228664,0.0006615745474228664,0.0006615745474228664,0.0006615745474228664,0.0006615745474228664,0.0006615745474228664,0.0006615745474228664,0.0006916461177602694,0.0006916461177602694,0.0006916461177602694,0.0006916461177602694,0.0006916461177602694,0.0007217176880976725,0.0007217176880976725,0.0007217176880976725,0.0007217176880976725,0.0007217176880976725,0.0007517892584350755,0.0007517892584350755,0.0007517892584350755,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,0.0007818608287724785,33254
