State,countyFIPS,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,population
AK,64610,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.366969906157516e-06,5.467879624630064e-06,8.201819436945095e-06,0.0,0.0,0.0,1.366969906157516e-06,1.366969906157516e-06,2.733939812315032e-06,2.733939812315032e-06,4.100909718472548e-06,4.100909718472548e-06,4.100909718472548e-06,4.100909718472548e-06,4.100909718472548e-06,4.100909718472548e-06,6.83484953078758e-06,9.568789343102612e-06,9.568789343102612e-06,8.201819436945095e-06,9.568789343102612e-06,9.568789343102612e-06,9.568789343102612e-06,1.0935759249260128e-05,1.0935759249260128e-05,1.0935759249260128e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.2302729155417643e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,0.0,0.0,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.366969906157516e-05,1.5036668967732676e-05,1.5036668967732676e-05,1.5036668967732676e-05,1.640363887389019e-05,1.640363887389019e-05,1.640363887389019e-05,1.640363887389019e-05,731545
AL,71489,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0394906576031702e-07,2.0394906576031702e-07,4.0789813152063403e-07,6.118471972809511e-07,8.157962630412681e-07,1.2236943945619022e-06,2.6513378548841214e-06,3.2631850521650723e-06,3.4671341179253892e-06,4.2829303809666575e-06,5.302675709768243e-06,6.322421038569828e-06,6.5263701043301445e-06,7.954013564652364e-06,9.789555156495218e-06,9.789555156495218e-06,1.1829045814098386e-05,1.2236943945619021e-05,1.2440893011379338e-05,1.2440893011379338e-05,1.4888281800503143e-05,1.5296179932023776e-05,1.6723823392345997e-05,1.9579110312990435e-05,2.2434397233634874e-05,2.2842295365155507e-05,2.2842295365155507e-05,2.8756818272204698e-05,3.569108650805548e-05,3.9974016889022137e-05,4.242140567814594e-05,4.323720194118721e-05,4.446089633574911e-05,4.629643792759196e-05,4.8947775782476085e-05,5.323070616344274e-05,5.486229868952528e-05,5.853338187321099e-05,5.853338187321099e-05,5.894128000473162e-05,6.0572872530814156e-05,6.404000664873955e-05,6.95466314242681e-05,7.505325619979666e-05,7.770459405468079e-05,7.9132237515003e-05,7.974408471228395e-05,8.178357536988712e-05,8.932969080301886e-05,9.136918146062203e-05,9.5856060907349e-05,9.83034496964728e-05,9.83034496964728e-05,9.891529689375376e-05,9.911924595951407e-05,0.00010197453288015851,0.00010646141232688548,0.00010788905578720771,0.0001103364445763315,0.00011237593523393468,0.0001138035786942569,0.00011543517122033943,0.00011829045814098387,0.00011890230533826483,0.00012338918478499179,0.0001244089301137934,0.0001260405226398759,0.0001282839623632394,0.00013113924928388385,0.00013256689274420607,0.00013256689274420607,0.00013277084180996637,0.0001366458740594124,0.00013950116098005683,0.0001401130081773378,0.00014521173482134571,0.0001474551745447092,0.00015071835959687427,0.00015296179932023775,0.0001558170862408822,0.00015663288250392348,0.00015663288250392348,0.00015785657689848536,4903185
AR,380625,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.627335638762491e-07,3.3136678193812457e-07,6.627335638762491e-07,1.9882006916287474e-06,1.6568339096906226e-06,1.6568339096906226e-06,2.319567473566872e-06,2.6509342555049966e-06,3.3136678193812453e-06,3.976401383257495e-06,3.976401383257495e-06,4.307768165195619e-06,4.970501729071868e-06,5.301868511009993e-06,5.964602074886241e-06,5.964602074886241e-06,6.9587024207006155e-06,7.95280276651499e-06,8.284169548453113e-06,8.946903112329363e-06,8.946903112329363e-06,1.0603737022019986e-05,1.1266470585896235e-05,1.2260570931710608e-05,1.2260570931710608e-05,1.2591937713648733e-05,1.2923304495586858e-05,1.3917404841401231e-05,1.4248771623339356e-05,1.458013840527748e-05,1.4911505187215604e-05,1.5574238751091854e-05,1.590560553302998e-05,1.6568339096906226e-05,1.689970587884435e-05,1.8887906570473097e-05,1.9550640134349347e-05,2.0213373698225597e-05,2.1207474044039972e-05,2.3858408299544966e-05,2.485250864535934e-05,2.6509342555049962e-05,2.7503442900864337e-05,2.8828910028616834e-05,2.916027681055496e-05,2.916027681055496e-05,2.916027681055496e-05,3.0154377156369334e-05,3.114847750218371e-05,3.147984428412183e-05,3.214257784799808e-05,3.247394462993621e-05,3.247394462993621e-05,3.247394462993621e-05,3.247394462993621e-05,3.313667819381245e-05,3.37994117576887e-05,3.5456245667379323e-05,3.64503460131937e-05,3.744444635900807e-05,3.810717992288432e-05,3.8438546704822445e-05,3.876991348676057e-05,3.943264705063682e-05,3.9764013832574945e-05,4.1420847742265567e-05,4.374041521583244e-05,4.4071781997770566e-05,4.4071781997770566e-05,4.4071781997770566e-05,4.506588234358494e-05,4.672271625327556e-05,4.970501729071868e-05,5.00363840726568e-05,5.069911763653305e-05,5.069911763653305e-05,5.13618512004093e-05,5.335005189203805e-05,5.467551901979055e-05,5.6663719711419296e-05,5.832055362110992e-05,5.8651920403048046e-05,5.9314653966924296e-05,6.030875431273867e-05,3017804
AZ,60208,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.373868499077516e-07,2.747736998155032e-07,2.747736998155032e-07,6.86934249538758e-07,6.86934249538758e-07,1.0990947992620128e-06,1.7860290488007708e-06,2.060802748616274e-06,2.335576448431777e-06,2.747736998155032e-06,3.2972843977860383e-06,3.984218647324797e-06,4.396379197048051e-06,5.632860846217816e-06,7.144116195203083e-06,8.792758394096102e-06,8.930145244003854e-06,9.891853193358115e-06,1.0853561142712377e-05,1.1815269092066637e-05,1.3051750741236402e-05,1.4837779790037172e-05,1.566210088948368e-05,1.6623808838837944e-05,1.7860290488007707e-05,1.9371545836992976e-05,2.0470640636254988e-05,2.308099078450227e-05,2.418008558376428e-05,2.5141793533118544e-05,2.5553954082841798e-05,2.843907793090458e-05,3.1186814929059614e-05,3.40719387771224e-05,3.6407515225554175e-05,3.736922317490843e-05,3.764399687472394e-05,3.764399687472394e-05,3.997957332315571e-05,4.149082867214098e-05,4.368901827066501e-05,4.5062886769742526e-05,4.753585006808205e-05,4.945926596679058e-05,4.945926596679058e-05,5.399303201374638e-05,5.825202436088668e-05,6.154930875867271e-05,7.061684085258433e-05,7.26776436012006e-05,7.32271910008316e-05,7.405151210027812e-05,7.679924909843315e-05,8.119562829548119e-05,8.531723379271374e-05,8.902667874022304e-05,9.287351053764008e-05,9.301089738754784e-05,9.383521848699434e-05,9.630818178533387e-05,0.00010221581633136719,0.00010413923223007572,0.00010578787442896874,0.00010922254567666253,0.00010935993252657027,0.00011004686677610903,0.00011032164047592454,0.00011348153802380282,0.0001169162092714966,0.0001209004279188214,0.00012309861751734542,0.00012502203341605396,0.00012502203341605396,0.00012845670466374775,0.00013381479181015006,0.00013587559455876632,0.0001379363973073826,0.0001421953896545229,0.00014356925815360043,0.00014356925815360043,0.00014659176885157096,0.00015002644009926475,0.00015401065874658956,0.00015607146149520582,0.00016252864344087014,0.0001629408039905934,0.00016403989878985541,7278717
CA,357364,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,2.530862411866829e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,5.061724823733658e-08,7.592587235600488e-08,7.592587235600488e-08,1.0123449647467317e-07,1.0123449647467317e-07,1.0123449647467317e-07,1.2654312059334145e-07,1.5185174471200975e-07,1.7716036883067803e-07,1.7716036883067803e-07,1.7716036883067803e-07,1.7716036883067803e-07,2.2777761706801463e-07,3.5432073766135606e-07,4.3024661001736096e-07,5.061724823733658e-07,5.567897306107024e-07,6.833328512040439e-07,8.098759717973853e-07,9.111104682720585e-07,1.0882708371027366e-06,1.391974326526756e-06,1.7716036883067805e-06,2.1765416742054733e-06,2.606788284222834e-06,3.138269390714868e-06,3.4166642560202193e-06,3.84691086603758e-06,4.682095461953634e-06,5.4413541855136825e-06,6.225921533192399e-06,7.187649249701795e-06,8.174685590329859e-06,8.908635689771239e-06,9.845054782161966e-06,1.1338263605163394e-05,1.2780855179927488e-05,1.3818508768792887e-05,1.5083939974726301e-05,1.599505044299836e-05,1.7133938528338433e-05,1.837406111015318e-05,1.9715418188442598e-05,2.2246280600309427e-05,2.4574674019226912e-05,2.558701898397364e-05,2.902899186411253e-05,2.9788250587672578e-05,3.097775592124999e-05,3.333145796428614e-05,3.6191332489695654e-05,3.864626902920648e-05,4.077219345517462e-05,4.277157476054941e-05,4.335367311527878e-05,4.494811643475489e-05,4.7200583981316364e-05,4.912403941433515e-05,5.14018155850153e-05,5.3856752124526126e-05,5.529934369929022e-05,5.5881442054019585e-05,5.775428023880104e-05,6.013329090595586e-05,6.223390670780533e-05,6.428390526141746e-05,6.64857555597416e-05,6.805489025509903e-05,6.873822310630308e-05,7.028204917754184e-05,7.281291158940867e-05,7.514130500832616e-05,7.716599493781962e-05,7.989932634263579e-05,8.119006617268788e-05,8.199994214448527e-05,8.311352160570667e-05,8.62011737481842e-05,8.845364129474567e-05,9.103512095484984e-05,9.280672464315663e-05,9.452771108322607e-05,9.493264906912476e-05,9.531227843090478e-05,9.670425275743154e-05,9.900733755223036e-05,0.00010105733610584249,0.00010310733465945462,0.0001048030124754054,0.00010556227119896544,0.00010556227119896544,0.00010920671307205367,0.0001109530081362418,0.00011267399457631124,0.0001147746103781607,0.00011652090544234881,0.00011722954691767152,0.00011786226252063823,0.00012019065593955572,0.0001228480614720159,0.00012472089965679734,0.00012613818260744276,0.00012793509491986822,0.00012861842777107225,0.0001294536123669883,39512223
CO,515983,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736492174671664e-07,1.736492174671664e-07,1.736492174671664e-07,1.736492174671664e-07,3.472984349343328e-07,3.472984349343328e-07,3.472984349343328e-07,6.945968698686656e-07,1.0418953048029985e-06,1.2155445222701647e-06,1.2155445222701647e-06,1.9101413921388303e-06,3.2993351318761615e-06,4.167581219211994e-06,5.3831257414821585e-06,7.640565568555321e-06,8.161513220956822e-06,9.377057743226985e-06,1.1981796005234482e-05,1.3891937397373313e-05,1.6843974094315142e-05,1.927506313885547e-05,2.1879801400862967e-05,2.413724122793613e-05,2.604738262007496e-05,3.1083209926622784e-05,3.351429897116312e-05,3.941837236504678e-05,4.34123043667916e-05,4.75798855860036e-05,5.035827306547826e-05,5.035827306547826e-05,5.713059254669775e-05,6.19927706357784e-05,6.494480733272024e-05,6.789684402966207e-05,7.136982837900539e-05,7.327996977114422e-05,7.796849864275771e-05,8.439351968904287e-05,8.821380247332053e-05,9.550706960694153e-05,0.00011669227413793582,0.00011634497570300149,0.00011773416944273882,0.00012224904909688514,0.00012780582405583446,0.00013301530057984948,0.0001349254419719883,0.00014239235832307645,0.00014447614893268245,0.0001462126411073541,0.00014777548406455862,0.00015645794493791693,0.00015993092928726026,0.0001639248612890051,0.00016652959955101257,0.0001679187932907499,0.00016861339016061857,0.00017139177764009326,0.0001752120604243709,0.0001844154689501307,0.00018945129625667854,0.00019969660008724137,0.00020698986722086235,0.00021081015000514,0.00021254664217981167,0.00021827706635622817,0.000225396684272382,0.00022713317644705366,0.00022939061627412683,0.0002300852131439955,0.00023077981001386416,0.00023130075766626565,0.00023460009279814182,0.00024171971071429565,0.00024675553802084346,0.00024936027628285094,0.00025057582080512114,0.00025092311924005545,0.00025300690984966144,0.0002557852973291361,0.00025925828167847943,0.00026221031837542127,0.0002641204597675601,0.00026481505663742875,0.00026481505663742875,0.0002675934441169034,0.0002695035855090423,0.0002729765698583856,0.0002748867112505244,0.0002769705018601304,0.0002774914495125319,0.0002776650987299991,0.0002787069940348021,5758736
CT,72064,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8048232863160807e-07,8.414469858948242e-07,1.1219293145264323e-06,1.4024116431580404e-06,2.2438586290528646e-06,2.8048232863160807e-06,3.365787943579297e-06,5.329164244000553e-06,5.890128901263769e-06,7.573022873053418e-06,9.255916844843067e-06,9.536399173474673e-06,1.009736383073789e-05,1.9353280675580955e-05,2.3840997933686684e-05,3.113353847810849e-05,3.7304149708003875e-05,4.627958422421533e-05,5.3011160111373925e-05,5.777935969811126e-05,7.769360503095543e-05,9.39615800915887e-05,0.00010658328488001107,0.0001256560832269604,0.00013855827034401437,0.00015538721006191087,0.00016885036183622804,0.00018820364251180902,0.0002434586612522358,0.0002723483411012914,0.00029057969246234594,0.00030460380889392637,0.0003161035843678223,0.00037332197940867035,0.0003991263536427783,0.00043250375074993963,0.0004591495719699424,0.000494490345377525,0.0005219776135834226,0.0005393675179585823,0.0005640499628781638,0.0005856471021827976,0.0006080856884733263,0.0006330486157215394,0.0006560481666693312,0.0006832549525465973,0.0006998034099358621,0.0007169128319823902,0.000738509971287024,0.0007623509692207107,0.0007842285908539761,0.0008061062124872416,0.0008223741875478749,0.0008321910690499811,0.0008436908445238771,0.0008529467613687201,0.0008765072769737752,0.0009028726158651463,0.0009213844495548325,0.0009362500129723077,0.0009556032936478886,0.0009671030691217845,0.0009735541626803116,0.0009895416554123132,0.0010044072188297884,0.0010201142292331584,0.001030492075392528,0.0010358212396365286,0.0010495648737394773,0.001056857414283899,0.0010661133311287423,0.0010731253893445324,0.00108490564714706,0.0010972468696068508,0.001105661339465799,0.001105661339465799,0.0011140758093247472,0.0011188440089114845,0.0011238926908268534,0.0011325876430144334,0.0011373558426011707,0.0011418435598592764,0.0011454898301314874,0.0011482946534178034,0.0011555871939622252,0.001162879734506647,0.0011665260047788578,0.0011740990276519114,0.0011780257802527538,0.0011791477095672803,3565287
DC,11001,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4169343491807993e-06,1.4169343491807993e-06,2.8338686983615986e-06,2.8338686983615986e-06,2.8338686983615986e-06,4.250803047542398e-06,4.250803047542398e-06,5.667737396723197e-06,7.084671745903997e-06,1.2752409142627195e-05,1.2752409142627195e-05,1.5586277840988792e-05,1.7003212190169593e-05,2.125401523771199e-05,2.9755621332796786e-05,2.9755621332796786e-05,3.1172555681977584e-05,3.1172555681977584e-05,3.1172555681977584e-05,3.8257227427881584e-05,3.1172555681977584e-05,3.1172555681977584e-05,3.1172555681977584e-05,3.1172555681977584e-05,3.1172555681977584e-05,9.493460139511355e-05,0.00010201927314101756,0.00011477168228364475,0.00012185635402954875,0.00012894102577545275,0.00013602569752135674,0.00014877810666398395,0.00015869664710824953,0.00017995066234596153,0.00019695387453613113,0.0002167909554246623,0.0002337941676148319,0.0002522143141541823,0.0002621328545984479,0.0002692175263443519,0.00029047154158206385,0.00031739329421649905,0.00032731183466076465,0.00034006424380339187,0.00035565052164438063,0.00036556906208864623,0.00037407066818373106,0.00037407066818373106,0.0004038262895165278,0.000430748042150963,0.0004406665825952286,0.0004576697947853982,0.0004647544665313022,0.0004760899413247486,0.0004959270222132798,0.0005072624970067262,0.0005214318404985342,0.0005313503809427998,0.0005426858557362462,0.0005554382648788734,0.0005667737396723197,0.0005766922801165854,0.0005837769518624894,0.0005922785579575741,0.0006050309671002014,0.0006121156388461053,0.0006234511136395518,0.0006234511136395518,0.0006305357853854558,0.0006418712601789021,0.0006517898006231678,0.0006546236693215293,0.0006602914067182525,0.0006631252754166141,0.0006659591441149757,0.0006702099471625181,0.0006730438158608797,0.000678711553257603,0.0006843792906543261,0.0006928808967494109,0.0006957147654477725,0.0007013825028444957,0.0007070502402412189,0.0007113010432887613,0.0007169687806854845,0.0007240534524313885,0.0007297211898281117,0.0007297211898281117,705749
DE,30009,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0538857464436967e-06,5.134714366109242e-06,6.16165723933109e-06,7.1886001125529385e-06,1.0269428732218484e-05,1.1296371605440333e-05,1.232331447866218e-05,1.4377200225105877e-05,1.4377200225105877e-05,1.4377200225105877e-05,1.5404143098327726e-05,1.6431085971549574e-05,1.951191459121512e-05,2.3619686084102513e-05,3.286217194309915e-05,3.3889114816320995e-05,3.59430005627647e-05,3.59430005627647e-05,4.4158543548539484e-05,4.7239372168205026e-05,5.340102940753612e-05,6.264351526653276e-05,6.880517250586384e-05,6.880517250586384e-05,7.393988687197309e-05,8.420931560419156e-05,9.13979157167445e-05,9.447874433641005e-05,0.00010269428732218485,0.00011501760180084702,0.0001232331447866218,0.00012836785915273105,0.00014069117363139322,0.00014787977374394618,0.00015609531672972096,0.0001632839168422739,0.00017252640270127054,0.00018176888856026718,0.00018690360292637642,0.00019203831729248564,0.00019819997453181674,0.00020744246039081337,0.00020744246039081337,0.00020744246039081337,0.00020744246039081337,0.0002290082607284722,0.00024235851808035623,0.00025365488968579657,0.0002670051470376806,0.0002783015186431209,0.00029370566174144865,0.00029781343323433606,0.00030500203334688896,0.0003121906334594419,0.000318352290698773,0.00032554089081132594,0.0003306756051774352,0.0003327294909238789,0.0003347833766703226,0.00034094503390965367,0.0003450528054025411,0.0003542952912615377,0.0003553222341347596,0.000365591662866978,0.00037072637723308726,0.0003758610915991965,0.0003779149773456402,0.00038304969171174945,0.00038510357745819316,0.00039537300619041165,0.0003984538348100772,0.0004005077205565209,0.0004087232635422957,0.0004087232635422957,0.0004210465780209579,0.0004241274066406234,0.00042515434951384524,0.00042515434951384524,0.0004302890638799545,0.00043336989249962,0.0004343968353728419,973764
FL,808550,816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,9.311968015997216e-08,1.3967952023995824e-07,1.3967952023995824e-07,2.327992003999304e-07,2.7935904047991647e-07,3.2591888055990255e-07,3.7247872063988863e-07,4.655984007998608e-07,4.655984007998608e-07,6.05277921039819e-07,8.846369615197355e-07,9.777566416797077e-07,1.163996001999652e-06,1.3967952023995824e-06,2.1417526436793596e-06,2.6073510444792204e-06,2.747030564719179e-06,3.305748645679012e-06,3.9575864067988165e-06,4.5163044877586494e-06,6.704616971517995e-06,7.915172813597633e-06,9.079168815597286e-06,1.0289724657676924e-05,1.1826199380316464e-05,1.378171266367588e-05,1.5038828345835505e-05,1.7273700669674836e-05,1.9508572993514168e-05,2.076568867567379e-05,2.1464086276873585e-05,2.1464086276873585e-05,2.658566868567205e-05,2.8587741809111455e-05,3.11019731734307e-05,3.380244389806989e-05,3.482676037982959e-05,3.603731622190923e-05,3.831874838582854e-05,4.0367381349347935e-05,4.3160971754147094e-05,4.595456215894626e-05,4.870159272366544e-05,4.912063128438531e-05,5.000526824590505e-05,5.0657106007024854e-05,5.45215727336637e-05,5.670988521742305e-05,5.899131738134236e-05,6.11796298651017e-05,6.350762186910101e-05,6.420601947030081e-05,6.513721627190053e-05,6.834984523741957e-05,7.146935452277864e-05,7.430950476765779e-05,7.761525341333679e-05,7.975700605701615e-05,8.003636509749608e-05,8.078132253877585e-05,8.282995550229524e-05,8.506482782613457e-05,8.72997001499739e-05,8.925521343333332e-05,9.139696607701268e-05,9.186256447781254e-05,9.293344079965222e-05,9.549423200405145e-05,9.749630512749085e-05,9.982429713149016e-05,0.00010191948993508953,0.00010392156305852893,0.00010410780241884888,0.00010480620002004867,0.00010508555906052858,0.00010787914946532774,0.00010997434226892712,0.00011225577443284644,0.00011388536883564596,0.00011407160819596589,0.00011449064675668577,0.0001177498355622848,0.00011937942996508431,0.00012138150308852372,0.00012384917461276298,0.00012515285013500258,0.00012571156821596243,0.00012622372645684226,0.00012873795782116152,0.00013036755222396102,0.00013255586470772038,0.00013395265991011996,0.00013618753223395929,0.0001364668912744392,0.0001367928101549991,21477737
