County&State,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,population
"Statewide Unallocated,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Autauga County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.058823529411764705,0.058823529411764705,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.043478260869565216,0.04,0.04,0.04,0.04,0.037037037037037035,0.03571428571428571,0.03333333333333333,0.03125,0.06060606060606061,0.05555555555555555,0.05405405405405406,0.05405405405405406,0.07692307692307693,0.075,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.0625,0.05660377358490566,0.05660377358490566,0.05172413793103448,0.04918032786885246,0.04477611940298507,0.04411764705882353,0.04054054054054054,0.03571428571428571,0.03296703296703297,0.03225806451612903,0.02912621359223301,0.02912621359223301,0.02727272727272727,0.02727272727272727,0.025,0.023622047244094488,0.022058823529411766,0.02040816326530612,0.020134228187919462,0.01935483870967742,0.018867924528301886,0.017341040462427744,0.015873015873015872,0.015625,0.014634146341463415,0.014150943396226415,0.018518518518518517,0.01818181818181818,0.02145922746781116,0.02100840336134454,0.02092050209205021,0.02074688796680498,0.020161290322580645,0.019305019305019305,0.018867924528301886,0.01838235294117647,0.01773049645390071,0.020338983050847456,0.019230769230769232,0.018575851393188854,0.01812688821752266,0.01680672268907563,0.016304347826086956,1.0
"Baldwin County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.008771929824561403,0.008547008547008548,0.016260162601626018,0.015151515151515152,0.013986013986013986,0.013605442176870748,0.012987012987012988,0.012422360248447204,0.011904761904761904,0.011695906432748537,0.011560693641618497,0.017241379310344827,0.022857142857142857,0.022099447513812154,0.0213903743315508,0.02127659574468085,0.026455026455026454,0.025510204081632654,0.024390243902439025,0.02403846153846154,0.023148148148148147,0.02252252252252252,0.026785714285714284,0.030837004405286344,0.030303030303030304,0.03292181069958848,0.03278688524590164,0.031496062992125984,0.031496062992125984,0.03076923076923077,0.030534351145038167,0.02962962962962963,0.02962962962962963,0.033210332103321034,0.03296703296703297,0.032846715328467155,0.03260869565217391,0.032490974729241874,0.03202846975088968,0.03202846975088968,0.031914893617021274,0.03180212014134275,0.03125,0.030821917808219176,0.030821917808219176,0.030821917808219176,0.030716723549488054,0.030405405405405407,0.029605263157894735,0.02875399361022364,0.028125,0.027692307692307693,0.027190332326283987,0.026239067055393587,0.025495750708215296,0.024930747922437674,0.024725274725274724,0.02349869451697128,1.0
"Barbour County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02564102564102564,0.023809523809523808,0.023255813953488372,0.022222222222222223,0.022222222222222223,0.02127659574468085,0.02127659574468085,0.0196078431372549,0.018867924528301886,0.017241379310344827,0.01694915254237288,0.01639344262295082,0.014925373134328358,0.014492753623188406,0.013513513513513514,0.012658227848101266,0.012658227848101266,0.012345679012345678,0.011764705882352941,0.011111111111111112,0.010416666666666666,0.01,0.009615384615384616,0.009523809523809525,0.00909090909090909,0.008620689655172414,0.00819672131147541,0.007692307692307693,0.007575757575757576,0.006802721088435374,0.006666666666666667,0.006097560975609756,0.005813953488372093,0.005714285714285714,0.005649717514124294,0.005649717514124294,0.00546448087431694,0.005263157894736842,0.0051813471502590676,0.005076142131979695,0.005025125628140704,0.004807692307692308,0.004672897196261682,0.004524886877828055,0.004424778761061947,0.004273504273504274,0.004201680672268907,1.0
"Bibb County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022222222222222223,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.02040816326530612,0.02,0.02,0.02,0.0196078431372549,0.019230769230769232,0.019230769230769232,0.01818181818181818,0.017241379310344827,0.01694915254237288,0.016129032258064516,0.015151515151515152,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.013888888888888888,0.013333333333333334,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.012987012987012988,0.012987012987012988,0.012658227848101266,0.011764705882352941,0.011235955056179775,0.010752688172043012,0.010309278350515464,0.01,0.009615384615384616,0.009009009009009009,1.0
"Blount County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.020833333333333332,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0196078431372549,0.018867924528301886,0.017241379310344827,0.016666666666666666,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015625,0.014285714285714285,0.013888888888888888,0.0136986301369863,0.013333333333333334,0.012658227848101266,0.011494252873563218,0.010526315789473684,0.00980392156862745,0.00909090909090909,0.008620689655172414,1.0
"Bullock County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.047619047619047616,0.045454545454545456,0.043478260869565216,0.038461538461538464,0.038461538461538464,0.03571428571428571,0.03571428571428571,0.03125,0.02857142857142857,0.02857142857142857,0.025,0.019230769230769232,0.015625,0.014084507042253521,0.011235955056179775,0.009523809523809525,0.009009009009009009,0.02127659574468085,0.017964071856287425,0.017045454545454544,0.021621621621621623,0.01990049751243781,0.019704433497536946,0.023923444976076555,0.028708133971291867,0.02830188679245283,0.027906976744186046,0.027649769585253458,0.0319634703196347,0.03111111111111111,0.03017241379310345,0.03361344537815126,0.03292181069958848,0.03225806451612903,0.03162055335968379,0.031007751937984496,0.028985507246376812,0.026490066225165563,0.029315960912052116,1.0
"Butler County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.029411764705882353,0.022222222222222223,0.0196078431372549,0.018867924528301886,0.015384615384615385,0.010869565217391304,0.009523809523809525,0.008771929824561403,0.016666666666666666,0.015384615384615385,0.012903225806451613,0.018518518518518517,0.033707865168539325,0.031746031746031744,0.030612244897959183,0.026785714285714284,0.02608695652173913,0.0321285140562249,0.03488372093023256,0.033210332103321034,0.03308823529411765,0.03508771929824561,0.03389830508474576,0.035256410256410256,0.03426791277258567,0.03343465045592705,0.03283582089552239,0.03488372093023256,0.03260869565217391,0.034210526315789476,0.03324808184143223,0.03826530612244898,0.04040404040404041,0.04228855721393035,0.04390243902439024,0.043478260869565216,0.04326923076923077,0.04295942720763723,0.04275534441805225,0.048723897911832945,0.049773755656108594,0.04899777282850779,0.05274725274725275,0.05172413793103448,0.050955414012738856,0.05165289256198347,0.050100200400801605,0.048355899419729204,0.04664179104477612,0.04595588235294118,1.0
"Calhoun County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.030303030303030304,0.027777777777777776,0.025,0.03614457831325301,0.03529411764705882,0.03409090909090909,0.033707865168539325,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03260869565217391,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.030612244897959183,0.02857142857142857,0.02857142857142857,0.02631578947368421,0.02631578947368421,0.025,0.024390243902439025,0.024193548387096774,0.024193548387096774,0.024,0.023809523809523808,0.023622047244094488,0.0234375,0.023255813953488372,0.023076923076923078,0.023076923076923078,0.022556390977443608,0.022556390977443608,0.022058823529411766,0.022058823529411766,0.021897810218978103,0.021739130434782608,0.02127659574468085,0.02040816326530612,0.02,0.019736842105263157,0.019736842105263157,0.0196078431372549,0.01948051948051948,0.01910828025477707,0.018292682926829267,0.01818181818181818,0.01818181818181818,0.017964071856287425,0.01775147928994083,0.017241379310344827,0.017045454545454544,0.016853932584269662,0.016666666666666666,0.016483516483516484,0.016304347826086956,0.015957446808510637,0.015789473684210527,0.015384615384615385,0.014705882352941176,1.0
"Chambers County,AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.027777777777777776,0.08333333333333333,0.08888888888888889,0.05970149253731343,0.04938271604938271,0.05747126436781609,0.05555555555555555,0.052083333333333336,0.06862745098039216,0.05714285714285714,0.049689440993788817,0.04678362573099415,0.043478260869565216,0.04,0.03773584905660377,0.037037037037037035,0.03524229074889868,0.038461538461538464,0.046610169491525424,0.04583333333333333,0.044715447154471545,0.042801556420233464,0.05019305019305019,0.05925925925925926,0.05818181818181818,0.06028368794326241,0.06338028169014084,0.06315789473684211,0.06228373702422145,0.06551724137931035,0.07241379310344828,0.07241379310344828,0.07241379310344828,0.07142857142857142,0.07,0.0695364238410596,0.06907894736842106,0.06862745098039216,0.06818181818181818,0.06752411575562701,0.06687898089171974,0.06645569620253164,0.06583072100313479,0.06481481481481481,0.06790123456790123,0.06748466257668712,0.06748466257668712,0.06707317073170732,0.06707317073170732,0.0668693009118541,0.0668693009118541,0.0696969696969697,0.0696969696969697,0.0696969696969697,0.0696969696969697,0.06845238095238096,0.0712166172106825,0.07100591715976332,0.07058823529411765,0.06876790830945559,0.06818181818181818,0.0708215297450425,0.07042253521126761,0.06983240223463687,0.07262569832402235,0.07242339832869081,0.07222222222222222,0.07162534435261708,0.06970509383378017,0.06878306878306878,0.06788511749347259,0.06649616368286446,0.06483790523690773,0.06235011990407674,0.06088992974238876,0.0593607305936073,0.05739514348785872,0.05473684210526316,1.0
