State,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,population
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.3,0.0,0.0,0.0,0.01694915254237288,0.014492753623188406,0.023529411764705882,0.0196078431372549,0.02631578947368421,0.025210084033613446,0.022556390977443608,0.02112676056338028,0.02040816326530612,0.01910828025477707,0.029239766081871343,0.03783783783783784,0.03664921465968586,0.028169014084507043,0.030973451327433628,0.029661016949152543,0.02834008097165992,0.031007751937984496,0.029304029304029304,0.02877697841726619,0.03146853146853147,0.030612244897959183,0.029900332225913623,0.02903225806451613,0.02857142857142857,0.028125,0.027950310559006212,0.02727272727272727,0.026785714285714284,0.026627218934911243,0.026470588235294117,0.026470588235294117,0.02631578947368421,0.02601156069364162,0.02556818181818182,0.025280898876404494,0.025280898876404494,0.024657534246575342,0.02459016393442623,0.024390243902439025,0.02425876010781671,0.024193548387096774,0.02680965147453083,0.02666666666666667,0.026455026455026454,0.026385224274406333,0.02631578947368421,0.02617801047120419,0.026041666666666668,0.026041666666666668,0.02577319587628866,0.0,0.0,0.02518891687657431,0.025,0.025,0.024875621890547265,0.024875621890547265,0.024752475247524754,0.024509803921568627,0.024509803921568627,0.02444987775061125,0.024330900243309004,0.024271844660194174,0.023529411764705882,0.023255813953488372,0.02304147465437788,0.021739130434782608,0.021413276231263382,0.02053388090349076,0.019801980198019802,0.01949317738791423,0.019083969465648856,0.018656716417910446,0.01838235294117647,0.017761989342806393,0.019197207678883072,0.01854974704890388,0.018032786885245903,0.0192,0.018404907975460124,0.018154311649016642,0.018072289156626505,1.0
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025906735751295338,0.0018832391713747645,0.003129890453834116,0.0041841004184100415,0.0048484848484848485,0.006376195536663124,0.013039117352056168,0.014466546112115732,0.013385826771653543,0.013689700130378096,0.015931372549019607,0.01684782608695652,0.01597603594608088,0.01775147928994083,0.01920768307322929,0.016913319238900635,0.01928832723644829,0.018393623543838136,0.017029592406476828,0.016052631578947367,0.018476335105036698,0.017701203681850367,0.018636363636363635,0.0212624584717608,0.023310023310023312,0.02287114559934654,0.02207331493890422,0.02651871356027835,0.031261164701679174,0.033648068669527895,0.0345170925987388,0.03412200225333977,0.03397226118123734,0.03472540920911733,0.03558718861209965,0.037738577212261426,0.038085799235452356,0.03934740882917467,0.037708579687294706,0.036651870640456566,0.03662145499383477,0.037221431958274064,0.039235991255321595,0.04068096396197214,0.04060102301790281,0.04013239553165081,0.039538881585600164,0.03945297127115309,0.041841803591899124,0.04187307224974297,0.04236524247340905,0.04232897163431984,0.041298946105732155,0.041213460231135285,0.040238450074515646,0.04040730564085987,0.04000306536899379,0.03944817300521999,0.03957571324067301,0.0389344262295082,0.038464189701523405,0.03725154666315651,0.03706543967280164,0.03637157651756192,0.03654926599407962,0.03581703951617638,0.03560318008987211,0.035240069471679084,0.03524060067960101,0.035274325717696856,0.035034765267072714,0.03469039752744325,0.0351281916845803,0.03470495712618601,0.03406724189229396,0.03457989315201554,0.03431256228940249,0.034171830204383614,0.033371896413633535,0.0327433249046415,0.031709331131296446,0.030433921141272042,0.029461023142509136,1.0
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0033783783783783786,0.006097560975609756,0.016,0.01240694789081886,0.011235955056179775,0.013888888888888888,0.014285714285714285,0.01610305958132045,0.017699115044247787,0.01639344262295082,0.01756756756756757,0.017584994138335287,0.017259978425026967,0.01805416248746239,0.016713091922005572,0.01832460732984293,0.019983347210657785,0.020374898125509373,0.02115987460815047,0.018342391304347828,0.02140468227424749,0.021343377275580666,0.022910216718266253,0.021893491124260357,0.021396396396396396,0.021922428330522766,0.02133062468257999,0.01902654867256637,0.018402342116269343,0.017321016166281754,0.016743854649091557,0.016511867905056758,0.01667778519012675,0.01664490861618799,0.01825752722613709,0.018431740081224616,0.018660140715815236,0.01937046004842615,0.02144133412745682,0.021949078138718173,0.023114706732158336,0.023566155593412835,0.02411976711948988,0.023835319609967497,0.02349799732977303,0.02349799732977303,0.022710257050162216,0.023278850916295196,0.0228310502283105,0.022904368358913813,0.02245131729667812,0.021963245181532944,0.021416083916083916,0.020596889449348465,0.020781379883624274,0.02072328321820398,0.021391443422630947,0.020161290322580645,0.02014260249554367,0.019923769923769923,0.019594594594594596,0.019409422694094226,0.019265015379634126,0.019117412776804205,0.0191394885928648,0.01948051948051948,0.018972895863052782,0.01833976833976834,0.017871539908626714,0.017402431222008956,0.017489456710493675,0.017810496319164093,0.017454629522598544,0.016811339413251292,0.01623514431239389,0.015920295809367296,0.01597856292179436,0.015917422342272815,0.015812835213611983,0.01524337432877187,0.014635356375062015,0.014321145691655332,0.014089958968800805,1.0
AZ,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.013157894736842105,0.008547008547008548,0.015337423312883436,0.012468827930174564,0.015748031496062992,0.0196078431372549,0.019404915912031046,0.018498367791077257,0.01733102253032929,0.018619084561675717,0.02050919377652051,0.020050125313283207,0.023176936122102882,0.02576808721506442,0.028206258263552227,0.026465798045602607,0.02796116504854369,0.028980190755685985,0.028495692511597084,0.030536804885888783,0.03183023872679045,0.03221248940378638,0.03269386652256147,0.03415659485023647,0.03558808682483594,0.03519130845536136,0.03727534945640115,0.03730394234845273,0.037134740259740256,0.03672985781990521,0.039421062654732435,0.04158270745557795,0.04299583911234397,0.043852391196425616,0.04331210191082802,0.04198590254367147,0.040798094103633116,0.041882556131260795,0.041932796445431825,0.04157949790794979,0.04120085416404974,0.04136776661884266,0.041666666666666664,0.04036326942482341,0.04223989681857266,0.04368431897795178,0.04505229283990346,0.04883146494394832,0.048266423357664234,0.04794027702824249,0.04736795852008085,0.047635279079676185,0.048542094455852156,0.04900181488203267,0.049210206561360874,0.04959283985034114,0.04857573365860659,0.04820042342978123,0.048125772346560486,0.04994294153185205,0.0494939601697682,0.04933683603511245,0.04956668121453956,0.048717791786523044,0.0483695652173913,0.0478488857108807,0.047853542668443314,0.04790857400213928,0.04765773084213377,0.046533367956374964,0.04523087628609772,0.04522188540476072,0.04400207068567932,0.04383438343834383,0.043466795587395066,0.04126423081665365,0.04066637853129543,0.038863475770761276,0.037756982331900134,0.03770851003675431,0.036580463620527935,0.035857083453283436,0.034509994531867066,0.0343316501247896,0.033229665742063826,0.032529628116060486,1.0
CA,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.125,0.125,0.125,0.125,0.25,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.15384615384615385,0.15384615384615385,0.13333333333333333,0.125,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.06666666666666667,0.058823529411764705,0.0625,0.04838709677419355,0.05063291139240506,0.03361344537815126,0.030534351145038167,0.02577319587628866,0.027149321266968326,0.02147239263803681,0.019886363636363636,0.017241379310344827,0.013888888888888888,0.014492753623188406,0.01891891891891892,0.018418201516793065,0.018066847335140017,0.01669195751138088,0.016906700062617408,0.017738359201773836,0.0171021377672209,0.01662156938538848,0.01839464882943144,0.019897669130187607,0.019688644688644688,0.019709146574818218,0.020468801584681413,0.020128224243327865,0.019887478738715166,0.02098695405558707,0.021136453008257963,0.021584627533561464,0.02226577812622501,0.022981145499822126,0.022922636103151862,0.02351163493502569,0.02530215746074777,0.02631441821687249,0.026847617642720166,0.02763609385143281,0.028011701090328873,0.028890880382366747,0.029709047755452796,0.030124908155767818,0.03243901538915747,0.03452321695228614,0.034364377974167234,0.037205228842972525,0.03725744674116046,0.036139242375033215,0.03677332886580667,0.03794311186584589,0.038603498837091715,0.038991214270155145,0.039703982144954776,0.039223318755295035,0.03931639068449482,0.04018184168569828,0.039778665846910546,0.040360081077858594,0.0407249344535242,0.04069204410011919,0.040184177480117204,0.04061148582513214,0.04044117647058824,0.04051004102074101,0.04072274862520642,0.04068641875880868,0.040255093639126334,0.03994411353776013,0.040004609821801575,0.04049945099805738,0.040619484765983066,0.04069674319273892,0.04102184279941268,0.04071324322609303,0.04041159962581852,0.0400918058404141,0.0406104685823298,0.040596106490730845,0.040725057741950094,0.040395249950428515,0.040306915306915304,0.03971455494499677,0.03895606839551891,0.03826701785660634,0.03839924614976884,0.038389063010748556,0.038199360531078,0.03759896854797705,0.03700877527661198,0.03620439730224726,0.03671684209630619,0.03658027802346345,0.036197181953444506,0.03590287618851583,0.03569960842088939,0.035265097298778816,0.03478384272952705,0.03469893250915149,0.03473693250128814,0.03440427819433391,0.03390499255096974,0.033629602033077424,0.03322241761402637,0.0328543809052779,1.0
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.009900990099009901,0.007633587786259542,0.00625,0.01092896174863388,0.01092896174863388,0.007220216606498195,0.011049723756906077,0.01263157894736842,0.011844331641285956,0.009722222222222222,0.012074643249176729,0.017495395948434623,0.016794961511546535,0.01789838337182448,0.021348859776807377,0.020381613183000868,0.020579268292682928,0.02327150084317032,0.02394492666866208,0.026047261009667026,0.026599568655643422,0.0276013143483023,0.02808080808080808,0.029002320185614848,0.032971081230429175,0.034129089301503095,0.03722531977697606,0.039544447959506485,0.041277493220849656,0.04204117135401566,0.04068462401795735,0.04513031550068587,0.047644468170292276,0.043112391930835735,0.0432235242095954,0.043602800763844686,0.04340224210634578,0.04445544554455445,0.04655172413793104,0.04672983166222059,0.04918619209443749,0.05521321173280749,0.052002483700714065,0.050767502807937105,0.05104038280287102,0.05145413870246085,0.051949813496100374,0.05091409475132691,0.052010655841684635,0.05128205128205128,0.05064966313763234,0.05034907111584428,0.051888965676111495,0.051654514862591136,0.05138533558325622,0.05093748340149785,0.049919983480460485,0.04929684723561964,0.04966037735849057,0.05006947201270345,0.0518884057262911,0.052376380220835336,0.05418394270637015,0.05512393636699963,0.05536553108040316,0.05514507118399712,0.05592880978865406,0.05693731631355003,0.056432824229873155,0.05624866936342346,0.05531435250897554,0.05501510949207269,0.05493236555592214,0.055048488305761555,0.05620608899297424,0.056566219497631465,0.0560674683741996,0.05529159322553452,0.05478049890059898,0.05482183843172668,0.054993466492439795,0.0551777662798433,0.0551920757337622,0.05507876154263987,0.05476352928502173,0.054464285714285715,0.05468611377266759,0.05475778851921109,0.0551656372824256,0.05526462784527301,0.05534351145038168,0.055073063137579266,0.05489374849806035,0.05478002662206901,1.0
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.018867924528301886,0.020618556701030927,0.02242152466367713,0.024464831804281346,0.024096385542168676,0.019417475728155338,0.021714285714285714,0.020750988142292492,0.020914020139426802,0.021653543307086614,0.017059708981435023,0.014002333722287048,0.022058823529411766,0.023896542029800395,0.029027196652719665,0.02706002034587996,0.03127369219105383,0.03330396475770925,0.029829134086301768,0.03559953733453284,0.038150552328891925,0.03883892068683565,0.04251281078003416,0.04291920069504779,0.04603240548400499,0.04498916373963082,0.04796625920366002,0.05883549108655867,0.06113069755729036,0.0616336486406092,0.06188034188034188,0.0627435697583788,0.06717133484733788,0.06989194499017681,0.06862788731140683,0.07086580086580087,0.07370093223527445,0.0757058009925962,0.07610115160869049,0.07735507943224218,0.07935542718151414,0.08099525535173908,0.08148014440433213,0.08131692393269364,0.08317683613890121,0.0851913818417728,0.08527674907416675,0.08598674112537148,0.08769156315534764,0.08797155712173174,0.08867359846965536,0.08889158379820519,0.08842462895630923,0.08908633200059234,0.0885736754725774,0.0896571510543681,0.09076810286487706,0.09103505611750035,0.09094624417622538,0.09105000133621957,0.0904606989190891,0.09032006245120999,0.0904244412548698,0.09134505012371502,0.09175075681130171,0.09179951026935186,0.09126405535648091,0.09155188021432241,0.09138089925789397,0.09206064716140283,0.0920618879183811,0.09262008524495953,0.09309409357003474,0.09341010876519514,0.09224936815501264,0.09241937735585648,0.09257153465920957,0.0926731116147833,0.09291302346985734,0.09254398977565785,0.09259217140127823,0.09262451238319877,0.09267265771781696,0.09290369134327012,0.09325026427655699,0.09306749015395632,0.0930346268391341,0.09315323707498836,0.0929368851553001,1.0
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.01020408163265306,0.017241379310344827,0.014598540145985401,0.01092896174863388,0.012987012987012988,0.011235955056179775,0.013157894736842105,0.014619883040935672,0.022443890274314215,0.01818181818181818,0.01877133105802048,0.020477815699658702,0.022970903522205207,0.02774108322324967,0.02328159645232816,0.022044088176352707,0.020054694621695533,0.018166804293971925,0.01875,0.014445173998686802,0.01325301204819277,0.012373453318335208,0.011733333333333333,0.011733333333333333,0.03255587949465501,0.032771961766044605,0.03446808510638298,0.034733441033925685,0.034133533383345835,0.034371643394199784,0.0358729074137342,0.036152356358941255,0.03961322520274485,0.04135673906575424,0.04336734693877551,0.04460665044606651,0.04634209841187191,0.047533401849948614,0.04757135703555333,0.04992693619094009,0.05181586860976174,0.04959209961356806,0.050031269543464665,0.05003987240829346,0.049903288201160544,0.0496054114994363,0.048342794360007324,0.05040679165192784,0.05153415833192066,0.05096689609963946,0.05149872448979592,0.0513382375958679,0.05181187355435621,0.0531591737545565,0.053147268408551065,0.05355843399796245,0.053251917069014484,0.05376947915204268,0.05392022008253095,0.053806833467850416,0.05390014567606939,0.05290190035952748,0.0529583174965159,0.05360281195079086,0.0532675709001233,0.053495440729483285,0.052795776337892966,0.052938377349512254,0.05334432406971267,0.053876786132583745,0.05299988528163359,0.05294852857629815,0.052839561928418204,0.052892189961737564,0.0524622892635315,0.052083333333333336,0.0520708772692684,0.052109181141439205,0.052400342906129445,0.05229523910959634,0.052248258391386956,0.05232253329139142,0.05235165293565544,0.05241350735446447,0.05263157894736842,0.052728575816525035,0.05255638330441882,1.0
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.02336448598130841,0.02586206896551724,0.026515151515151516,0.03134796238244514,0.029891304347826088,0.030534351145038167,0.03111111111111111,0.023608768971332208,0.020802377414561663,0.019157088122605363,0.017241379310344827,0.017025089605734768,0.01902398676592225,0.024132730015082957,0.02231237322515213,0.021367521367521368,0.019875070982396367,0.02232606438213915,0.022840119165839126,0.02506024096385542,0.026259147653895823,0.02639873916469661,0.02639873916469661,0.02622950819672131,0.027976799727055614,0.0278125,0.02781136638452237,0.02905287623474724,0.03131991051454139,0.029747149231531978,0.030033637674195098,0.02994535519125683,0.030934479054779807,0.03210815378115758,0.03233021553477023,0.0333465660976578,0.03398617511520737,0.034417549167927386,0.03481660770806181,0.03340256143994462,0.03401246001010271,0.03305514645720831,0.0321656050955414,0.03133240266790755,0.034019832189168576,0.035009642486278,0.03552934407364787,0.036041031327973386,0.03679065978821613,0.03794613241342709,0.03780964797913951,0.037738246505717915,0.037825059101654845,0.037832560410056136,0.03780109706653947,0.037753546722945244,0.037284234752589185,0.03700760585764559,0.03703290574456219,0.037061548643282594,0.0379287598944591,0.037727619670701124,0.03854482459939368,0.038314582891105925,0.03853442830069488,0.03831337844872462,0.03851316468766133,0.03861202635914333,0.039503386004514675,0.03970121764043794,0.03961401726764855,0.040032186682760006,0.0399117529081428,0.04091816367265469,0.04107000795544948,0.041173545499751364,0.04069595989383663,0.04096197086714244,0.041114575214341385,0.04090909090909091,1.0
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.08,0.04081632653061224,0.034482758620689655,0.03125,0.03125,0.022058823529411766,0.029940119760479042,0.027777777777777776,0.021341463414634148,0.018518518518518517,0.015337423312883436,0.013123359580052493,0.012935323383084577,0.015484922575387123,0.014872521246458924,0.012658227848101266,0.012300123001230012,0.014383989993746092,0.013868251609707775,0.011924009700889249,0.012447405329593268,0.012609405132769619,0.012832385236142347,0.015985790408525755,0.016556291390728478,0.016891891891891893,0.017894736842105262,0.01863673050113728,0.020071879026242627,0.0205758695375207,0.022049209556638534,0.023319234194122886,0.023490993363531023,0.023171651168635336,0.021932537228222086,0.026400961716293695,0.027265864381189216,0.0286203941730934,0.029336889319917566,0.02934368992977914,0.029416235937975068,0.0304183914843288,0.031110951629108655,0.03243980963045913,0.033291732721691905,0.034258015917204336,0.03421325723180698,0.0340660386335522,0.03385611152601444,0.035653391791499206,0.03669558929862617,0.037607598693974474,0.03784017278617711,0.03846587704455725,0.03822273961971284,0.03792150059633525,0.039220924951241014,0.04039367385068814,0.041104357680024725,0.042529849984692315,0.042827141357067854,0.042344073307715044,0.04233565955785467,0.04246127407690288,0.0431018212701708,0.04339373741581615,0.04343589975982236,0.04380718589600536,0.04328178128770429,0.04298389180807994,0.04369407754580315,0.04411207078154624,0.04405087218261388,0.04426962201953607,0.04452690166975881,0.04395863641725317,0.043501787612329694,0.043192865617943124,0.0440218114110919,0.04432767195270714,0.04424177921315326,0.04413489471499973,0.04362457933441356,0.04327092278454283,0.04402318658937804,0.043633640788264524,0.043318600245920706,0.04326117715939955,0.0428311928359731,0.042231050771107705,0.04177131323092094,0.041895208945725626,0.04156152590173668,0.04121964991530209,0.040538255600958154,0.03976886471787899,0.03878677200365239,0.03799498228280268,1.0
