data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1018734202,Ventress Correctional Facility,Correctional Facility,Alabama,"Barbour County, AL",1.56,24,Designated,Rural,10/28/2016,12/10/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Ventress Correctional Facility,379 Highway 239,Clayton,AL,36016-4618,Barbour,Rural,,,,
Primary Care,1019886410,LI - Covington County,Low Income Population HPSA,Alabama,"Covington County, AL",2.3578,16,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Alabama,Covington County,Covington,Single County,01039,Rural,,,,,
Primary Care,1017897688,LI - Calhoun County,Low Income Population HPSA,Alabama,"Calhoun County, AL",4.24,13,Designated,Non-Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Alabama,Calhoun County,Calhoun,Single County,01015,Non-Rural,,,,,
Primary Care,1018364763,FCI-Talladega,Correctional Facility,Alabama,"Talladega County, AL",0.8,18,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Talladega,565 E Renfroe Rd,Talladega,AL,35160-4811,Talladega,Rural,,,,
Primary Care,101999011B,QUALITY OF LIFE HEALTH SERVICES INC,Federally Qualified Health Center,Alabama,"Etowah County, AL",0,17,Designated,Non-Rural,07/17/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ANNISTON QUALITY HEALTH CARE,1316 Noble St,Anniston,AL,36201-4643,Calhoun,Non-Rural,,,,
,BLOUNT COUNTY QUALITY HEALTH CARE,1000 Lincoln Ave,Oneonta,AL,35121-2537,Blount,Rural,,,,
,Calhoun Quality Health Care,601 Leighton Ave,Anniston,AL,36207-5743,Calhoun,Non-Rural,,,,
,Canterberry Family Practice,502 N 27th St,Gadsden,AL,35904-1580,Etowah,Non-Rural,,,,
,Chambers Quality Health Care,34 Veterans Memorial Pkwy,Lanett,AL,36863-2840,Chambers,Rural,,,,
,Cherokee Quality Health Care,4055 Al Highway 9,Cedar Bluff,AL,35959-5099,Cherokee,Rural,,,,
,Clay Quality Health Care,40745 Highway 77,Ashland,AL,36251-4807,Clay,Rural,,,,
,Cleburne Quality Health Care,64 Giles St,Heflin,AL,36264-1738,Cleburne,Rural,,,,
,CULLMAN QUALITY HEALTH CARE,2016 Main Ave SW,Cullman,AL,35055-5239,Cullman,Rural,,,,
,Dekalb Quality Health Care,12062 Al Highway 227,Geraldine,AL,35974-3562,DeKalb,Rural,,,,
,Douglas Medical Center,8225 Al Highway 75,Horton,AL,35980-8473,Marshall,Rural,,,,
,Gadsden Family and Student Health Solutions,1216 Wilbanks Ave,Gadsden,AL,35903-2024,Etowah,Non-Rural,,,,
,J.W. STEWART NEIGHBORHOOD HEALTH CENTER,1409 Springfield Ave,Gadsden,AL,35903-2819,Etowah,Non-Rural,,,,
,PROCARE - COLLEY HOMES,420 N 6th St,Gadsden,AL,35901-3244,Etowah,Non-Rural,,,,
,Quality Health Express,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah,Non-Rural,,,,
,Quality Health Express II,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah,Non-Rural,,,,
,Quality of Life Health Complex ,1411 Piedmont Cutoff,Gadsden,AL,35903-2708,Etowah,Non-Rural,,,,
,ROBERTA O. WATTS MEDICAL CENTER,1020 Tuscaloosa Ave,Gadsden,AL,35901-3005,Etowah,Non-Rural,,,,
,SARDIS CITY MEDICAL CENTER,1989 Sardis Dr,Boaz,AL,35956-2344,Etowah,Rural,,,,
,Susie E. Allen Health Center,1502 11th Ave,Phenix City,AL,36867-4905,Russell,Non-Rural,,,,
,TALLADEGA QUALITY HEALTH CARE,110 Spring St N,Talladega,AL,35160-2040,Talladega,Rural,,,,
,Tuskegee Quality Health Care,1201 Notasulga Rd,Tuskegee,AL,36083-7131,Macon,Rural,,,,
,W. T. SCRUGGS MEDICAL CENTER,4350 Cleveland Ave,Altoona,AL,35952,Etowah,Non-Rural,,,,
,Wadley Cornerstone Clinic,203 Tallapoosa St,Wadley,AL,36276-4215,Randolph,Rural,,,,
Primary Care,101999011N,"HEALTH SERVICES, (INC)",Federally Qualified Health Center,Alabama,"Montgomery County, AL",0,22,Designated,Non-Rural,07/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Autaugaville Family Health Center,203 N Taylor St,Autaugaville,AL,36003-2663,Autauga,Non-Rural,,,,
,Bellingrath School Based Health Center,3550 S Court St,Montgomery,AL,36105-2102,Montgomery,Non-Rural,,,,
,Chisholm Family Health Center,100 E Vandiver Blvd,Montgomery,AL,36110-1812,Montgomery,Non-Rural,,,,
,Clanton Family Health Center,107 Medical Center Dr,Clanton,AL,35045-2331,Chilton,Rural,,,,
,Eclectic Family Health Center,30 Main St,Eclectic,AL,36024-5614,Elmore,Non-Rural,,,,
,Gateway Family Health Center,2905 E South Blvd,Montgomery,AL,36116-2501,Montgomery,Non-Rural,,,,
,Hayneville Family Health Center,511 E Tuskeena St,Hayneville,AL,36040-2666,Lowndes,Non-Rural,,,,
,Highland Gardens School Based Health Center,2801 Willena Ave,Montgomery,AL,36107-1055,Montgomery,Non-Rural,,,,
,Montevallo Family Health Center,33 Salem Rd,Montevallo,AL,35115-3586,Shelby,Non-Rural,,,,
,Montgomery East Family Health Center,309 Saint Lukes Dr,Montgomery,AL,36117-7109,Montgomery,Non-Rural,,,,
,Montgomery Primary Healthcare Center,3058 Mobile Hwy,Montgomery,AL,36108-4027,Montgomery,Non-Rural,,,,
