data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1029990236,SUNSHINE COMMUNITY HEALTH CENTER INCORPORATED,Federally Qualified Health Center,Alaska,"Matanuska-Susitna Borough, AK",0,17,Designated,Rural,06/16/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SCHC Administrative Office,28468 S Talkeetna Spur,Talkeetna,AK,99676,Matanuska-Susitna,Rural,,,,
,SUNSHINE COMMUNITY HEALTH CENTER,34300 S Talkeetna Spur,Talkeetna,AK,99676,Matanuska-Susitna,Rural,,,,
,SuValley Jr./Sr. High Shool,42728 S Parks Hwy,Talkeetna,AK,99676,Matanuska-Susitna,Rural,,,,
,Talkeetna Elementary School,13930 E Timber Wolf Loop,Talkeetna,AK,99676,Matanuska-Susitna,Rural,,,,
,Willow Community Health Center,24091 W Long Lake Rd,Willow,AK,99688,Matanuska-Susitna,Rural,,,,
Primary Care,1029990243,Yukon-kuskokwim Health Corporation,Federally Qualified Health Center,Alaska,"Bethel Census Area, AK",0,20,Designated,Rural,06/23/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ALAKANUK CLINIC,General Delivery,Alakanuk,AK,99554-9999,Kusilvak,Rural,,,,
,ANIAK SUB-REGIONAL CLINIC,Morgan Rd,Aniak,AK,99557,Bethel,Rural,,,,
,ANVIK CLINIC,General Delivery,Anvik,AK,99558-9999,Yukon-Koyukuk,Rural,,,,
,CHEFORNAK CLINIC,General Delivery,Chefornak,AK,99561-9999,Bethel,Rural,,,,
,CHEVAK CLINIC,General Delivery,Chevak,AK,99563-9999,Kusilvak,Rural,,,,
,CHUATHBALUK CLINIC,General Delivery,Chuathbaluk,AK,99557-9999,Bethel,Rural,,,,
,CROOKED CREEK CLINIC,General Delivery,Crooked Creek,AK,99575-9999,Bethel,Rural,,,,
,EMMONAK SUB-REGIONAL CLINIC,246 Kwiguk St,Emmonak,AK,99581-0010,Kusilvak,Rural,,,,
,Georgetown Clinic,#1 Clinic Road,Georgetown,AK,99501,Bethel,Rural,,,,
,GRAYLING CLINIC,# 1 CLINIC ROAD GENERAL DELIV.,Grayling,AK,99590,Yukon-Koyukuk,Rural,,,,
,HOLY CROSS CLINIC,General Delivery,Holy Cross,AK,99602-9999,Yukon-Koyukuk,Rural,,,,
,HOOPER BAY SUB-REGIONAL CLINIC,Airport Rd,Hooper Bay,AK,99604,Kusilvak,Rural,,,,
,KOTLIK CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Kotlik,AK,99620,Kusilvak,Rural,,,,
,LIME VILLIAGE CLINIC,#1 CLINIC ROAD GENERAL DELIVE.,Mc Grath,AK,99627,Yukon-Koyukuk,Rural,,,,
,LOWER KALSKAG CLINIC,#1 CLINIC ROAD GENERAL DELV.,Lower Kalskag,AK,99626,Bethel,Rural,,,,
,MARSHAL CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Marshall,AK,99585,Kusilvak,Rural,,,,
,MEKORYUK CLINIC,General Delivery,Mekoryuk,AK,99630-9999,Bethel,Rural,,,,
,MOUNTAIN VILLAGE CLINIC,#1 Clinic Road,Mountain Village,AK,99632,Kusilvak,Rural,,,,
,Napaimute Clinic,#1 Clinic Road,Mountain Village,AK,99632,Kusilvak,Rural,,,,
,Newtok Clinic,#1 Clinic Road,Bethel,AK,99559,Bethel,Rural,,,,
,NIGHTMUTE CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Nightmute,AK,99690,Bethel,Rural,,,,
,PILOT STATION CLINIC,#1 Clinic Road,Pilot Station,AK,99650,Kusilvak,Rural,,,,
,PITKA'S POINT CLINIC,#1 PITKA POINT CLINIC,Pitkas Point,AK,99658-,Kusilvak,Rural,,,,
,Red Devil Clinic,#1 Clinic Road,Red Devil,AK,99656,Bethel,Rural,,,,
,Russian Mission clinic,#1 Clinic Road,Russian Mission,AK,99657,Kusilvak,Rural,,,,
,SCAMMON BAY CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Scammon Bay,AK,99662,Kusilvak,Rural,,,,
,SHAGELUK CLINIC,General Delivery,Shageluk,AK,99665-9999,Yukon-Koyukuk,Rural,,,,
,SHELDON POINT NUNAM IQUA CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Nunam Iqua,AK,99666,Kusilvak,Rural,,,,
,SLEETMUTE CLINIC,#1 CLINC ROAD GENERAL DELIV.,Sleetmute,AK,99668,Bethel,Rural,,,,
,ST MARY'S SUB-REGIONAL CLINIC,290 High School Lane,Saint Marys,AK,99658,Kusilvak,Rural,,,,
,STONY RIVER CLINIC,#1 CLINIC ROAD GENERAL DELV.,Aniak,AK,99557,Bethel,Rural,,,,
,TOOKSOOK BAY SUB-REGIONAL CLINIC,Airport Rd,Toksook Bay,AK,99637,Bethel,Rural,,,,
,Tununak Clinic,#1 Clinic Road,Tununak,AK,99681,Bethel,Rural,,,,
,UPPER KALSKAG CLINIC,#1 CLINIC ROAD GENERAL DELIV.,Kalskag,AK,99607,Bethel,Rural,,,,
,YUKON-KUSKOKWIM HEALTH CORPORATION,Eddie Hoffman Hwy,Bethel,AK,99559,Bethel,Rural,,,,
Primary Care,1029990283,DENA' NENA' HENASH,Federally Qualified Health Center,Alaska,"Fairbanks North Star Borough, AK",0,17,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ALATNA HEALTH CLINIC,Oscar's Way,Allakaket,AK,99720,Yukon-Koyukuk,Rural,,,,
,ALLAKAKET HEALTH CLINIC,Main Rd,Allakaket,AK,99720,Yukon-Koyukuk,Rural,,,,
,Altona Brown Health Clinic,Good Time Rd,Ruby,AK,99768,Yukon-Koyukuk,Rural,,,,
