data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1041595675,CF-ASPC-Red Rock,Correctional Facility,Arizona,"Pinal County, AZ",0.76,12,Designated,Rural,11/30/2018,11/30/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF-ASPC-Red Rock,1750 E Arica Rd,Eloy,AZ,85131-1215,Pinal,Rural,,,,
Primary Care,1045345634,Immigration and Customs Enforcement - Florence,Correctional Facility,Arizona,"Pinal County, AZ",5.56,21,Designated,Non-Rural,11/18/1994,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Immigration and Customs Enforcement - Florence,3250 N Pinal Pkwy,Florence,AZ,85132-9459,Pinal,Non-Rural,,,,
Primary Care,1048289067,Immigration and Customs Enforcement - Eloy,Correctional Facility,Arizona,"Pinal County, AZ",2.96,15,Designated,Rural,11/20/2009,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Immigration and Customs Enforcement - Eloy,1705 E Hanna Rd,Eloy,AZ,85131-9612,Pinal,Rural,,,,
Primary Care,1044356503,ICE - Florence Correctional Center,Correctional Facility,Arizona,"Pinal County, AZ",0.8,21,Designated,Rural,01/15/2019,01/15/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ICE - Florence Correctional Center,1100 N Bowling Rd,Florence,AZ,85132,Pinal,Rural,,,,
Primary Care,1042869370,FCI-Phoenix,Correctional Facility,Arizona,"Maricopa County, AZ",0.96,18,Designated,Non-Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Phoenix,37900 N 45th Ave,Phoenix,AZ,85086-7008,Maricopa,Non-Rural,,,,
Primary Care,1044532463,NATIVE HEALTH,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",0,18,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NATIVE HEALTH,4041 N Central Ave Bldg C,Phoenix,AZ,85012-3313,Maricopa,Non-Rural,,,,
Primary Care,1046362984,CRADLEBOARD ELEMENTARY SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",0,20,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CRADLEBOARD ELEMENTARY SCHOOL,7301 Power Line Rd,Whiteriver,AZ,85941,Navajo,Rural,,,,
Primary Care,10499904Z8,TRI-VALLEY MEDICAL CENTER,Rural Health Clinic,Arizona,"La Paz County, AZ",0,17,Designated,Rural,05/03/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TRI-VALLEY MEDICAL CENTER,39726 Harquahala Rd,Salome,AZ,85348,La Paz,Rural,,,,
Primary Care,1043847604,WHITE MTN APACHE HEADSTART,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",0,20,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WHITE MTN APACHE HEADSTART,311 N 1st Ave,Whiteriver,AZ,85941,Navajo,Rural,,,,
Primary Care,10499904G3,"YAVAPAI, COUNTY OF",Federally Qualified Health Center,Arizona,"Yavapai County, AZ",0,15,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COTTONWOOD,51 S Brian Mickelsen Pkwy,Cottonwood,AZ,86326-3610,Yavapai,Rural,,,,
,PRESCOTT,1090 Commerce Dr,Prescott,AZ,86305-3700,Yavapai,Non-Rural,,,,
,PRESCOTT VALLEY,3212 N Windsong Dr,Prescott Valley,AZ,86314-2255,Yavapai,Non-Rural,,,,
Primary Care,10499904C4,"Adelante Healthcare, Inc.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",0,21,Designated,Non-Rural,08/28/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Adelante Healthcare,3033 N Central Ave,Phoenix,AZ,85012-2809,Maricopa,Non-Rural,,,,
,Adelante Healthcare Buckeye,306 E Monroe Ave,Buckeye,AZ,85326-2706,Maricopa,Non-Rural,,,,
,Adelante Healthcare Central Phoenix,500 W Thomas Rd Ste 870,Phoenix,AZ,85013-4218,Maricopa,Non-Rural,,,,
,Adelante Healthcare Gila Bend,100 N Gila Blvd,Gila Bend,AZ,85337,Maricopa,Rural,,,,
,Adelante Healthcare Goodyear,13471 W Cornerstone Blvd,Goodyear,AZ,85395-2713,Maricopa,Non-Rural,,,,
,Adelante Healthcare Mesa,1705 W Main St,Mesa,AZ,85201-6920,Maricopa,Non-Rural,,,,
,Adelante Healthcare Peoria,15525 N 83rd Ave Ste 104,Peoria,AZ,85382-5820,Maricopa,Non-Rural,,,,
,Adelante Healthcare Surprise,15351 W Bell Rd,Surprise,AZ,85374-4580,Maricopa,Non-Rural,,,,
,Adelante Healthcare Surprise Dental Office,15317 W Bell Rd Ste 108,Surprise,AZ,85374-3901,Maricopa,Non-Rural,,,,
,Adelante Healthcare Surprise Same Day Clinic,15317 W Bell Rd Ste 100,Surprise,AZ,85374-3900,Maricopa,Non-Rural,,,,
,Adelante Healthcare West Phoenix,7725 N 43rd Ave Ste 510,Phoenix,AZ,85051-5771,Maricopa,Non-Rural,,,,
,Adelante Healthcare Wickenburg,811 N Tegner St Ste 113,Wickenburg,AZ,85390-5410,Maricopa,Rural,,,,
