data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1061626102,Avenal State Prison,Correctional Facility,California,"Kings County, CA",1.11,12,Designated,Rural,08/21/2006,09/25/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Avenal State Prison,1 Kings Way,Avenal,CA,93204-9708,Kings,Rural,,,,
Primary Care,1063588460,LI-MSSA 65-Boron/California City,Low Income Population HPSA,California,"Kern County, CA",5.72,18,Designated,Partially Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,California,Kern County,55.06,Census Tract,06029005506,Non-Rural,,,,,
,California,Kern County,55.07,Census Tract,06029005507,Rural,,,,,
,California,Kern County,55.08,Census Tract,06029005508,Rural,,,,,
,California,Kern County,56,Census Tract,06029005600,Rural,,,,,
,California,Kern County,57,Census Tract,06029005700,Rural,,,,,
,California,Kern County,58.01,Census Tract,06029005801,Non-Rural,,,,,
,California,Kern County,58.02,Census Tract,06029005802,Non-Rural,,,,,
,California,Kern County,59,Census Tract,06029005900,Rural,,,,,
,California,Kern County,65,Census Tract,06029006500,Rural,,,,,
Primary Care,1067342743,ME-MSSA 162f/Bayview/Candlestick/Hunters Point/Portola,Medicaid Eligible Population HPSA,California,"San Francisco County, CA",11.68,14,Designated,Non-Rural,03/20/2019,03/20/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,California,San Francisco County,230.01,Census Tract,06075023001,Non-Rural,,,,,
,California,San Francisco County,230.03,Census Tract,06075023003,Non-Rural,,,,,
,California,San Francisco County,231.02,Census Tract,06075023102,Non-Rural,,,,,
,California,San Francisco County,231.03,Census Tract,06075023103,Non-Rural,,,,,
,California,San Francisco County,232,Census Tract,06075023200,Non-Rural,,,,,
,California,San Francisco County,233,Census Tract,06075023300,Non-Rural,,,,,
,California,San Francisco County,234,Census Tract,06075023400,Non-Rural,,,,,
,California,San Francisco County,256,Census Tract,06075025600,Non-Rural,,,,,
,California,San Francisco County,257.01,Census Tract,06075025701,Non-Rural,,,,,
,California,San Francisco County,257.02,Census Tract,06075025702,Non-Rural,,,,,
,California,San Francisco County,258,Census Tract,06075025800,Non-Rural,,,,,
,California,San Francisco County,259,Census Tract,06075025900,Non-Rural,,,,,
,California,San Francisco County,264.01,Census Tract,06075026401,Non-Rural,,,,,
,California,San Francisco County,264.02,Census Tract,06075026402,Non-Rural,,,,,
,California,San Francisco County,264.03,Census Tract,06075026403,Non-Rural,,,,,
,California,San Francisco County,264.04,Census Tract,06075026404,Non-Rural,,,,,
,California,San Francisco County,605.02,Census Tract,06075060502,Non-Rural,,,,,
,California,San Francisco County,610,Census Tract,06075061000,Non-Rural,,,,,
,California,San Francisco County,612,Census Tract,06075061200,Non-Rural,,,,,
,California,San Francisco County,614,Census Tract,06075061400,Non-Rural,,,,,
,California,San Francisco County,9805.01,Census Tract,06075980501,Non-Rural,,,,,
,California,San Francisco County,9806,Census Tract,06075980600,Non-Rural,,,,,
,California,San Francisco County,9809,Census Tract,06075980900,Non-Rural,,,,,
Primary Care,1065256735,FCC-Victorville,Correctional Facility,California,"San Bernardino County, CA",3.2,21,Designated,Non-Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Victorville,13777 Air Expressway Blvd,Victorville,CA,92394-0510,San Bernardino,Non-Rural,,,,
Primary Care,1063237399,USP-Lompoc,Correctional Facility,California,"Santa Barbara County, CA",1.25,12,Designated,Non-Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,USP-Lompoc,3901 Klein Blvd,Lompoc,CA,93436-2706,Santa Barbara,Non-Rural,,,,
Primary Care,1064248902,USP-Atwater,Correctional Facility,California,"Merced County, CA",1.13,15,Designated,Non-Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,USP-Atwater,1 Federal Way,Atwater,CA,95301-5174,Merced,Non-Rural,,,,
Primary Care,1069205795,ICE-Otay Mesa Detention Center/San Diego,Correctional Facility,California,"San Diego County, CA",0.43,6,Designated,Non-Rural,02/26/2019,02/26/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ICE-Otay Mesa Detention Center/San Diego,7488 Calzada De La Fuente,San Diego,CA,92154-2717,San Diego,Non-Rural,,,,
Primary Care,10699906F6,United Health Centers of The San Joaquin Valley,Federally Qualified Health Center,California,"Fresno County, CA",0,19,Designated,Non-Rural,07/15/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Sanger Community Health Center,1570 7th St,Sanger,CA,93657-2402,Fresno,Non-Rural,,,,
,United Health Centers - Reedley,1560 E Manning Ave,Reedley,CA,93654-2346,Fresno,Rural,,,,
,United Health Centers - Reedley,1790 E Manning Ave,Reedley,CA,93654-9467,Fresno,Rural,,,,
,UNITED HEALTH CENTERS BULLARD,1780 E Bullard Ave,Fresno,CA,93710-5861,Fresno,Non-Rural,,,,
,UNITED HEALTH CENTERS CORCORAN,1209 Whitley Ave,Corcoran,CA,93212-2327,Kings,Rural,,,,
,United Health Centers Corporate Offices,3875 W Beechwood Ave,Fresno,CA,93711,Fresno,Non-Rural,,,,
,UNITED HEALTH CENTERS EARLIMART,476 E Washington Ave,Earlimart,CA,93219,Tulare,Rural,,,,
,UNITED HEALTH CENTERS FOWLER,106 E Main St,Fowler,CA,93625-2433,Fresno,Rural,,,,
,UNITED HEALTH CENTERS HURON,16928 11th St,Huron,CA,93234,Fresno,Rural,,,,
,UNITED HEALTH CENTERS KERMAN,517 S Madera Ave,Kerman,CA,93630-1523,Fresno,Non-Rural,,,,
