data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1139340193,USP-Atlanta,Correctional Facility,Georgia,"Fulton County, GA",1.85,12,Designated,Non-Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,USP-Atlanta,601 Mcdonough Blvd SE,Atlanta,GA,30315-4400,Fulton,Non-Rural,,,,
Primary Care,1135334047,ICE-Stewart,Correctional Facility,Georgia,"Stewart County, GA",5.47,21,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ICE-Stewart,146 Cca Rd,Lumpkin,GA,31815-3823,Stewart,Rural,,,,
Primary Care,1139563016,Burke County,High Needs Geographic HPSA,Georgia,"Burke County, GA",1.8,16,Designated,Partially Rural,05/16/2019,05/16/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Georgia,Burke County,Burke,Single County,13033,Partially Rural,,,,,
Primary Care,1135547866,Autry State Prison,Correctional Facility,Georgia,"Mitchell County, GA",1.29,12,Designated,Rural,05/13/2019,05/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Autry State Prison,3178 Mount Zion Church Rd,Pelham,GA,31779-5234,Mitchell,Rural,,,,
Primary Care,1135296523,RAY MEDICAL CLINIC,Rural Health Clinic,Georgia,"Emanuel County, GA",0,20,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,RAY MEDICAL CLINIC,401 W Main St,Swainsboro,GA,30401-3110,Emanuel,Rural,,,,
Primary Care,113999132P,"MERIDIAN EDUCATION RESOURCE GROUP, INC.",Federally Qualified Health Center,Georgia,"DeKalb County, GA",0,22,Designated,Non-Rural,11/20/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Martin Luther King Middle School,545 Hill St SE,Atlanta,GA,30312-3051,Fulton,Non-Rural,,,,
,Toomer Elementary School,65 Rogers St SE,Atlanta,GA,30317-2237,DeKalb,Non-Rural,,,,
,WHITEFOORD COMMUNITY PROGRAM,1353 George W Brumley Way SE,Atlanta,GA,30317-1743,DeKalb,Non-Rural,,,,
,WHITEFOORD ELEM SCHL HLTH CLINIC,35 Whitefoord Ave SE,Atlanta,GA,30317-1727,DeKalb,Non-Rural,,,,
,Whitefoord Family Medical Center,30 Warren St NE,Atlanta,GA,30317-1003,DeKalb,Non-Rural,,,,
Primary Care,113999132R,TENDER CARE CLINIC INC,Federally Qualified Health Center,Georgia,"Greene County, GA",0,23,Designated,Rural,11/20/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TenderCare Clinic dba Family Medical of Lake Oconee,1041 Park Dr,Greensboro,GA,30642-3465,Greene,Rural,,,,
,Tendercare Clinic dba Family Medical of Milledgeville,111 Fieldstone Dr,Milledgeville,GA,31061-7106,Baldwin,Rural,,,,
,TenderCare Clinic dba Family Medical of Milledgeville - River Edge Service Site,60 Ga Highway 22 W,Milledgeville,GA,31061-6606,Baldwin,Rural,,,,
,"TENDERCARE CLINIC, INC.",803 S Main St,Greensboro,GA,30642-1211,Greene,Rural,,,,
,TenderCare Women's Center,1040 Park Dr,Greensboro,GA,30642-3466,Greene,Rural,,,,
Primary Care,11399913CX,WRENS PHYSICIANS' HEALTH GROUP,Rural Health Clinic,Georgia,"Jefferson County, GA",0,20,Designated,Rural,03/15/2011,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WRENS PHYSICIANS' HEALTH GROUP,400 Canterbury Dr,Wrens,GA,30833-4072,Jefferson,Rural,,,,
Primary Care,1133279564,"Southwest Georgia Healthcare Clinics, Inc.",Federally Qualified Health Center Look-alike,Georgia,"Seminole County, GA",0,21,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Southwest Georgia OBGYN Clinic,900 N Wiley Ave,Donalsonville,GA,39845-1127,Seminole,Rural,,,,
,Southwest Georgia Pediatric CLinic,205 Bresee St,Donalsonville,GA,39845-1134,Seminole,Rural,,,,
Primary Care,113999134U,"FIRST CHOICE PRIMARY CARE, INC.",Federally Qualified Health Center,Georgia,"Bibb County, GA",0,21,Designated,Non-Rural,10/31/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Daybreak Center Suite A,174 Walnut St,Macon,GA,31201-3440,Bibb,Non-Rural,,,,
,FCPC Bibb County Health Dept,171 Emery Hwy,Macon,GA,31217-3666,Bibb,Non-Rural,,,,
,First Choice HHC Transitional Care,1601 Watson Blvd,Warner Robins,GA,31093-3431,Houston,Non-Rural,,,,
,First Choice Navicent Transitional Care,777 Hemlock St,Macon,GA,31201-2102,Bibb,Non-Rural,,,,
,First Choice Primary Care - South Macon Family Physicians,3741 Houston Ave,Macon,GA,31206-2415,Bibb,Non-Rural,,,,
,FIRST CHOICE PRIMARY CARE INC.,770 Walnut St,Macon,GA,31201-2635,Bibb,Non-Rural,,,,
,First Choice Primary Care Poplar St,400 Poplar St,Macon,GA,31201-3336,Bibb,Non-Rural,,,,
,First Choice Primary Care Warner Robins,207 Green St,Warner Robins,GA,31093-2727,Houston,Non-Rural,,,,
,Ingram Pye Health Center,855 Anthony Rd,Macon,GA,31204-6266,Bibb,Non-Rural,,,,
Primary Care,11399913DC,"GOOD SAMARITAN HEALTH & WELLNESS CENTER, INC.",Federally Qualified Health Center,Georgia,"Pickens County, GA",0,19,Designated,Rural,05/01/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
