data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1267607150,LI-Muskegon County,Low Income Population HPSA,Michigan,"Muskegon County, MI",16.44,18,Designated,Partially Rural,11/15/2018,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Michigan,Muskegon County,Muskegon,Single County,26121,Partially Rural,,,,,
Primary Care,1267491382,LI-West Kent County,Low Income Population HPSA,Michigan,"Kent County, MI",51.93,17,Designated,Non-Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Michigan,Kent County,Algoma township,County Subdivision,2608101160,Non-Rural,,,,,
,Michigan,Kent County,Alpine township,County Subdivision,2608101840,Non-Rural,,,,,
,Michigan,Kent County,Byron township,County Subdivision,2608112240,Non-Rural,,,,,
,Michigan,Kent County,Cedar Springs city,County Subdivision,2608114200,Non-Rural,,,,,
,Michigan,Kent County,Gaines charter township,County Subdivision,2608131240,Non-Rural,,,,,
,Michigan,Kent County,Grand Rapids city,County Subdivision,2608134000,Non-Rural,,,,,
,Michigan,Kent County,Grandville city,County Subdivision,2608134160,Non-Rural,,,,,
,Michigan,Kent County,Kentwood city,County Subdivision,2608142820,Non-Rural,,,,,
,Michigan,Kent County,Nelson township,County Subdivision,2608156920,Non-Rural,,,,,
,Michigan,Kent County,Plainfield charter township,County Subdivision,2608164660,Non-Rural,,,,,
,Michigan,Kent County,Rockford city,County Subdivision,2608169080,Non-Rural,,,,,
,Michigan,Kent County,Solon township,County Subdivision,2608174460,Non-Rural,,,,,
,Michigan,Kent County,Sparta township,County Subdivision,2608175440,Non-Rural,,,,,
,Michigan,Kent County,Spencer township,County Subdivision,2608175560,Non-Rural,,,,,
,Michigan,Kent County,Tyrone township,County Subdivision,2608181140,Non-Rural,,,,,
,Michigan,Kent County,Walker city,County Subdivision,2608182960,Non-Rural,,,,,
,Michigan,Kent County,Wyoming city,County Subdivision,2608188940,Non-Rural,,,,,
Primary Care,1269155360,LI-Branch County,Low Income Population HPSA,Michigan,"Branch County, MI",3.02,14,Designated,Rural,10/20/2016,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Michigan,Branch County,Branch,Single County,26023,Rural,,,,,
Primary Care,1264953173,LI - Dickinson County,Low Income Population HPSA,Michigan,"Dickinson County, MI",1.9382,14,Designated,Rural,09/05/2019,09/05/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Michigan,Dickinson County,Dickinson,Single County,26043,Rural,,,,,
Primary Care,1262702012,LI-Berrien County,Low Income Population HPSA,Michigan,"Berrien County, MI",13.924,17,Designated,Partially Rural,09/24/2012,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Michigan,Berrien County,Berrien,Single County,26021,Partially Rural,,,,,
Primary Care,1267167895,MIDMICHIGAN HEALTH PARK - WEST BRANCH,Rural Health Clinic,Michigan,"Ogemaw County, MI",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MIDMICHIGAN HEALTH PARK - WEST BRANCH,640 Court St,West Branch,MI,48661-9390,Ogemaw,Rural,,,,
Primary Care,126999265B,SPARROW MEDICAL GROUP- ASHLEY,Rural Health Clinic,Michigan,"Gratiot County, MI",0,14,Designated,Rural,02/12/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SPARROW MEDICAL GROUP- ASHLEY,320 S Sterling St,Ashley,MI,48806-5110,Gratiot,Rural,,,,
Primary Care,12699926RS,MCKENZIE RURAL HEALTH CLINIC,Rural Health Clinic,Michigan,"Sanilac County, MI",0,14,Designated,Rural,05/12/2017,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MCKENZIE RURAL HEALTH CLINIC,75 Dawson St,Sandusky,MI,48471-3305,Sanilac,Rural,,,,
Primary Care,12699926QU,SPECTRUM HEALTH LUDINGTON HOSPITAL FAMILY AND INTE,Rural Health Clinic,Michigan,"Mason County, MI",0,13,Designated,Rural,11/05/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SPECTRUM HEALTH LUDINGTON HOSPITAL FAMILY AND INTE,922 Lawndale St,Ludington,MI,49431-1928,Mason,Rural,,,,
Primary Care,1269992612,SPECTRUM HEALTH GERBER MEMORIAL OBSTETRICS AND GYN,Rural Health Clinic,Michigan,"Newaygo County, MI",0,17,Designated,Rural,05/29/2013,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SPECTRUM HEALTH GERBER MEMORIAL OBSTETRICS AND GYN,212 S Sullivan Ave,Fremont,MI,49412-1548,Newaygo,Rural,,,,
Primary Care,126999261O,SPECTRUM HEALTH GERBER MEMORIAL FAMILY MEDICINE-HE,Rural Health Clinic,Michigan,"Newaygo County, MI",0,17,Designated,Rural,05/29/2013,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SPECTRUM HEALTH GERBER MEMORIAL FAMILY MEDICINE-HE,78 N Division St,Hesperia,MI,49421-5100,Newaygo,Rural,,,,
Primary Care,126999267Q,COMMUNITY HEALTH CENTER PEDIATRIC & ADOLESCENT CTR,Rural Health Clinic,Michigan,"Branch County, MI",0,14,Designated,Rural,02/07/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COMMUNITY HEALTH CENTER PEDIATRIC & ADOLESCENT CTR,358 E Chicago St Ste 202,Coldwater,MI,49036-2073,Branch,Rural,,,,
