data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1449994438,NARRAGANSETT IND HLTH CTR,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Rhode Island,"Washington County, RI",0,11,Designated,Non-Rural,10/26/2002,09/09/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NARRAGANSETT IND HLTH CTR,51 Old Mill Rd,Charlestown,RI,02813-3322,Washington,Non-Rural,,,,
Primary Care,1449994424,"PROVIDENCE COMMUNITY HEALTH CENTERS, INC., THE",Federally Qualified Health Center,Rhode Island,"Providence County, RI",0,19,Designated,Non-Rural,10/26/2002,02/21/2020
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,1 Randall Square Suite 202,1 Randall Sq Ste 202,Providence,RI,02904-2773,Providence,Non-Rural,,,,
,Capitol Hill Health Center,40 Candace St,Providence,RI,02908-3747,Providence,Non-Rural,,,,
,CENTRAL HEALTH CENTER,239 Cranston St,Providence,RI,02907-2406,Providence,Non-Rural,,,,
,CHAFEE HEALTH CENTER,1 Warren Way,Providence,RI,02905-5000,Providence,Non-Rural,,,,
,Crossroads RI,160 Broad St,Providence,RI,02903-4028,Providence,Non-Rural,,,,
,OLNEYVILLE HEALTH CENTER,100 Curtis St,Providence,RI,02909-3623,Providence,Non-Rural,,,,
,PCHC - Beaman &amp; Smith,335R Prairie Ave,Providence,RI,02905-1924,Providence,Non-Rural,,,,
,PCHC Dental Clinic,335R Prairie Ave,Providence,RI,02905-1924,Providence,Non-Rural,,,,
,Providence Community Health Center at Prairie Avenue,355 Prairie Ave,Providence,RI,02905-1928,Providence,Non-Rural,,,,
,Providence Community Health Centers at North Main Street,530 N Main St,Providence,RI,02904-5762,Providence,Non-Rural,,,,
,"PROVIDENCE COMMUNITY HEALTH CENTERS, INC.",375 Allens Ave,Providence,RI,02905-5010,Providence,Non-Rural,,,,
,Randall Square Health Center   Suite 205,1 Randall Sq Ste 205,Providence,RI,02904-2773,Providence,Non-Rural,,,,
,Temporary Site - Bailey Testing Site,65 Gordon Ave,Providence,RI,02905-1913,Providence,Non-Rural,,,,
,THE METROPOLITAN SHC,325 Public St,Providence,RI,02905-2340,Providence,Non-Rural,,,,
Primary Care,1449994421,Thundermist Health Center,Federally Qualified Health Center,Rhode Island,"Providence County, RI",0,19,Designated,Non-Rural,10/26/2002,02/21/2020
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HealthHut - Deering Middle School West Warwick,2 Webster Knight Dr,West Warwick,RI,02893-2743,Kent,Non-Rural,,,,
,HealthHut - Woonsocket High School,777 Cass Ave,Woonsocket,RI,02895-4719,Providence,Non-Rural,,,,
,Temporary Site - Thundermist Woonsocket Testing Site,356 Clinton St Lot Parking,Woonsocket,RI,02895-3217,Providence,Non-Rural,,,,
,The Molar Express - Dental Van,450 Clinton St,Woonsocket,RI,02895-3207,Providence,Non-Rural,,,,
,Thundermist Admin Warwick,171 Service Ave Fl 2,Warwick,RI,02886-1015,Kent,Non-Rural,,,,
,Thundermist Dental Admin Woonsocket,25 John A Cummings Way,Woonsocket,RI,02895-3244,Providence,Non-Rural,,,,
,Thundermist Dental West Warwick,1219 Main St,West Warwick,RI,02893-4834,Kent,Non-Rural,,,,
,Thundermist South County,1 River St,Wakefield,RI,02879-3214,Washington,Non-Rural,,,,
,Thundermist Special Populations Providence,557 Broad St,Providence,RI,02907-4120,Providence,Non-Rural,,,,
,Thundermist West Warwick,186 Providence St,West Warwick,RI,02893-2508,Kent,Non-Rural,,,,
,Thundermist Woonsocket,450 Clinton St,Woonsocket,RI,02895-3207,Providence,Non-Rural,,,,
Primary Care,1449994426,NORTHWEST COMMUNITY HEALTH CARE,Federally Qualified Health Center,Rhode Island,"Providence County, RI",0,19,Designated,Non-Rural,10/26/2002,02/21/2020
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NORTHWEST COMMUNITY HEALTH CARE d/b/a WellOne Primary Medical and Dental Care,36 Bridge Way,Pascoag,RI,02859-3131,Providence,Non-Rural,,,,
,Northwest Community Health Care d/b/a WellOne Primary Medical and Dental Care,142A Danielson Pike,Foster,RI,02825-1485,Providence,Non-Rural,,,,
,Northwest Community Health Care d/b/a WellOne Primary Medical and Dental Care,308 Callahan Rd,North Kingstown,RI,02852-7739,Washington,Non-Rural,,,,
,Northwest Community Health Care d/b/a WellOne Primary Medical and Dental Care,35 Village Plaza Way,Scituate,RI,02857-1849,Providence,Non-Rural,,,,
Primary Care,1449994427,East bay Community Action Program,Federally Qualified Health Center,Rhode Island,"Newport County, RI",0,16,Designated,Non-Rural,10/26/2002,02/24/2020
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,2 Old County Road,2 County Rd,Barrington,RI,02806-4540,Bristol,Non-Rural,,,,
,Adams-Farley Counseling Center,610 Wampanoag Trl,Riverside,RI,02915-1504,Providence,Non-Rural,,,,
,Dental Mobile Van,19 Broadway,Newport,RI,02840-2937,Newport,Non-Rural,,,,
,EAST BAY COMMUNITY ACTION PROGRAM / Dental Center,19 Broadway,Newport,RI,02840-2937,Newport,Non-Rural,,,,
,EAST BAY FAMILY HEALTH CENTER,100 Bullocks Point Ave,Riverside,RI,02915-5351,Providence,Non-Rural,,,,
,East Bay Family Health Center,6 John H Chafee Blvd,Newport,RI,02840-1034,Newport,Non-Rural,,,,
,"Head Start, Early Head Start & Child Care",8 John H Chafee Blvd,Newport,RI,02840-1034,Newport,Non-Rural,,,,
,John F. Kennedy Head Start,740 W Main Rd,Middletown,RI,02842-6372,Newport,Non-Rural,,,,
,Pell School,35 Dexter St,Newport,RI,02840-1205,Newport,Non-Rural,,,,
