data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1482595591,LI-Cameron County,Low Income Population HPSA,Texas,"Cameron County, TX",18.41,13,Designated,Partially Rural,07/01/2019,07/01/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Cameron County,Cameron,Single County,48061,Partially Rural,,,,,
Primary Care,1481416715,LI - Comanche County,Low Income Population HPSA,Texas,"Comanche County, TX",0.52,14,Designated,Rural,11/15/2018,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Comanche County,Comanche,Single County,48093,Rural,,,,,
Primary Care,1484519157,LI-Erath County,Low Income Population HPSA,Texas,"Erath County, TX",3.62,16,Designated,Rural,11/15/2018,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Erath County,Erath,Single County,48143,Rural,,,,,
Primary Care,1483507263,LI - Cherokee County,Low Income Population HPSA,Texas,"Cherokee County, TX",5.79,17,Designated,Rural,11/15/2018,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Cherokee County,Cherokee,Single County,48073,Rural,,,,,
Primary Care,1483088876,LI - Smith County,Low Income Population HPSA,Texas,"Smith County, TX",7.5075,13,Designated,Non-Rural,12/27/2018,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Smith County,Smith,Single County,48423,Non-Rural,,,,,
Primary Care,1485863903,LI - Anderson County,Low Income Population HPSA,Texas,"Anderson County, TX",0.66,9,Designated,Rural,11/15/2018,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Anderson County,Anderson,Single County,48001,Rural,,,,,
Primary Care,1481979375,French Robertson Unit,Correctional Facility,Texas,"Jones County, TX",0.58,6,Designated,Rural,11/19/2019,11/19/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,French Robertson Unit,12071 FM-3522,Abilene,TX,79601-8799,Jones,Rural,,,,
Primary Care,1486865021,LI - Wood County,Low Income Population HPSA,Texas,"Wood County, TX",3.58,13,Designated,Rural,12/27/2018,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Wood County,Wood,Single County,48499,Rural,,,,,
Primary Care,1487358715,LI - Camp County,Low Income Population HPSA,Texas,"Camp County, TX",1.6,17,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Camp County,Camp,Single County,48063,Rural,,,,,
Primary Care,1489990453,Navarro County,Geographic HPSA,Texas,"Navarro County, TX",0.53,9,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Navarro County,Navarro,Single County,48349,Rural,,,,,
Primary Care,1484478491,Immigration Customs Enforcement-S Texas/Pearsall,Correctional Facility,Texas,"Frio County, TX",5.47,21,Designated,Rural,11/15/2005,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Immigration Customs Enforcement-S Texas/Pearsall,566 Veteran Dr,Pearsall,TX,78061-6623,Frio,Rural,,,,
Primary Care,1482468046,Federal Medical Center - Fort Worth,Correctional Facility,Texas,"Tarrant County, TX",1.88,12,Designated,Non-Rural,07/01/2002,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Federal Medical Center - Fort Worth,3150 Horton Rd,Forest Hill,TX,76119-5905,Tarrant,Non-Rural,,,,
Primary Care,1485591874,LI-Nueces County,Low Income Population HPSA,Texas,"Nueces County, TX",5.77,9,Designated,Partially Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Nueces County,Nueces,Single County,48355,Partially Rural,,,,,
Primary Care,1489492952,Federal Correctional Complex - Beaumont,Correctional Facility,Texas,"Jefferson County, TX",3.4,6,Designated,Non-Rural,12/31/2018,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Federal Correctional Complex - Beaumont,6200 Knauth Rd,Beaumont,TX,77705,Jefferson,Non-Rural,,,,
Primary Care,1483011914,Dimmit County,High Needs Geographic HPSA,Texas,"Dimmit County, TX",0.43,10,Designated,Rural,03/19/2019,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Dimmit County,Dimmit,Single County,48127,Rural,,,,,
Primary Care,1484623213,LI - Tom Green County,Low Income Population HPSA,Texas,"Tom Green County, TX",0.265,8,Designated,Partially Rural,03/19/2019,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Tom Green County,Tom Green,Single County,48451,Partially Rural,,,,,
Primary Care,1489921680,LI-Brown County,Low Income Population HPSA,Texas,"Brown County, TX",2.03,16,Designated,Rural,03/19/2019,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Texas,Brown County,Brown,Single County,48049,Rural,,,,,
Primary Care,1487790622,OFAC-Parkland Center for Internal Medicine (PCIM),Other Facility,Texas,"Dallas County, TX",0,15,Designated,Non-Rural,08/02/2018,04/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,OFAC-Parkland Center for Internal Medicine (PCIM),5201 Harry Hines Blvd,Dallas,TX,75235-7708,Dallas,Non-Rural,,,,
