data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1124692951,LI - Meadow Woods,Low Income Population HPSA,Florida,"Orange County, FL",11.8512,16,Designated,Non-Rural,02/13/2019,02/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Florida,Orange County,168.03,Census Tract,12095016803,Non-Rural,,,,,
,Florida,Orange County,168.04,Census Tract,12095016804,Non-Rural,,,,,
,Florida,Orange County,168.06,Census Tract,12095016806,Non-Rural,,,,,
,Florida,Orange County,168.07,Census Tract,12095016807,Non-Rural,,,,,
,Florida,Orange County,170.04,Census Tract,12095017004,Non-Rural,,,,,
,Florida,Orange County,170.06,Census Tract,12095017006,Non-Rural,,,,,
,Florida,Orange County,170.08,Census Tract,12095017008,Non-Rural,,,,,
,Florida,Orange County,170.11,Census Tract,12095017011,Non-Rural,,,,,
,Florida,Orange County,170.12,Census Tract,12095017012,Non-Rural,,,,,
,Florida,Orange County,170.13,Census Tract,12095017013,Non-Rural,,,,,
,Florida,Orange County,170.14,Census Tract,12095017014,Non-Rural,,,,,
,Florida,Orange County,170.15,Census Tract,12095017015,Non-Rural,,,,,
,Florida,Orange County,170.16,Census Tract,12095017016,Non-Rural,,,,,
,Florida,Orange County,170.17,Census Tract,12095017017,Non-Rural,,,,,
Primary Care,1127236149,LI - East Naples,Low Income Population HPSA,Florida,"Collier County, FL",7.49,15,Designated,Non-Rural,03/19/2019,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Florida,Collier County,104.01,Census Tract,12021010401,Non-Rural,,,,,
,Florida,Collier County,105.05,Census Tract,12021010505,Non-Rural,,,,,
,Florida,Collier County,105.06,Census Tract,12021010506,Non-Rural,,,,,
,Florida,Collier County,105.07,Census Tract,12021010507,Non-Rural,,,,,
,Florida,Collier County,105.08,Census Tract,12021010508,Non-Rural,,,,,
,Florida,Collier County,105.09,Census Tract,12021010509,Non-Rural,,,,,
,Florida,Collier County,105.10,Census Tract,12021010510,Non-Rural,,,,,
,Florida,Collier County,106.01,Census Tract,12021010601,Non-Rural,,,,,
,Florida,Collier County,106.02,Census Tract,12021010602,Non-Rural,,,,,
,Florida,Collier County,106.04,Census Tract,12021010604,Non-Rural,,,,,
,Florida,Collier County,106.05,Census Tract,12021010605,Non-Rural,,,,,
,Florida,Collier County,106.06,Census Tract,12021010606,Non-Rural,,,,,
,Florida,Collier County,107.01,Census Tract,12021010701,Non-Rural,,,,,
,Florida,Collier County,107.02,Census Tract,12021010702,Non-Rural,,,,,
,Florida,Collier County,108.01,Census Tract,12021010801,Non-Rural,,,,,
,Florida,Collier County,108.02,Census Tract,12021010802,Non-Rural,,,,,
,Florida,Collier County,108.03,Census Tract,12021010803,Non-Rural,,,,,
,Florida,Collier County,7,Census Tract,12021000700,Non-Rural,,,,,
Primary Care,1127758683,LI - Fernandina Beach,Low Income Population HPSA,Florida,"Nassau County, FL",0.14,9,Designated,Rural,03/19/2019,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Florida,Nassau County,501.01,Census Tract,12089050101,Rural,,,,,
,Florida,Nassau County,501.02,Census Tract,12089050102,Rural,,,,,
Primary Care,1128299262,FCC-Coleman,Correctional Facility,Florida,"Sumter County, FL",4.17,12,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Coleman,846 NE 54th Ter,Coleman,FL,33521,Sumter,Rural,,,,
Primary Care,1127958329,FCI-Miami,Correctional Facility,Florida,"Miami-Dade County, FL",0.88,12,Designated,Non-Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Miami,15801 SW 137th Ave,Miami,FL,33177-1209,Miami-Dade,Non-Rural,,,,
Primary Care,1126799536,Northwest Florida Reception Center,Correctional Facility,Florida,"Washington County, FL",2.76,21,Designated,Rural,02/05/2009,08/12/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Northwest Florida Reception Center,4455 Sam Mitchell Dr,Chipley,FL,32428-3501,Washington,Rural,,,,
Primary Care,11299912AU,"Banyan Community Health Center, Inc.",Federally Qualified Health Center,Florida,"Miami-Dade County, FL",0,21,Designated,Non-Rural,06/01/2012,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Banyan Community Health Center - W. Flagler,3800 W Flagler St,Coral Gables,FL,33134-1604,Miami-Dade,Non-Rural,,,,
,Banyan Community Health Center 3850 Miami,3850 W Flagler St,Coral Gables,FL,33134-1604,Miami-Dade,Non-Rural,,,,
,Banyan Community Health Center-Cutler Bay,10720 Caribbean Blvd,Cutler Bay,FL,33189-1218,Miami-Dade,Non-Rural,,,,
,BCHC Administration Only,6100 Blue Lagoon Dr,Miami,FL,33126-2079,Miami-Dade,Non-Rural,,,,
,Flagler Main Site,3733 W Flagler St,Coral Gables,FL,33134-1601,Miami-Dade,Non-Rural,,,,
Primary Care,112999124P,"Borinquen Health Care Center, Inc.",Federally Qualified Health Center,Florida,"Miami-Dade County, FL",0,21,Designated,Non-Rural,11/12/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bent Tree Elementary School,4861 SW 140th Ave,Miami,FL,33175-4807,Miami-Dade,Non-Rural,,,,
,Biscayne Elementary School,800 77th St,Miami Beach,FL,33141-2209,Miami-Dade,Non-Rural,,,,
,BMC at The Village South,400 NE 31st St,Miami,FL,33137-4213,Miami-Dade,Non-Rural,,,,
,BMC Behavioral Health and Resource Center,100 NE 38th St,Miami,FL,33137-3654,Miami-Dade,Non-Rural,,,,
