data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1186870364,Vermillion County,Geographic HPSA,Indiana,"Vermillion County, IN",2.845,11,Designated,Partially Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Indiana,Vermillion County,Vermillion,Single County,18165,Partially Rural,,,,,
Primary Care,1181093179,Clay County,Geographic HPSA,Indiana,"Clay County, IN",5,17,Designated,Non-Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Indiana,Clay County,Clay,Single County,18021,Non-Rural,,,,,
Primary Care,1181115173,Rush County,Geographic HPSA,Indiana,"Rush County, IN",0.79,11,Designated,Rural,05/16/2019,05/16/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Indiana,Rush County,Rush,Single County,18139,Rural,,,,,
Primary Care,1184038185,LI-Jackson County,Low Income Population HPSA,Indiana,"Jackson County, IN",2.878,13,Designated,Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Indiana,Jackson County,Jackson,Single County,18071,Rural,,,,,
Primary Care,11899918BV,Lifespring Inc.,Federally Qualified Health Center,Indiana,"Clark County, IN",0,17,Designated,Non-Rural,05/01/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Austin Medical Center,825 N Highway 31,Austin,IN,47102-1830,Scott,Rural,,,,
,LifeSpring Adult Integrated Medical Services,404 Spring St,Jeffersonville,IN,47130-3452,Clark,Non-Rural,,,,
,LifeSpring Comunity Medical Services,1036 Sharon Dr,Jeffersonville,IN,47130-4522,Clark,Non-Rural,,,,
,LifeSpring Inc.,460 Spring St,Jeffersonville,IN,47130-3452,Clark,Non-Rural,,,,
,SALEM COMMUNITY MEDICAL SERVICES,1321 S Jackson St,Salem,IN,47167-9730,Washington,Rural,,,,
Primary Care,1189991889,"ST VINCENT MEDICAL GROUP, INC",Rural Health Clinic,Indiana,"Randolph County, IN",0,13,Designated,Rural,10/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"ST VINCENT MEDICAL GROUP, INC",409 E Greenville Ave,Winchester,IN,47394-9464,Randolph,Rural,,,,
Primary Care,11899918B9,"Knox/winamac Community Health Centers, Inc",Federally Qualified Health Center Look-alike,Indiana,"Starke County, IN",0,17,Designated,Rural,06/11/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Knox/Winamac Community Health Centers,1002 S Edgewood Dr,Knox,IN,46534-8226,Starke,Rural,,,,
Primary Care,11899918C3,Adult And Child Mental Health Center Inc,Federally Qualified Health Center Look-alike,Indiana,"Marion County, IN",0,16,Designated,Non-Rural,12/20/2017,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Adult and Child Health,222 E Ohio St Ste 100,Indianapolis,IN,46204-2193,Marion,Non-Rural,,,,
,Adult and Child Health - Admin Only,222 E Ohio St Ste 600,Indianapolis,IN,46204-2169,Marion,Non-Rural,,,,
,Adult and Child Health - Garfield Park,234 E Southern Ave,Indianapolis,IN,46225-2121,Marion,Non-Rural,,,,
,Adult and Child Health - Greenwood,8320 Madison Ave,Indianapolis,IN,46227-6066,Marion,Non-Rural,,,,
,Adult and Child Health - Northwood Plaza,1860 Northwood Plz,Franklin,IN,46131-1037,Johnson,Non-Rural,,,,
Primary Care,1189991876,"WINDROSE HEALTH NETWORK, INC.",Federally Qualified Health Center,Indiana,"Johnson County, IN",0,21,Designated,Non-Rural,09/30/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Windrose Health Network -  Business Center,1052 Greenwood Springs Blvd Ste H,Greenwood,IN,46143-6896,Johnson,Non-Rural,,,,
,Windrose Health Network - Countyline,8921 Southpointe Dr Ste A1,Indianapolis,IN,46227-1085,Marion,Non-Rural,,,,
,Windrose Health Network - Edinburgh,911 E Main Cross St,Edinburgh,IN,46124-1501,Johnson,Non-Rural,,,,
,Windrose Health Network - Epler Parke,5550 S East St,Indianapolis,IN,46227-1979,Marion,Non-Rural,,,,
,Windrose Health Network - Franklin,55 N Milford Dr,Franklin,IN,46131-7308,Johnson,Non-Rural,,,,
,Windrose Health Network - Hope,163 Butner Dr,Hope,IN,47246-9447,Bartholomew,Non-Rural,,,,
,Windrose Health Network - Trafalgar,14 Trafalgar Sq,Trafalgar,IN,46181-9515,Johnson,Non-Rural,,,,
,Windrose Health Network - Whiteland,8 N US Highway 31,Whiteland,IN,46184-1546,Johnson,Non-Rural,,,,
Primary Care,1189991870,NEIGHBORHOOD HEALTH CLINICS INC.,Federally Qualified Health Center,Indiana,"Allen County, IN",0,20,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,1717 S Calhoun,1717 S Calhoun St,Fort Wayne,IN,46802-5257,Allen,Non-Rural,,,,
,1721 S Calhoun,1721 S Calhoun St,Fort Wayne,IN,46802-5257,Allen,Non-Rural,,,,
,1725 S Calhoun,1725 S Calhoun St,Fort Wayne,IN,46802-5257,Allen,Non-Rural,,,,
,Parking Garage,1710 S Calhoun St,Fort Wayne,IN,46802-5256,Allen,Non-Rural,,,,
,Southeast Clinic,3350 E Paulding Rd,Fort Wayne,IN,46816-4513,Allen,Non-Rural,,,,
Primary Care,1189991866,RAPHAEL HEALTH CLINIC,Federally Qualified Health Center,Indiana,"Marion County, IN",0,21,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
