data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1214086365,LI - Hardin County,Low Income Population HPSA,Kentucky,"Hardin County, KY",1.0134,8,Designated,Non-Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Hardin County,Hardin,Single County,21093,Non-Rural,,,,,
Primary Care,1217329361,LI - Hopkins County,Low Income Population HPSA,Kentucky,"Hopkins County, KY",1.494,13,Designated,Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Hopkins County,Hopkins,Single County,21107,Rural,,,,,
Primary Care,1217835507,FCI-Manchester,Correctional Facility,Kentucky,"Clay County, KY",0.95,18,Designated,Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Manchester,805 Fox Hollow Rd,Manchester,KY,40962-7923,Clay,Rural,,,,
Primary Care,1216790884,USP-McCreary,Correctional Facility,Kentucky,"McCreary County, KY",1.26,21,Designated,Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,USP-McCreary,330 Federal Way,Pine Knot,KY,42635-7000,McCreary,Rural,,,,
Primary Care,1218555721,Union County,High Needs Geographic HPSA,Kentucky,"Union County, KY",2.54,15,Designated,Rural,12/01/2015,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Union County,Union,Single County,21225,Rural,,,,,
Primary Care,1219566822,LI - Henderson County,Low Income Population HPSA,Kentucky,"Henderson County, KY",2.496,15,Designated,Non-Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Henderson County,Henderson,Single County,21101,Non-Rural,,,,,
Primary Care,1217021461,LI - Taylor County,Low Income Population HPSA,Kentucky,"Taylor County, KY",2.79,16,Designated,Rural,03/30/2020,03/30/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Taylor County,Taylor,Single County,21217,Rural,,,,,
Primary Care,1216163164,Breathitt County,Geographic HPSA,Kentucky,"Breathitt County, KY",0.395,13,Designated,Rural,06/11/2020,06/11/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Breathitt County,Breathitt,Single County,21025,Rural,,,,,
Primary Care,1215798202,LI - Montgomery County,Low Income Population HPSA,Kentucky,"Montgomery County, KY",1.88,17,Designated,Rural,07/01/2019,07/01/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Montgomery County,Montgomery,Single County,21173,Rural,,,,,
Primary Care,1216788083,Metcalfe County,High Needs Geographic HPSA,Kentucky,"Metcalfe County, KY",3.47,17,Designated,Rural,07/10/2019,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Metcalfe County,Metcalfe,Single County,21169,Rural,,,,,
Primary Care,1219856845,LI - Whitley County,Low Income Population HPSA,Kentucky,"Whitley County, KY",2.0443,16,Designated,Rural,07/10/2019,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Whitley County,Whitley,Single County,21235,Rural,,,,,
Primary Care,1217835869,LI - Barren County,Low Income Population HPSA,Kentucky,"Barren County, KY",1.564,12,Designated,Rural,04/18/2014,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kentucky,Barren County,Barren,Single County,21009,Rural,,,,,
Primary Care,1212598188,ARH Primary Care Associates,Other Facility,Kentucky,"Letcher County, KY",0,18,Designated,Rural,10/02/2019,10/02/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ARH Primary Care Associates,47 Highway 119 S,Whitesburg,KY,41858-6100,Letcher,Rural,,,,
Primary Care,12199921II,"CORBIN PEDIATRIC ASSOCIATES, PSC",Rural Health Clinic,Kentucky,"Whitley County, KY",0,16,Designated,Rural,12/04/2017,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"CORBIN PEDIATRIC ASSOCIATES, PSC",57 Summit Dr,Corbin,KY,40701-2746,Whitley,Rural,,,,
Primary Care,12199921HX,"HEALTHFIRST BLUEGRASS, INC.",Federally Qualified Health Center,Kentucky,"Fayette County, KY",0,21,Designated,Non-Rural,02/01/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Arlington Elementary HealthFirst Bluegrass School Clinic,122 Arceme Ave,Lexington,KY,40505-3502,Fayette,Non-Rural,,,,
,Booker T. Washington HealthFirst Bluegrass School Clinic,707 Howard St,Lexington,KY,40508-1075,Fayette,Non-Rural,,,,
,Breckenridge Elementary HealthFirst Bluegrass School Clinic,2101 Saint Mathilda Dr,Lexington,KY,40502-1127,Fayette,Non-Rural,,,,
,Cardinal Valley HealthFirst Bluegrass School Clinic,218 Mandalay Rd,Lexington,KY,40504-1333,Fayette,Non-Rural,,,,
,Harrison Elementary HealthFirst Bluegrass School Clinic,161 Bruce St,Lexington,KY,40507-1239,Fayette,Non-Rural,,,,
,HealthFirst Bluegrass Administration Southland,450 Southland Dr Ste E,Lexington,KY,40503-1831,Fayette,Non-Rural,,,,
,HealthFirst Bluegrass Bryan Station,1640 Bryan Station Rd,Lexington,KY,40505-2144,Fayette,Non-Rural,,,,
,HealthFirst Bluegrass Goodwin,1060 Goodwin Dr Ste 110,Lexington,KY,40505-3824,Fayette,Non-Rural,,,,
