data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1251031979,Hampden County House of Corrections,Correctional Facility,Massachusetts,"Hampden County, MA",0.76,3,Designated,Non-Rural,04/11/2019,04/11/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Hampden County House of Corrections,627 Randall Rd,Ludlow,MA,01056-1085,Hampden,Non-Rural,,,,
Primary Care,1257265760,Bristol County House of Corrections,Correctional Facility,Massachusetts,"Bristol County, MA",1.6,6,Designated,Non-Rural,05/13/2019,05/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bristol County House of Corrections,400 Faunce Corner Rd,North Dartmouth,MA,02747-1275,Bristol,Non-Rural,,,,
Primary Care,1251596591,North Quabbin,Geographic HPSA,Massachusetts,"Franklin County, MA | Worcester County, MA",3.275,11,Designated,Partially Rural,11/19/2019,11/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Massachusetts,Worcester County,Athol town,County Subdivision,2502702480,Rural,,,,,
,Massachusetts,Franklin County,Erving town,County Subdivision,2501121780,Rural,,,,,
,Massachusetts,Franklin County,New Salem town,County Subdivision,2501145490,Rural,,,,,
,Massachusetts,Franklin County,Orange town,County Subdivision,2501151265,Rural,,,,,
,Massachusetts,Worcester County,Petersham town,County Subdivision,2502753120,Non-Rural,,,,,
,Massachusetts,Worcester County,Phillipston town,County Subdivision,2502753225,Non-Rural,,,,,
,Massachusetts,Worcester County,Royalston town,County Subdivision,2502758580,Non-Rural,,,,,
,Massachusetts,Franklin County,Warwick town,County Subdivision,2501173265,Rural,,,,,
,Massachusetts,Franklin County,Wendell town,County Subdivision,2501174525,Rural,,,,,
,Massachusetts,Worcester County,Winchendon town,County Subdivision,2502780405,Non-Rural,,,,,
Primary Care,1259992593,"OUTER CAPE HEALTH SERVICES, INC.",Federally Qualified Health Center,Massachusetts,"Barnstable County, MA",0,17,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Harwich Port Health Center,710 Route 28,Harwich Port,MA,02646-1931,Barnstable,Non-Rural,,,,
,Outer Cape Health Pharmacy,2700 State Hwy Rte 6 Unit 3,Wellfleet,MA,02667-7405,Barnstable,Rural,,,,
,PROVINCETOWN HEALTH CENTER,49 Harry Kemp Way,Provincetown,MA,02657-1618,Barnstable,Rural,,,,
,WELLFLEET HEALTH CENTER,3130 State Hwy Rte 6,Wellfleet,MA,02667-7402,Barnstable,Rural,,,,
Primary Care,1259306690,NATIVE AMERICAN LIFELINES OF BOSTON,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Massachusetts,"Suffolk County, MA",0,18,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NATIVE AMERICAN LIFELINES OF BOSTON,2077 Centre St,West Roxbury,MA,02132-3313,Suffolk,Non-Rural,,,,
Primary Care,12599925B9,"Hilltown Community Health Centers, Inc.",Federally Qualified Health Center,Massachusetts,"Hampshire County, MA",0,13,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GATEWAY SCHOOL BASED HLTH CENTER,12 Littleville Rd,Huntington,MA,01050-9761,Hampshire,Non-Rural,,,,
,Hilltown Community Center,9 Russell Rd,Huntington,MA,01050-9774,Hampshire,Non-Rural,,,,
,HUNTINGTON HEALTH CENTER,73 Russell Rd,Huntington,MA,01050-9777,Hampshire,Non-Rural,,,,
,John P. Musante Health Center,70 Boltwood Walk,Amherst,MA,01002-2271,Hampshire,Non-Rural,,,,
,WORTHINGTON HEALTH CENTER,58 Old North Rd,Worthington,MA,01098-9753,Hampshire,Non-Rural,,,,
Primary Care,1259992578,"Greater Lawrence Family Health Center, Inc.",Federally Qualified Health Center,Massachusetts,"Essex County, MA",0,21,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BREAD & ROSES SOUP KITCHEN,58 Newbury St,Lawrence,MA,01840-1714,Essex,Non-Rural,,,,
,CAB TRANSITIONS,365 East St,Tewksbury,MA,01876-1950,Middlesex,Non-Rural,,,,
,Community Action Drop-In Center,16 Ashland St,Haverhill,MA,01830-4129,Essex,Non-Rural,,,,
,DAYBREAK SHELTER,75 N Parish Rd,Lawrence,MA,01843-2930,Essex,Non-Rural,,,,
,EMMAUS HOUSE,150 How St,Haverhill,MA,01830-5616,Essex,Non-Rural,,,,
,GLFHC at Lawrence General Hospital,1 General St,Lawrence,MA,01841-2961,Essex,Non-Rural,,,,
,GLFHC Mobile Unit,401 Griffin Brook Dr,Methuen,MA,01844-1883,Essex,Non-Rural,,,,
,"GLFHC, CSS Prevention and Education",98 Water St,Lawrence,MA,01841-4727,Essex,Non-Rural,,,,
,GLFHC-NORTH,150 Park St,Lawrence,MA,01841-2517,Essex,Non-Rural,,,,
,GLFHC-SOUTH,73 Winthrop Ave Apt D,Lawrence,MA,01843-2836,Essex,Non-Rural,,,,
,GLFHC-WEST,700 Essex St,Lawrence,MA,01841-4396,Essex,Non-Rural,,,,
,GOOD SHEPHERD CENTER,260 Park St,Lawrence,MA,01841-2412,Essex,Non-Rural,,,,
,GREATER LAWRENCE FAMILY HEALTH,34 Haverhill St,Lawrence,MA,01841-2884,Essex,Non-Rural,,,,
,Greater Lawrence Family Health Center Administration,1 Griffin Brook Dr,Methuen,MA,01844-1865,Essex,Non-Rural,,,,
,GREATER LAWRENCE TECH SCHOOL,57 River Rd,Andover,MA,01810-1144,Essex,Non-Rural,,,,
,Haverhill YWCA,107 Winter St,Haverhill,MA,01830-5763,Essex,Non-Rural,,,,
