data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1278065202,Federal Correctional Institution - Waseca,Correctional Facility,Minnesota,"Waseca County, MN",0.82,12,Designated,Rural,07/25/2002,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Federal Correctional Institution - Waseca,University Dr SE,Waseca,MN,56093,Waseca,Rural,,,,
Primary Care,1274063259,Martin County,Geographic HPSA,Minnesota,"Martin County, MN",2.38,11,Designated,Rural,08/12/2019,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Martin County,Martin,Single County,27091,Rural,,,,,
Primary Care,1279800031,LI-Virginia,Low Income Population HPSA,Minnesota,"St. Louis County, MN",2.0755,12,Designated,Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,St. Louis County,121,Census Tract,27137012100,Rural,,,,,
,Minnesota,St. Louis County,122,Census Tract,27137012200,Rural,,,,,
,Minnesota,St. Louis County,123,Census Tract,27137012300,Rural,,,,,
,Minnesota,St. Louis County,124,Census Tract,27137012400,Rural,,,,,
,Minnesota,St. Louis County,125,Census Tract,27137012500,Rural,,,,,
,Minnesota,St. Louis County,126,Census Tract,27137012600,Rural,,,,,
,Minnesota,St. Louis County,127,Census Tract,27137012700,Rural,,,,,
,Minnesota,St. Louis County,128,Census Tract,27137012800,Rural,,,,,
,Minnesota,St. Louis County,130,Census Tract,27137013000,Rural,,,,,
,Minnesota,St. Louis County,131,Census Tract,27137013100,Rural,,,,,
,Minnesota,St. Louis County,132,Census Tract,27137013200,Rural,,,,,
,Minnesota,St. Louis County,133,Census Tract,27137013300,Rural,,,,,
,Minnesota,St. Louis County,134,Census Tract,27137013400,Rural,,,,,
,Minnesota,St. Louis County,135,Census Tract,27137013500,Rural,,,,,
Primary Care,1276188211,FMC-Rochester,Correctional Facility,Minnesota,"Olmsted County, MN",0.7,12,Designated,Non-Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FMC-Rochester,2110 E Center St,Rochester,MN,55904-4754,Olmsted,Non-Rural,,,,
Primary Care,1278493629,Winona County,Geographic HPSA,Minnesota,"Winona County, MN",4.955,11,Designated,Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Winona County,Winona,Single County,27169,Rural,,,,,
Primary Care,1274993722,Mahnomen County,Geographic HPSA,Minnesota,"Mahnomen County, MN",1.54,17,Designated,Rural,10/01/1979,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Mahnomen County,Mahnomen,Single County,27087,Rural,,,,,
Primary Care,1273467408,LI-Pine County,Low Income Population HPSA,Minnesota,"Pine County, MN",3.1375,16,Designated,Rural,03/06/2000,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Pine County,Pine,Single County,27115,Rural,,,,,
Primary Care,1273773755,LI - Lac qui Parle County,Low Income Population HPSA,Minnesota,"Lac qui Parle County, MN",0.1275,9,Designated,Rural,05/25/2001,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Lac qui Parle County,Lac qui Parle,Single County,27073,Rural,,,,,
Primary Care,1278966145,Lake of the Woods County,Geographic HPSA,Minnesota,"Lake of the Woods County, MN",0.6,13,Designated,Rural,07/24/2014,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Lake of the Woods County,Lake of the Woods,Single County,27077,Rural,,,,,
Primary Care,1277693130,North Beltrami,Geographic HPSA,Minnesota,"Beltrami County, MN",0.09,6,Designated,Rural,02/14/2011,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Beltrami County,Benville township,County Subdivision,2700705284,Rural,,,,,
,Minnesota,Beltrami County,Hamre township,County Subdivision,2700726900,Rural,,,,,
,Minnesota,Beltrami County,Lee township,County Subdivision,2700736170,Rural,,,,,
,Minnesota,Beltrami County,Minnie township,County Subdivision,2700743360,Rural,,,,,
,Minnesota,Beltrami County,North Beltrami UT,County Subdivision,2700746770,Rural,,,,,
,Minnesota,Beltrami County,Spruce Grove township,County Subdivision,2700762230,Rural,,,,,
,Minnesota,Beltrami County,Steenerson township,County Subdivision,2700762680,Rural,,,,,
,Minnesota,Beltrami County,Upper Red Lake UT,County Subdivision,2700766307,Rural,,,,,
Primary Care,1279276983,LI-Hubbard County,Low Income Population HPSA,Minnesota,"Hubbard County, MN",1.305,13,Designated,Rural,04/25/2005,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Hubbard County,Hubbard,Single County,27057,Rural,,,,,
Primary Care,1279422767,LI-South Pipestone RSA 93,Low Income Population HPSA,Minnesota,"Pipestone County, MN | Rock County, MN",0.555,13,Designated,Rural,03/06/2000,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Minnesota,Rock County,Battle Plain township,County Subdivision,2713303988,Rural,,,,,
,Minnesota,Pipestone County,Burke township,County Subdivision,2711708650,Rural,,,,,
,Minnesota,Rock County,Denver township,County Subdivision,2713315742,Rural,,,,,
,Minnesota,Pipestone County,Eden township,County Subdivision,2711718062,Rural,,,,,
,Minnesota,Pipestone County,Edgerton city,County Subdivision,2711718152,Rural,,,,,
,Minnesota,Pipestone County,Elmer township,County Subdivision,2711718908,Rural,,,,,
,Minnesota,Pipestone County,Grange township,County Subdivision,2711725208,Rural,,,,,
