data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1331767714,FCI-Berlin,Correctional Facility,New Hampshire,"Coos County, NH",0.94,12,Designated,Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Berlin,Success Loop Rd,Berlin,NH,03570,Coos,Rural,,,,
Primary Care,1509995040,SPRINGFIELD MEDICAL CARE SYSTEM INC,Federally Qualified Health Center,Vermont,"Windsor County, VT",0,4,Designated,Rural,03/01/2009,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Charlestown Health Center,250 Ceda Rd,Charlestown,NH,03603-4511,Sullivan,Rural,,,,
,Chester Dental Center,55 Main St,Chester,VT,05143-9115,Windsor,Rural,,,,
,Elm Hill School Health Center,10 Hoover St,Springfield,VT,05156-2425,Windsor,Rural,,,,
,Lane Eye Associates,441 River St,North Springfield,VT,05150-9756,Windsor,Rural,,,,
,Ludlow Dental,8 Main St,Ludlow,VT,05149-1106,Windsor,Rural,,,,
,Ludlow Health Center,1 Elm St,Ludlow,VT,05149-1301,Windsor,Rural,,,,
,Mountain Valley Health Center,38 Vt Route 11,Londonderry,VT,05148-9555,Windham,Rural,,,,
,Riverside Middle School Health Center,13 Fairground Rd,Springfield,VT,05156-2112,Windsor,Rural,,,,
,Rockingham Health Center,1 Hospital Ct,Bellows Falls,VT,05101-1489,Windham,Rural,,,,
,Springfield Health Center,100 River St,Springfield,VT,05156-2930,Windsor,Rural,,,,
,Springfield High School Health Center,303 South St,Springfield,VT,05156-3226,Windsor,Rural,,,,
,The Women's Health Center of Springfield,29 Ridgewood Rd Fl A,Springfield,VT,05156-3060,Windsor,Rural,,,,
,Union Street School Health Center,43 Union St,Springfield,VT,05156-3133,Windsor,Rural,,,,
Primary Care,1339274777,NORTH COUNTRY PRIMARY CARE,Rural Health Clinic,New Hampshire,"Grafton County, NH",0,5,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NORTH COUNTRY PRIMARY CARE,580 Saint Johnsbury Rd,Littleton,NH,03561-3437,Grafton,Rural,,,,
Primary Care,1339993319,AMMONOOSUC COMMUNITY HEALTH SERVICES INC,Federally Qualified Health Center,New Hampshire,"Grafton County, NH",0,9,Designated,Rural,10/26/2002,09/20/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ACHS - Franconia Alpine,1095 Profile Rd,Franconia,NH,03580-4938,Grafton,Rural,,,,
,ACHS - Littleton,25 Mount Eustis Rd,Littleton,NH,03561-3712,Grafton,Rural,,,,
,ACHS - Littleton II,202 Cottage St,Littleton,NH,03561-4101,Grafton,Rural,,,,
,ACHS - Warren,333 Nh Route 25,Warren,NH,03279-4431,Grafton,Rural,,,,
,ACHS - Whitefield,14 King Sq,Whitefield,NH,03598-3346,Coos,Rural,,,,
,ACHS - Woodsville,79 Swiftwater Rd,Woodsville,NH,03785-1447,Grafton,Rural,,,,
Primary Care,1339993317,"Coos County Family Health Services, Inc.",Federally Qualified Health Center,New Hampshire,"Coos County, NH",0,17,Designated,Rural,05/30/2003,09/20/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Coos County Family Health Dental Clinic,73 Main St,Berlin,NH,03570-2416,Coos,Rural,,,,
,COOS COUNTY FAMILY HEALTH SERVICES,2 Broadway Ave,Gorham,NH,03581-1502,Coos,Rural,,,,
,COOS COUNTY FAMILY HEALTH SERVICES,59 Page Hill Rd,Berlin,NH,03570-3531,Coos,Rural,,,,
,COOS COUNTY FAMILY HEALTH SVCS,54 Willow St,Berlin,NH,03570-2084,Coos,Rural,,,,
,COOS COUNTY FAMILY HEALTH SVCS,133 Pleasant St,Berlin,NH,03570-2006,Coos,Rural,,,,
Primary Care,1339993332,GREATER SEACOAST COMMUNITY HEALTH,Federally Qualified Health Center,New Hampshire,"Strafford County, NH",0,18,Designated,Non-Rural,10/06/2006,09/20/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Community Partners,25 Old Dover Rd,Rochester,NH,03867-3464,Strafford,Non-Rural,,,,
,Cross Roads House,600 Lafayette Rd Rm 120,Portsmouth,NH,03801-5435,Rockingham,Non-Rural,,,,
,Goodwin Community Health,311 Route 108,Somersworth,NH,03878-1522,Strafford,Non-Rural,,,,
,Goodwin Community Health,100 Campus Dr,Portsmouth,NH,03801-5892,Rockingham,Non-Rural,,,,
,Goodwin Community Health,100 Campus Dr Ste 12,Portsmouth,NH,03801-5892,Rockingham,Non-Rural,,,,
,Goodwin Community Health Mobile Van 1,100 Campus Dr Ste 12,Portsmouth,NH,03801-5892,Rockingham,Non-Rural,,,,
,Goodwin Community Health Mobile Van 2,101 Main St,Exeter,NH,03833-2425,Rockingham,Non-Rural,,,,
,Goodwin Community Health/St. Vincent de Paul,53 Lincoln St,Exeter,NH,03833-3212,Rockingham,Non-Rural,,,,
,Lilac Pediatrics,180 Farmington Rd,Rochester,NH,03867-4352,Strafford,Non-Rural,,,,
,Southeastern NH Services,272 County Farm Rd,Dover,NH,03820-6003,Strafford,Non-Rural,,,,
,Temporary Site-Dover Transportation Center,33 Chestnut St,Dover,NH,03820-3327,Strafford,Non-Rural,,,,
Primary Care,1339993338,"Harbor Homes, Inc.",Federally Qualified Health Center,New Hampshire,"Hillsborough County, NH",0,19,Designated,Non-Rural,03/01/2009,09/20/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Amherst Street Elementary School,71 Amherst St,Nashua,NH,03064-2530,Hillsborough,Non-Rural,,,,
,Bicentennial Elementary School,296 E Dunstable Rd,Nashua,NH,03062-2350,Hillsborough,Non-Rural,,,,
