data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1397087948,Licking County,Geographic HPSA,Ohio,"Licking County, OH",4.355,7,Designated,Non-Rural,01/10/2020,01/10/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Ohio,Licking County,Licking,Single County,39089,Non-Rural,,,,,
Primary Care,1398203369,LI - Morgan County,Low Income Population HPSA,Ohio,"Morgan County, OH",1.9187,18,Designated,Rural,01/30/2019,01/30/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Ohio,Morgan County,Morgan,Single County,39115,Rural,,,,,
Primary Care,1397961983,LI - Wayne County,Low Income Population HPSA,Ohio,"Wayne County, OH",4.5054,11,Designated,Rural,08/12/2019,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Ohio,Wayne County,Wayne,Single County,39169,Rural,,,,,
Primary Care,1393325438,LI - Logan County,Low Income Population HPSA,Ohio,"Logan County, OH",1.973,14,Designated,Rural,08/12/2019,08/12/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Ohio,Logan County,Logan,Single County,39091,Rural,,,,,
Primary Care,1394998917,Tuscarawas County,Geographic HPSA,Ohio,"Tuscarawas County, OH",4.67,9,Designated,Rural,01/29/2020,01/29/2020
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Ohio,Tuscarawas County,Tuscarawas,Single County,39157,Rural,,,,,
Primary Care,13999939RC,MERCY HEALTH-LAGRANGE PRIMARY CARE,Rural Health Clinic,Ohio,"Lorain County, OH",0,12,Designated,Non-Rural,05/08/2012,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MERCY HEALTH-LAGRANGE PRIMARY CARE,105 Opportunity Way,Lagrange,OH,44050-9018,Lorain,Non-Rural,,,,
Primary Care,142999424X,Primary Health Network,Federally Qualified Health Center,Pennsylvania,"Mercer County, PA",0,11,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Altoona Behavioral Health,620 Howard Ave,Altoona,PA,16601-4804,Blair,Non-Rural,,,,
,ALTOONA COMMUNITY HEALTH CENTER,1701 12th Ave,Altoona,PA,16601-3100,Blair,Non-Rural,,,,
,Andover Primary Care,5594 State Route 7,Andover,OH,44003-9490,Ashtabula,Rural,,,,
,Autumn Street Health Center,99 Autumn St,Aliquippa,PA,15001-1301,Beaver,Non-Rural,,,,
,Beaver Falls Health Center Primary Care,1302 7th Ave,Beaver Falls,PA,15010-4217,Beaver,Non-Rural,,,,
,Buhl Farm Community Health Center,220 N Buhl Farm Dr,Hermitage,PA,16148-1786,Mercer,Non-Rural,,,,
,Clarion Community Health Center,30 Pinnacle Dr,Clarion,PA,16214-3800,Clarion,Rural,,,,
,Dayton Way Health Center,1 Dayton Way,Sharon,PA,16146-2185,Mercer,Non-Rural,,,,
,Ebensburg Health Center,152 Zeman Dr Ste 301,Ebensburg,PA,15931-4130,Cambria,Rural,,,,
,Ellwood City Health Center,304 Evans Dr Ste 201,Ellwood City,PA,16117-1493,Lawrence,Rural,,,,
,Farrell Dental Center,350 Sharon New Castle Rd,Farrell,PA,16121-1576,Mercer,Non-Rural,,,,
,Green Street Primary Care B,2000 Green St,Farrell,PA,16121-1364,Mercer,Non-Rural,,,,
,Greenville Community Health Center,348 Main St,Greenville,PA,16125-2608,Mercer,Rural,,,,
,Health Shoppe,1600 Roemer Blvd,Farrell,PA,16121-1754,Mercer,Non-Rural,,,,
,HOFFMAN MEMORIAL MEDICAL CENTER,419 Kellys Way,East Brady,PA,16028-1403,Clarion,Rural,,,,
,Indiana Dental Center,590 Indian Springs Rd,Indiana,PA,15701-3600,Indiana,Rural,,,,
,Jacksonville Family Medicine Center,29 Saltsburg Rd,Clarksburg,PA,15725-7400,Indiana,Rural,,,,
,Latrobe Health Center,529 Lloyd Ave,Latrobe,PA,15650-1721,Westmoreland,Non-Rural,,,,
,Lewistown Community Health Center,21 S Brown St,Lewistown,PA,17044-8126,Mifflin,Rural,,,,
,Lewistown Community Health Center,106 Derry Heights Blvd,Lewistown,PA,17044-8604,Mifflin,Rural,,,,
,Lewistown Dental Center,31 S Dorcas St,Lewistown,PA,17044-2110,Mifflin,Rural,,,,
,MERCER PRIMARY CARE,737 Greenville Rd,Mercer,PA,16137-5070,Mercer,Rural,,,,
,New Castle Dental Center,2807 Wilmington Rd,New Castle,PA,16105-1263,Lawrence,Rural,,,,
,NEW CASTLE PRIMARY CARE,1112 S Mill St,New Castle,PA,16101-4629,Lawrence,Rural,,,,
,Oil City Health Center,811 Grandview Rd Ste 100,Oil City,PA,16301-2077,Venango,Rural,,,,
,PETROLEUM VALLEY MEDICAL CENTER,296 Church St,Petrolia,PA,16050,Butler,Rural,,,,
,Primary Health Network Administration,100 Shenango Ave,Sharon,PA,16146-1503,Mercer,Non-Rural,,,,
,Primary Health Network Mobile Health Center,100 Fairfield Dr,Seneca,PA,16346-2130,Venango,Rural,,,,
,Punxsutawney Community Health Center,200 Prushnok Dr,Punxsutawney,PA,15767-2343,Jefferson,Rural,,,,
,Rochester Health Center,176 Virginia Ave,Rochester,PA,15074-1723,Beaver,Non-Rural,,,,
,Sandy Lake Community Health Center,3205 S Main St,Sandy Lake,PA,16145,Mercer,Rural,,,,
,Schuylkill Community Health Center,210 Sunbury St,Minersville,PA,17954-1346,Schuylkill,Rural,,,,
,Shamokin Community Health Center,4203 Hospital Rd,Coal Township,PA,17866-9668,Northumberland,Rural,,,,
,Shamokin Health Center,531 N Franklin St,Shamokin,PA,17872-6754,Northumberland,Rural,,,,
