data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1411187658,PINE EAGLE CLINIC,Rural Health Clinic,Oregon,"Baker County, OR",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PINE EAGLE CLINIC,218 N Pine St,Halfway,OR,97834-2506,Baker,Rural,,,,
Primary Care,1414381702,LEGACY MEDICAL GROUP ˜ MT. ANGEL,Rural Health Clinic,Oregon,"Marion County, OR",0,6,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,LEGACY MEDICAL GROUP ˜ MT. ANGEL,250 W Marquam St,Mount Angel,OR,97362-9520,Marion,Rural,,,,
Primary Care,1415231050,GRANDE RONDE HOSPITAL REGIONAL MEDICAL CLINIC,Rural Health Clinic,Oregon,"Union County, OR",0,14,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GRANDE RONDE HOSPITAL REGIONAL MEDICAL CLINIC,506 4th St,La Grande,OR,97850-1906,Union,Rural,,,,
Primary Care,1411225878,GRANDE RONDE HOSPITAL WOMEN'S & CHILDREN'S CLINIC,Rural Health Clinic,Oregon,"Union County, OR",0,14,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GRANDE RONDE HOSPITAL WOMEN'S & CHILDREN'S CLINIC,710 Sunset Dr Ste E,La Grande,OR,97850-1200,Union,Rural,,,,
Primary Care,141999419P,Neighborhood Health Center,Federally Qualified Health Center,Oregon,"Multnomah County, OR",0,16,Designated,Non-Rural,06/01/2012,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Neighborhood Health Center Administration,7320 SW Hunziker Rd Ste 300,Portland,OR,97223-2302,Washington,Non-Rural,,,,
,NHC Beaverton Medical Clinic,17200 NW Corridor Ct Ste 110,Beaverton,OR,97006-3295,Washington,Non-Rural,,,,
,NHC Canby Medical Clinic,178 SW 2nd Ave,Canby,OR,97013-4152,Clackamas,Non-Rural,,,,
,NHC Hillsboro Reproductive Health Clinic,266 W Main St,Hillsboro,OR,97123-3961,Washington,Non-Rural,,,,
,NHC Merlo Station SBHC,1841 SW Merlo Dr,Beaverton,OR,97003-5013,Washington,Non-Rural,,,,
,NHC Milwaukie Dental Clinic,3300 SE Dwyer Dr,Milwaukie,OR,97222-6548,Clackamas,Non-Rural,,,,
,NHC Milwaukie Medical Clinic,10330 SE 32nd Ave Ste 325,Milwaukie,OR,97222-6656,Clackamas,Non-Rural,,,,
,NHC Oregon City Dental Clinic,19029 Beavercreek Rd,Oregon City,OR,97045-9537,Clackamas,Non-Rural,,,,
,NHC Oregon City Medical Clinic,728 Molalla Ave,Oregon City,OR,97045-2799,Clackamas,Non-Rural,,,,
,NHC Tanasbourne Medical &amp; Dental Clinic,10690 NE Cornell Rd Ste 220,Hillsboro,OR,97124-9224,Washington,Non-Rural,,,,
,NHC Tualatin SBHC,22300 SW Boones Ferry Rd,Tualatin,OR,97062-7373,Washington,Non-Rural,,,,
Primary Care,141999413B,COLUMBIA RIVER WOMEN'S CENTER,Rural Health Clinic,Oregon,"Wasco County, OR",0,9,Designated,Rural,02/14/2005,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COLUMBIA RIVER WOMEN'S CENTER,1810 E 19th St Ste 209,The Dalles,OR,97058-3388,Wasco,Rural,,,,
Primary Care,141999410O,IRRIGON MEDICAL CLINIC,Rural Health Clinic,Oregon,"Morrow County, OR",0,15,Designated,Rural,07/18/2013,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,IRRIGON MEDICAL CLINIC,220 NE Main Ave,Irrigon,OR,97844-6999,Morrow,Rural,,,,
Primary Care,141999410Q,Klamath Health Partners Inc,Federally Qualified Health Center,Oregon,"Klamath County, OR",0,18,Designated,Rural,07/24/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHILOQUIN OPEN DOOR FAMILY PRAC.,103 S Wasco Ave,Chiloquin,OR,97624-7002,Klamath,Rural,,,,
,Klamath Health Partnership Admin,2000 S 6th St,Klamath Falls,OR,97601-3372,Klamath,Rural,,,,
,Klamath Open Door - Campus Clinic,2684 Campus Dr,Klamath Falls,OR,97601-1105,Klamath,Rural,,,,
,Klamath Open Door Family Practice,2074 S 6th St,Klamath Falls,OR,97601-3372,Klamath,Rural,,,,
,KOD @ KBBH,2210 N Eldorado Ave Ste 1,Klamath Falls,OR,97601-6418,Klamath,Rural,,,,
,SBHC-Mazama High,3009 Summers Ln,Klamath Falls,OR,97603-6705,Klamath,Rural,,,,
Primary Care,141999411K,CASCADE DIRECT CARE,Rural Health Clinic,Oregon,"Crook County, OR",0,14,Designated,Rural,11/15/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CASCADE DIRECT CARE,750 NW 4th St,Prineville,OR,97754-1436,Crook,Rural,,,,
Primary Care,141999412T,MALHEUR MEMORIAL HEALTH CENTER,Rural Health Clinic,Oregon,"Malheur County, OR",0,14,Designated,Rural,10/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MALHEUR MEMORIAL HEALTH CENTER,410 Main St,Nyssa,OR,97913-3973,Malheur,Rural,,,,
Primary Care,1411105998,MCKENZIE RIVER CLINIC,Rural Health Clinic,Oregon,"Lane County, OR",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
