data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1459786616,FCI-Edgefield,Correctional Facility,South Carolina,"Edgefield County, SC",1.36,12,Designated,Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Edgefield,501 Gary Hill Rd,Edgefield,SC,29824-4503,Edgefield,Rural,,,,
Primary Care,1457792640,FCI-Bennettsville,Correctional Facility,South Carolina,"Marlboro County, SC",1.29,18,Designated,Rural,01/17/2007,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Bennettsville,696 Muckerman Rd,Bennettsville,SC,29512-6195,Marlboro,Rural,,,,
Primary Care,1451709659,FCI-Estill,Correctional Facility,South Carolina,"Hampton County, SC",0.96,24,Designated,Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Estill,100 Prison Rd,Estill,SC,29918,Hampton,Rural,,,,
Primary Care,1451980570,FCI-Williamsburg,Correctional Facility,South Carolina,"Williamsburg County, SC",1.18,21,Designated,Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Williamsburg,8301 US Highway 521,Salters,SC,29590-3705,Williamsburg,Rural,,,,
Primary Care,1451052734,Kirkland Reception and Evaluation Center CF,Correctional Facility,South Carolina,"Richland County, SC",1.57,3,Designated,Non-Rural,04/11/2019,04/11/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Kirkland Reception and Evaluation Center CF,4344 Broad River Rd,Columbia,SC,29210-4010,Richland,Non-Rural,,,,
Primary Care,14599945EC,Care Net of Lancaster,Federally Qualified Health Center,South Carolina,"Lancaster County, SC",0,14,Designated,Rural,12/31/2011,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Plexus Health | Kershaw,212 E Marion St,Kershaw,SC,29067-1442,Lancaster,Rural,,,,
,Plexus Health | Lancaster,838 W Meeting St Ste H,Lancaster,SC,29720-6261,Lancaster,Rural,,,,
Primary Care,145999451P,"HEALTH CARE PARTNERS OF SOUTH CAROLINA, INC.",Federally Qualified Health Center,South Carolina,"Horry County, SC",0,21,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Health Care Partners of SC Admin. #2,1606 Main St,Conway,SC,29526-3572,Horry,Non-Rural,,,,
,Health Care Partners of SC Women&#39;s Care,243 Singleton Ridge Rd,Conway,SC,29526-8391,Horry,Non-Rural,,,,
,"Health Care Partners of South Carolina, Inc. - CONWAY OFFICE",1708 Oak St,Conway,SC,29526-3086,Horry,Non-Rural,,,,
,"Health Care Partners of South Carolina, Inc. - CONWAY OFFICE",1608 Main St,Conway,SC,29526-3572,Horry,Non-Rural,,,,
,"Health Care Partners of South Carolina, Inc. - JOHNSONVILLE OFFICE",123 E Broadway St,Johnsonville,SC,29555-4252,Florence,Rural,,,,
,"Health Care Partners of South Carolina, Inc. - MARION OFFICE",145 Palmetto Pointe Rd,Marion,SC,29571-6721,Marion,Rural,,,,
Primary Care,145999451G,"New Horizon Family Health Services, Inc",Federally Qualified Health Center,South Carolina,"Greenville County, SC",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,C A R E Team Express Mobile Medical Unit,111A Berry Ave,Greer,SC,29651-1307,Greenville,Non-Rural,,,,
,GREER,111 Berry Ave # A,Greer,SC,29651-1307,Greenville,Non-Rural,,,,
,Mobile Dental Unit,111A Berry Ave,Greer,SC,29651-1307,Greenville,Non-Rural,,,,
,NEW HORIZON FAMILY DENTAL CARE,1 Memorial Medical Dr,Greenville,SC,29605-4407,Greenville,Non-Rural,,,,
,NEW HORIZON FAMILY HEALTH SERVICES,130 Mallard St,Greenville,SC,29601-4046,Greenville,Non-Rural,,,,
,New Horizon Family Health Services Main Site,975 W Faris Rd,Greenville,SC,29605-4241,Greenville,Non-Rural,,,,
,Pendleton Place Youth Drop In Center - Medical Exam Room,1133 Pendleton St,Greenville,SC,29601-2317,Greenville,Non-Rural,,,,
,TRAVELERS REST,1588 Geer Hwy,Travelers Rest,SC,29690-9204,Greenville,Non-Rural,,,,
Primary Care,1451260064,R DALE PADGETT MD PA,Rural Health Clinic,South Carolina,"Bamberg County, SC",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,R DALE PADGETT MD PA,526 North St,Bamberg,SC,29003-1319,Bamberg,Rural,,,,
Primary Care,1455116501,COASTAL PLAINS PRIMARY CARE,Rural Health Clinic,South Carolina,"Hampton County, SC",0,21,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COASTAL PLAINS PRIMARY CARE,595 W Carolina Ave,Varnville,SC,29944-4735,Hampton,Rural,,,,
Primary Care,1458632966,FAMILY MEDICINE ASSOCIATES,Rural Health Clinic,South Carolina,"Abbeville County, SC",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FAMILY MEDICINE ASSOCIATES,901 W Greenwood St Ste 9,Abbeville,SC,29620-5727,Abbeville,Rural,,,,
Primary Care,1457033521,RMC PRIMARY CARE BAMBERG,Rural Health Clinic,South Carolina,"Bamberg County, SC",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,RMC PRIMARY CARE BAMBERG,498 North St,Bamberg,SC,29003-1377,Bamberg,Rural,,,,
