data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1096996082,UNITED COMMUNITY SERVICES INC,Federally Qualified Health Center,Connecticut,"New London County, CT",0,13,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Montville High School - School Based Health Center,800 Old Colchester Rd,Oakdale,CT,06370-2608,New London,Non-Rural,,,,
,Norwich Free Academy - School Based Health Center,305 Broadway,Norwich,CT,06360-3547,New London,Non-Rural,,,,
,Norwich Technical High School - School Based Health Center,7 Mahan Dr,Norwich,CT,06360-2425,New London,Non-Rural,,,,
,UCFS at Global Studies Magnet Middle School,15 Teachers Dr,Norwich,CT,06360-4029,New London,Non-Rural,,,,
,UCFS at Kelly STEAM Magnet Middle School,25 Mahan Dr,Norwich,CT,06360-2432,New London,Non-Rural,,,,
,UCFS at Stanton Network Elementary School,386 New London Tpke,Norwich,CT,06360-5337,New London,Non-Rural,,,,
,UCFS at Waterford Country School,78 Hunts Brook Rd,Quaker Hill,CT,06375-1009,New London,Non-Rural,,,,
,UCFS Behavioral Health Center - Colchester,212 Upton Rd,Colchester,CT,06415-2756,New London,Non-Rural,,,,
,UCFS Behavioral Health Center - New London,351 N Frontage Rd Ste 24,New London,CT,06320-2628,New London,Non-Rural,,,,
,UCFS Eldercare Health Center,165 Mckinley Ave,Norwich,CT,06360-3509,New London,Non-Rural,,,,
,UCFS Health Center - Norwich,47 Town St,Norwich,CT,06360-2323,New London,Non-Rural,,,,
,UCFS Health Center - Plainfield,120 Plainfield Rd,Moosup,CT,06354-1632,Windham,Non-Rural,,,,
,UCFS Health Center Griswold,226 E Main St,Griswold,CT,06351-2110,New London,Non-Rural,,,,
Primary Care,1099990962,"Community Health And Wellness Center Of Greater Torrington, Incorporated",Federally Qualified Health Center,Connecticut,"Litchfield County, CT",0,12,Designated,Rural,09/30/2005,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Community Health and Wellness Center,10 Center St,Winsted,CT,06098-1623,Litchfield,Rural,,,,
,Community Health and Wellness Center of Greater Torrington,469 Migeon Ave,Torrington,CT,06790-4643,Litchfield,Rural,,,,
,FISH Torrington Emergency Shelter,332 S Main St,Torrington,CT,06790-6767,Litchfield,Rural,,,,
,Oliver Wolcott Vocational Technical School,75 Oliver St,Torrington,CT,06790-3859,Litchfield,Rural,,,,
,Sullivan Senior Center,88 E Albert St,Torrington,CT,06790-6522,Litchfield,Rural,,,,
,The Open Door Soup Kitchen,160 Main St,Winsted,CT,06098-1735,Litchfield,Rural,,,,
,Torrington High School,50 Major Besse Dr,Torrington,CT,06790-3721,Litchfield,Rural,,,,
,Torrington Middle School,200 Middle School Dr,Torrington,CT,06790-3168,Litchfield,Rural,,,,
,Torrington Soup Kitchen c/o Trinity Church,220 Prospect St,Torrington,CT,06790-5314,Litchfield,Rural,,,,
Primary Care,1099990973,"Wheeler Clinic, Inc.",Federally Qualified Health Center,Connecticut,"Hartford County, CT",0,15,Designated,Non-Rural,06/25/2018,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bristol Central High School,480 Wolcott St,Bristol,CT,06010-6497,Hartford,Non-Rural,,,,
,Bristol Eastern High School,632 King St,Bristol,CT,06010-9202,Hartford,Non-Rural,,,,
,Bristol Health &amp; Wellness Behavioral Health Center,225 N Main St,Bristol,CT,06010-4926,Hartford,Non-Rural,,,,
,Chippens Hill Middle School,551 Peacedale St,Bristol,CT,06010-8939,Hartford,Non-Rural,,,,
,Greene-Hills School,718 Pine St,Bristol,CT,06010-6923,Hartford,Non-Rural,,,,
,Hartford Family Health & Wellness Center,43 Woodland St,Hartford,CT,06105-2363,Hartford,Non-Rural,,,,
,Health &amp; Wellness Center - Admin,74 East St,Plainville,CT,06062-2367,Hartford,Non-Rural,,,,
,Hubbell School,90 W Washington St,Bristol,CT,06010-5485,Hartford,Non-Rural,,,,
,Northeast Middle School,530 Stevens St,Bristol,CT,06010-2587,Hartford,Non-Rural,,,,
,South Side School,21 Tuttle Rd,Bristol,CT,06010-9475,Hartford,Non-Rural,,,,
,Stafford School,212 Louisiana Ave,Bristol,CT,06010-4456,Hartford,Non-Rural,,,,
,Waterbury Health &amp; Wellness Center,855 Lakewood Rd,Waterbury,CT,06704-2483,New Haven,Non-Rural,,,,
,West Bristol School,500 Clark Ave,Bristol,CT,06010-9601,Hartford,Non-Rural,,,,
,Wheeler Family Health and Wellness Center - 49,49 Woodland St,Hartford,CT,06105-2337,Hartford,Non-Rural,,,,
,Wheeler Health & Wellness Center - New Britain,75 N Mountain Rd,New Britain,CT,06053-3468,Hartford,Non-Rural,,,,
,Wheeler Health and Wellness Center,10 N Main St,Bristol,CT,06010-8122,Hartford,Non-Rural,,,,
Primary Care,1099990959,"NORWALK COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Connecticut,"Fairfield County, CT",0,11,Designated,Non-Rural,03/11/2005,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"120 Connecticut Avenue, Norwalk, CT 06854",120 Connecticut Ave,Norwalk,CT,06854-1525,Fairfield,Non-Rural,,,,
,Mobile Van #1,120 Connecticut Ave,Norwalk,CT,06854-1525,Fairfield,Non-Rural,,,,
Primary Care,1099990954,"Staywell Health Care, Inc.",Federally Qualified Health Center,Connecticut,"New Haven County, CT",0,19,Designated,Non-Rural,09/04/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"STAYWELL HEALTH CARE, INC.",80 Phoenix Ave,Waterbury,CT,06702-1418,New Haven,Non-Rural,,,,
,StayWell Health Center,402 E Main St,Waterbury,CT,06702-1701,New Haven,Non-Rural,,,,
