data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1155758653,FDC-Honolulu,Correctional Facility,Hawaii,"Honolulu County, HI",0.41,6,Designated,Non-Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FDC-Honolulu,351 Elliott St,Honolulu,HI,96819-1817,Honolulu,Non-Rural,,,,
Primary Care,1156904860,Kauai County,Geographic HPSA,Hawaii,"Kauai County, HI",12.89,14,Designated,Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Hawaii,Kauai County,Kauai,Single County,15007,Rural,,,,,
Primary Care,1154459847,Maui County,Geographic HPSA,Hawaii,"Maui County, HI",25.35,14,Designated,Partially Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Hawaii,Maui County,Maui,Single County,15009,Partially Rural,,,,,
Primary Care,1153185595,Hawaii County,Geographic HPSA,Hawaii,"Hawaii County, HI",24.56,15,Designated,Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Hawaii,Hawaii County,Hawaii,Single County,15001,Rural,,,,,
Primary Care,1159991517,HO-OLA LAHUI HAWAII INC,Federally Qualified Health Center,Hawaii,"Kauai County, HI",0,21,Designated,Rural,11/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HLH Administration,2975 Haleko Rd Ste 310,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HLH Administration,2975 Haleko Rd Ste 309,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HLH Administration,2975 Haleko Rd Ste 308,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HLH Administration,2975 Haleko Rd Ste 306,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HLH Administration,2975 Haleko Rd Ste 305,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HLH Administration,2975 Haleko Rd Ste 305A,Lihue,HI,96766-1366,Kauai,Rural,,,,
,HO'OLA LAHUI HAWAI'I,4800 Kawaihau Rd Ste D,Kapaa,HI,96746-1964,Kauai,Rural,,,,
,HO'OLA LAHUI HAWAI'I WEST,4643 Waimea Canyon Dr,Waimea,HI,96796,Kauai,Rural,,,,
,HO'OLA LAHUI-HAWAII,4491 Rice St Ste 106,Lihue,HI,96766-1805,Kauai,Rural,,,,
,Hoola Lahui Hawaii Pharmacy,4491 Rice St Ste 105A,Lihue,HI,96766-1805,Kauai,Rural,,,,
,KAUAI COMMUNITY HEALTH CTR-WEST,4643 Waimea Canyon Dr,Waimea,HI,96796,Kauai,Rural,,,,
Primary Care,1159991539,"FIVE MOUNTAINS HAWAII, INC",Rural Health Clinic,Hawaii,"Hawaii County, HI",0,16,Designated,Rural,06/27/2018,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"FIVE MOUNTAINS HAWAII, INC",64-1035 Mamalahoa Hwy Ste F-G,Kamuela,HI,96743-8440,Hawaii,Rural,,,,
Primary Care,1159991526,"MOLOKAI OHANA HEALTH CARE, INC",Federally Qualified Health Center,Hawaii,"Maui County, HI",0,19,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Molokai Community Health Center,30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, buidling #8, Health Education and Nurtitional Counseling Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building # 7, Behavioral Health Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building #1, suite 102, Dental Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building #10, Registration Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building #3, Administrative Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building #4, Medical Department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
,"Molokai Community Health Center, Building #9, WIC department",30 Oki Pl,Kaunakakai,HI,96748,Maui,Rural,,,,
Primary Care,1159991515,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",Federally Qualified Health Center,Hawaii,"Honolulu County, HI",0,21,Designated,Non-Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Ewa - West O`ahu Community Health Center,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706-1909,Honolulu,Non-Rural,,,,
,Kamaile Olakino Maika'i Health Center,85-180 Ala Akau St,Waianae,HI,96792-2323,Honolulu,Non-Rural,,,,
,LEEWARD PEDIATRICS (dba JAMES AND ABIGAIL CAMPBELL CLINIC),87-2070 Farrington Hwy,Waianae,HI,96792-3757,Honolulu,Non-Rural,,,,
,MALAMA RECOVERY SERVICES,89-188 Farrington Hwy,Waianae,HI,96792-4124,Honolulu,Non-Rural,,,,
,MOBILE SERVICE VAN,86-260 Farrington Hwy,Waianae,HI,96792-3128,Honolulu,Non-Rural,,,,
,Nanakuli High & Intermediate School,89-980 Nanakuli Ave,Waianae,HI,96792-3999,Honolulu,Non-Rural,,,,
,Waianae Coast Comprehensive Health Center - Accounting and Human Resources,86-120 Farrington Hwy Ste C304B,Waianae,HI,96792-3000,Honolulu,Non-Rural,,,,
,Waianae Coast Comprehensive Health Center - Business Services,86-120 Farrington Hwy Ste 309C,Waianae,HI,96792-3073,Honolulu,Non-Rural,,,,
