data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1199135822,Clarke County,Geographic HPSA,Iowa,"Clarke County, IA",0.8,13,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Iowa,Clarke County,Clarke,Single County,19039,Rural,,,,,
Primary Care,1198779044,SOUTH CENTRAL IOWA MEDICAL CLINIC,Rural Health Clinic,Iowa,"Wayne County, IA",0,11,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SOUTH CENTRAL IOWA MEDICAL CLINIC,417 S East St Ste 100,Corydon,IA,50060-1860,Wayne,Rural,,,,
Primary Care,1194961798,MYRTUE MEDICAL CENTER - SHELBY CLINIC,Rural Health Clinic,Iowa,"Shelby County, IA",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MYRTUE MEDICAL CENTER - SHELBY CLINIC,105 East St,Shelby,IA,51570,Shelby,Rural,,,,
Primary Care,11999919D8,WOMEN'S CLINIC,Rural Health Clinic,Iowa,"Bremer County, IA",0,13,Designated,Rural,01/07/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WOMEN'S CLINIC,312 9th St SW Ste 2200,Waverly,IA,50677-2909,Bremer,Rural,,,,
Primary Care,1199991984,Proteus Inc.,Federally Qualified Health Center,Iowa,"Polk County, IA",0,20,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Proteus, Inc. - Des Moines site",1221 Center St Ste 16,Des Moines,IA,50309-1014,Polk,Non-Rural,,,,
,"Proteus, Inc. - Fort Dodge Site",107 N 7th St,Fort Dodge,IA,50501-3830,Webster,Rural,,,,
,"Proteus, Inc. - Iowa City Site",1548 S Gilbert St,Iowa City,IA,52240-4304,Johnson,Non-Rural,,,,
Primary Care,11999919CF,"REGIONAL FAMILY HEALTH, STRAWBERRY POINT",Rural Health Clinic,Iowa,"Clayton County, IA",0,15,Designated,Rural,08/04/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"REGIONAL FAMILY HEALTH, STRAWBERRY POINT",111 W Mission St,Strawberry Point,IA,52076-4400,Clayton,Rural,,,,
Primary Care,119999190M,URBANA FAMILY MEDICAL CLINIC,Rural Health Clinic,Iowa,"Benton County, IA",0,15,Designated,Non-Rural,11/20/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,URBANA FAMILY MEDICAL CLINIC,1002 W Main St,Urbana,IA,52345-9099,Benton,Non-Rural,,,,
Primary Care,1199991987,"Peoples Community Health Clinic, Inc.",Federally Qualified Health Center,Iowa,"Black Hawk County, IA",0,18,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Peoples Clinic Butler County,118 S Main St,Clarksville,IA,50619-2008,Butler,Rural,,,,
,PEOPLES COMMUNITY HEALTH CLINIC,905 Franklin St,Waterloo,IA,50703-4407,Black Hawk,Non-Rural,,,,
Primary Care,1199991996,CHI HEALTH CLINIC CORNING,Rural Health Clinic,Iowa,"Adams County, IA",0,15,Designated,Rural,06/29/2005,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHI HEALTH CLINIC CORNING,601 Rosary Dr,Corning,IA,50841-1683,Adams,Rural,,,,
Primary Care,11999919A1,"COMMUNITY HEALTH CENTER OF FORT DODGE, INC",Federally Qualified Health Center,Iowa,"Webster County, IA",0,18,Designated,Rural,02/28/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COMMUNITY HEALTH CENTER OF DAYTON,24 S Main St,Dayton,IA,50530-7698,Webster,Rural,,,,
,COMMUNITY HEALTH CENTER OF FORT DODGE,126 N 10th St,Fort Dodge,IA,50501-3915,Webster,Rural,,,,
,Community Health Center of Mason City,404 N Federal Ave,Mason City,IA,50401-3214,Cerro Gordo,Rural,,,,
Primary Care,1198356831,ST ANSGAR CLINIC,Rural Health Clinic,Iowa,"Mitchell County, IA",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ST ANSGAR CLINIC,140 W 4th St Ste 1,Saint Ansgar,IA,50472-1352,Mitchell,Rural,,,,
Primary Care,1198506472,"REGIONAL FAMILY HEALTH, EDGEWOOD",Rural Health Clinic,Iowa,"Delaware County, IA",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"REGIONAL FAMILY HEALTH, EDGEWOOD",702 W Union St,Edgewood,IA,52042-8187,Delaware,Rural,,,,
Primary Care,1193138961,FAMILY PRACTICE CLINIC WEST BEND,Rural Health Clinic,Iowa,"Palo Alto County, IA",0,11,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FAMILY PRACTICE CLINIC WEST BEND,107 E Division St,West Bend,IA,50597-7736,Palo Alto,Rural,,,,
Primary Care,1191981988,CLARION CLINIC,Rural Health Clinic,Iowa,"Wright County, IA",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CLARION CLINIC,215 13th Ave SW,Clarion,IA,50525-2078,Wright,Rural,,,,
