data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1221430498,Catahoula Parish,High Needs Geographic HPSA,Louisiana,"Catahoula Parish, LA",2.685,20,Designated,Rural,09/24/2001,03/19/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Catahoula Parish,Catahoula Parish,Single County,22025,Rural,,,,,
Primary Care,1228313929,LI-West Baton Rouge Parish,Low Income Population HPSA,Louisiana,"West Baton Rouge Parish, LA",2.55,18,Designated,Non-Rural,07/11/2011,03/20/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,West Baton Rouge Parish,West Baton Rouge Parish,Single County,22121,Non-Rural,,,,,
Primary Care,1229238186,Claiborne Parish,Geographic HPSA,Louisiana,"Claiborne Parish, LA",0.335,16,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Claiborne Parish,Claiborne Parish,Single County,22027,Rural,,,,,
Primary Care,1223868380,Caldwell Parish,High Needs Geographic HPSA,Louisiana,"Caldwell Parish, LA",0.77,13,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Caldwell Parish,Caldwell Parish,Single County,22021,Rural,,,,,
Primary Care,1228501440,LI-Richland Parish,Low Income Population HPSA,Louisiana,"Richland Parish, LA",1.0734,17,Designated,Rural,07/12/1996,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Richland Parish,Richland Parish,Single County,22083,Rural,,,,,
Primary Care,1225013015,LI-Terrebonne Parish,Low Income Population HPSA,Louisiana,"Terrebonne Parish, LA",5.8593,13,Designated,Non-Rural,08/02/2011,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Terrebonne Parish,Terrebonne Parish,Single County,22109,Non-Rural,,,,,
Primary Care,1229457740,LI-East Carroll Parish,Low Income Population HPSA,Louisiana,"East Carroll Parish, LA",0.412,20,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,East Carroll Parish,East Carroll Parish,Single County,22035,Rural,,,,,
Primary Care,1223946369,St. Mary Parish,High Needs Geographic HPSA,Louisiana,"St. Mary Parish, LA",1.28,12,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,St. Mary Parish,St. Mary Parish,Single County,22101,Rural,,,,,
Primary Care,1229315674,FCC-Pollock,Correctional Facility,Louisiana,"Grant Parish, LA",2.54,18,Designated,Non-Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Pollock,1000 Airbase Rd,Pollock,LA,71467-3521,Grant,Non-Rural,,,,
Primary Care,1227667490,FCC-Oakdale,Correctional Facility,Louisiana,"Allen Parish, LA",0.26,12,Designated,Rural,05/13/2019,05/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Oakdale,1507 E Whatley Rd,Oakdale,LA,71463-2318,Allen,Rural,,,,
Primary Care,1226946068,St. Helena Parish,High Needs Geographic HPSA,Louisiana,"St. Helena Parish, LA",1.29,15,Designated,Non-Rural,07/10/1979,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,St. Helena Parish,St. Helena Parish,Single County,22091,Non-Rural,,,,,
Primary Care,1228971255,Avoyelles Parish,High Needs Geographic HPSA,Louisiana,"Avoyelles Parish, LA",5.835,19,Designated,Rural,03/06/1984,07/10/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Louisiana,Avoyelles Parish,Avoyelles Parish,Single County,22009,Rural,,,,,
Primary Care,12299922E3,REDDY FAMILY MEDICAL OF NAPOLEONVILLE,Rural Health Clinic,Louisiana,"Assumption Parish, LA",0,12,Designated,Rural,01/21/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,REDDY FAMILY MEDICAL OF NAPOLEONVILLE,154 Highway 1008,Napoleonville,LA,70390-2009,Assumption,Rural,,,,
Primary Care,12299922A6,"NEW ORLEANS, CITY OF",Federally Qualified Health Center,Louisiana,"Orleans Parish, LA",0,11,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CITY OF NEW ORLEANS HEALTH CARE for HOMELESS,1300 Perdido St,New Orleans,LA,70112-2125,Orleans,Non-Rural,,,,
,Community Resource and Referral Center,1530 Gravier St,New Orleans,LA,70112-2104,Orleans,Non-Rural,,,,
,HCH Arthur Monday,1111 Newton St,New Orleans,LA,70114-2500,Orleans,Non-Rural,,,,
,HEALTH CARE FOR THE HOMELESS,2222 Simon Bolivar Ave,New Orleans,LA,70113-1460,Orleans,Non-Rural,,,,
,Tulane Adolescent Drop-In Center,1461 N Claiborne Ave,New Orleans,LA,70116-1842,Orleans,Non-Rural,,,,
,Tulane Adolescent Drop-In Clinic,611 N Rampart St,New Orleans,LA,70112-3505,Orleans,Non-Rural,,,,
Primary Care,1229992298,"EXCELTH, INCORPORATED",Federally Qualified Health Center,Louisiana,"Orleans Parish, LA",0,20,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,EXCELth Family Health Center - Algiers,4422 General Meyer Ave Ste 103,New Orleans,LA,70131-4330,Orleans,Non-Rural,,,,
