data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1232958419,Dexter,Geographic HPSA,Maine,"Penobscot County, ME | Somerset County, ME",0.23,11,Designated,Partially Rural,06/18/2019,06/18/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Maine,Somerset County,Cambridge town,County Subdivision,2302509655,Rural,,,,,
,Maine,Penobscot County,Corinna town,County Subdivision,2301914310,Non-Rural,,,,,
,Maine,Penobscot County,Dexter town,County Subdivision,2301917530,Rural,,,,,
,Maine,Penobscot County,Garland town,County Subdivision,2301927190,Non-Rural,,,,,
,Maine,Somerset County,Ripley town,County Subdivision,2302562995,Rural,,,,,
Primary Care,1235519536,LI-Farmington,Low Income Population HPSA,Maine,"Franklin County, ME | Kennebec County, ME",0.2773,9,Designated,Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Maine,Franklin County,Avon town,County Subdivision,2300702235,Rural,,,,,
,Maine,Franklin County,Chesterville town,County Subdivision,2300712595,Rural,,,,,
,Maine,Franklin County,Farmington town,County Subdivision,2300724775,Rural,,,,,
,Maine,Franklin County,Industry town,County Subdivision,2300734820,Rural,,,,,
,Maine,Franklin County,New Sharon town,County Subdivision,2300749345,Rural,,,,,
,Maine,Franklin County,New Vineyard town,County Subdivision,2300749520,Rural,,,,,
,Maine,Franklin County,South Franklin UT,County Subdivision,2300770760,Rural,,,,,
,Maine,Franklin County,Strong town,County Subdivision,2300774825,Rural,,,,,
,Maine,Franklin County,Temple town,County Subdivision,2300775980,Rural,,,,,
,Maine,Kennebec County,Vienna town,County Subdivision,2301179025,Rural,,,,,
,Maine,Franklin County,Wilton town,County Subdivision,2300785850,Rural,,,,,
Primary Care,1239992381,SAINT CROIX REGIONAL FAMILY HEALTH CENTER,Federally Qualified Health Center,Maine,"Washington County, ME",0,13,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,EAST GRAND HEALTH CENTER,201 Houlton Rd,Danforth,ME,04424-3140,Washington,Rural,,,,
,ST. CROIX REGIONAL FAMILY HEALTH CENTER,136 Mill St,Princeton,ME,04668-3344,Washington,Rural,,,,
Primary Care,1239992369,"D.F.D. RUSSELL MEDICAL CENTER, INC.",Federally Qualified Health Center,Maine,"Androscoggin County, ME",0,7,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,DFD RUSSELL MEDICAL CENTER - LEEDS,180 Church Hill Rd,Leeds,ME,04263-3418,Androscoggin,Non-Rural,,,,
,DFD RUSSELL MEDICAL CENTER - MONMOUTH,11 Academy Rd,Monmouth,ME,04259-7035,Kennebec,Rural,,,,
,DFD RUSSELL MEDICAL CENTER - TURNER,7 Main St,Turner,ME,04282-4138,Androscoggin,Non-Rural,,,,
Primary Care,1239992378,Katahdin Valley Health Center,Federally Qualified Health Center,Maine,"Penobscot County, ME",0,13,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Ashland District School,180 Presque Isle Rd,Ashland,ME,04732-3414,Aroostook,Rural,,,,
,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,Penobscot,Rural,,,,
,Katahdin Valley Health Center Ashland,33 Walker St,Ashland,ME,04732-3429,Aroostook,Rural,,,,
,Katahdin Valley Health Center Houlton,59 Bangor St,Houlton,ME,04730-1740,Aroostook,Rural,,,,
,Katahdin Valley Health Center Island Falls,1300 Crystal Rd,Island Falls,ME,04747-4369,Aroostook,Rural,,,,
,Katahdin Valley Health Center Millinocket,50 Summer St,Millinocket,ME,04462-1400,Penobscot,Rural,,,,
,Katahdin Valley Health Center Patten,30 Houlton St,Patten,ME,04765-3035,Penobscot,Rural,,,,
,KVHC Brownville,180 Main Rd,Brownville,ME,04414-3107,Piscataquis,Rural,,,,
,KVHC Brownville Elementary School,744 Main Rd,Brownville,ME,04414-3213,Piscataquis,Rural,,,,
,KVHC East Millinocket Schools,45 North St # 1,East Millinocket,ME,04430-1150,Penobscot,Rural,,,,
,KVHC Granite Street School,191 Granite St,Millinocket,ME,04462-1300,Penobscot,Rural,,,,
,KVHC Houlton Elementary School,60 South St,Houlton,ME,04730-1500,Aroostook,Rural,,,,
,KVHC Houlton Middle High School,7 Bird St,Houlton,ME,04730-2402,Aroostook,Rural,,,,
,KVHC Houlton Southside School,65 South St,Houlton,ME,04730-1550,Aroostook,Rural,,,,
,KVHC Katahdin Elementary School,805 Station Rd,Stacyville,ME,04777-4108,Penobscot,Rural,,,,
,KVHC Katahdin Middle High School,800 Station Rd,Stacyville,ME,04777-4121,Penobscot,Rural,,,,
,KVHC Medway Middle School,25 School St,Medway,ME,04460-3152,Penobscot,Rural,,,,
,KVHC Mill Pond Elementary School,147 Hodgdon Mills Rd,Hodgdon,ME,04730-4277,Aroostook,Rural,,,,
,KVHC Milo Elementary,18 Belmont St,Milo,ME,04463-1304,Piscataquis,Rural,,,,
,KVHC Penquis Valley Schools,48 Penquis Dr,Milo,ME,04463-1033,Piscataquis,Rural,,,,
,KVHC Southern Aroostook Community School,922 Dyer Brook Rd,Dyer Brook,ME,04747-5028,Aroostook,Rural,,,,
,KVHC Stearns Jr./Sr. High School,199 State St,Millinocket,ME,04462-1545,Penobscot,Rural,,,,
,MSAD #70 Hodgdon High School,174 Hodgdon Mills Rd,Hodgdon,ME,04730-4278,Aroostook,Rural,,,,
Primary Care,1239992396,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",Federally Qualified Health Center,Maine,"Knox County, ME",0,8,Designated,Rural,02/28/2006,08/18/2019
