data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1281142344,FCC-Yazoo City,Correctional Facility,Mississippi,"Yazoo County, MS",2.5,24,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Yazoo City,2225 Haley Barbour Pkwy,Yazoo City,MS,39194-4796,Yazoo,Rural,,,,
Primary Care,128999289H,BATESVILLE WOMEN'S CLINIC,Rural Health Clinic,Mississippi,"Panola County, MS",0,18,Designated,Rural,02/14/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BATESVILLE WOMEN'S CLINIC,225 Medical Center Dr,Batesville,MS,38606,Panola,Rural,,,,
Primary Care,1288022421,WILLIAMS MEDICAL CLINIC,Rural Health Clinic,Mississippi,"Marshall County, MS",0,18,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WILLIAMS MEDICAL CLINIC,1938 Crescent Meadows Dr,Holly Springs,MS,38635-7419,Marshall,Non-Rural,,,,
Primary Care,1286479158,CENTREVILLE CLINIC,Rural Health Clinic,Mississippi,"Amite County, MS",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CENTREVILLE CLINIC,178 Highway 24 E Ste A,Centreville,MS,39631-4171,Amite,Rural,,,,
Primary Care,1289992863,"NORTHEAST MISSISSIPPI HEALTH CARE, INC.",Federally Qualified Health Center,Mississippi,"Marshall County, MS",0,22,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BYHALIA FAMILY DENTAL CLINIC,34 Brunswick St,Byhalia,MS,38611-7000,Marshall,Non-Rural,,,,
,DBA BYHALIA FAMILY HEALTH CENTER,12 Brunswick St,Byhalia,MS,38611-7000,Marshall,Non-Rural,,,,
,DeSoto Community Health Center,7535 Airways Blvd,Southaven,MS,38671-5834,DeSoto,Non-Rural,,,,
,MT. PLEASANT FAMILY HLTH CLINIC,154 Mount Pleasant Rd,Holly Springs,MS,38635,Marshall,Non-Rural,,,,
Primary Care,1289992870,Jefferson Comprehensive Health Center Inc,Federally Qualified Health Center,Mississippi,"Jefferson County, MS",0,22,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ADAMS COUNTY FAMILY HLTH CTR,145 Homochitto St,Natchez,MS,39120-3906,Adams,Rural,,,,
,Gilmer McLaurin Elementary School,170 Sgt Prentiss Dr,Natchez,MS,39120-4737,Adams,Rural,,,,
,JCHC – Thompson Head Start School-Based Clinic,1038 N Union St,Natchez,MS,39120-2875,Adams,Rural,,,,
,JEFFERSON CNTY HIGH SCHOOL CLINI,2277 Main St,Fayette,MS,39069-5515,Jefferson,Rural,,,,
,JEFFERSON CNTY MID SCHOOL CLINIC,430 Highway 33,Fayette,MS,39069-4546,Jefferson,Rural,,,,
,Jefferson Comprehensive Health Center,405 Main St,Fayette,MS,39069-5576,Jefferson,Rural,,,,
,Jefferson Comprehensive Health Center Medical/Dental Mobile Unit,405 Main St,Fayette,MS,39069-5576,Jefferson,Rural,,,,
,Morgantown Middle School,101 Cottage Home Dr,Natchez,MS,39120-2753,Adams,Rural,,,,
Primary Care,1289992847,"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",Federally Qualified Health Center,Mississippi,"Forrest County, MS",0,20,Designated,Non-Rural,07/15/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BEAUMONT FAMILY HEALTH CENTER,1411 Bradley Ave,Beaumont,MS,39423,Perry,Non-Rural,,,,
,BROOKLYN FAMILY HEALTH CENTER,44 Brooklyn Janice Rd,Brooklyn,MS,39425-9731,Forrest,Non-Rural,,,,
,Carver Middle School,104 Carver Dr,Collins,MS,39428-4174,Covington,Rural,,,,
,Collins Elementary School,401 Dogwood Ave,Collins,MS,39428,Covington,Rural,,,,
,Collins High School,1208 S Dogwood Ave,Collins,MS,39428-4665,Covington,Rural,,,,
,Forrest County Agricultural High School,215 Old Highway 49 E,Brooklyn,MS,39425-9028,Forrest,Non-Rural,,,,
,HATTIESBURG COMMUNITY DENTAL CTR,68 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest,Non-Rural,,,,
,HATTIESBURG FAMILY HEALTH CENTER,66 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest,Non-Rural,,,,
,HATTIESBURG High School & COMMUNITY CLIN.,605 Stadium Dr,Hattiesburg,MS,39401-4156,Forrest,Non-Rural,,,,
,Hattiesburg Public School and COMMUNITY CLINIC ,404 Lillie Burney St,Hattiesburg,MS,39401-5505,Forrest,Non-Rural,,,,
,Hopewell Elementary School,824 Hopewell Rd,Collins,MS,39428-5736,Covington,Rural,,,,
,LUMBERTON FAMILY HEALTH CENTER,598 W 11th Ave,Lumberton,MS,39455-2350,Lamar,Rural,,,,
,Minor Care Clinic,123 S 27th Ave,Hattiesburg,MS,39401-7136,Forrest,Non-Rural,,,,
,Mt. Olive Attendance Center,S 4th St,Mount Olive,MS,39119,Covington,Rural,,,,
,N.R. Burger School and Community Clinic,180 Wsf Tatum Drive Ext,Hattiesburg,MS,39401-7723,Forrest,Non-Rural,,,,
,NEW AUGUSTA FAMILY HEALTH CENTER,404 S Main St,New Augusta,MS,39462,Perry,Non-Rural,,,,
,Petal Elementary School,1179 Highway 42,Petal,MS,39465-9740,Forrest,Non-Rural,,,,
,Petal High School,1145 Highway 42,Petal,MS,39465-9740,Forrest,Non-Rural,,,,
