data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1341155197,Albert C. Wagner Youth Correctional Facility,Correctional Facility,New Jersey,"Burlington County, NJ",0.55,6,Designated,Non-Rural,07/01/2019,07/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Albert C. Wagner Youth Correctional Facility,Ward Ave,Bordentown,NJ,08505,Burlington,Non-Rural,,,,
Primary Care,1346602983,Bayside State Prison,Correctional Facility,New Jersey,"Cumberland County, NJ",1.71,6,Designated,Rural,05/30/2013,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bayside State Prison,4293 Route 47,Leesburg,NJ,08327-2010,Cumberland,Rural,,,,
Primary Care,1344177071,Central Reception &amp; Assignment Facility,Correctional Facility,New Jersey,"Mercer County, NJ",2.78,6,Designated,Non-Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Central Reception &amp; Assignment Facility,1300 Stuyvesant Ave,Trenton,NJ,08618-3447,Mercer,Non-Rural,,,,
Primary Care,1347922762,Edna Mahan Correctional Facility for Women,Correctional Facility,New Jersey,"Hunterdon County, NJ",0.34,3,Designated,Non-Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Edna Mahan Correctional Facility for Women,30 Pittstown Rd,Clinton,NJ,08809-1209,Hunterdon,Non-Rural,,,,
Primary Care,1344768988,Mountainview Youth Correctional Facility,Correctional Facility,New Jersey,"Hunterdon County, NJ",0.48,3,Designated,Non-Rural,05/30/2013,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Mountainview Youth Correctional Facility,31 Petticoat Ln,Annandale,NJ,08801-3039,Hunterdon,Non-Rural,,,,
Primary Care,1341455061,New Jersey State Prison,Correctional Facility,New Jersey,"Mercer County, NJ",1.36,6,Designated,Non-Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,New Jersey State Prison,2nd &amp; Cas Streets,Trenton,NJ,08625,Mercer,Non-Rural,,,,
Primary Care,1348551708,Northern State Prison,Correctional Facility,New Jersey,"Essex County, NJ",2.2,6,Designated,Non-Rural,05/30/2013,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Northern State Prison,168 Frontage Rd,Newark,NJ,07114-3721,Essex,Non-Rural,,,,
Primary Care,1348046715,Southern State Correctional Facility,Correctional Facility,New Jersey,"Cumberland County, NJ",2.15,6,Designated,Non-Rural,05/30/2013,02/05/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Southern State Correctional Facility,4295 Route 47,Delmont,NJ,08314-8902,Cumberland,Non-Rural,,,,
Primary Care,1342602446,South Woods State Prison,Correctional Facility,New Jersey,"Cumberland County, NJ",3.83,6,Designated,Rural,01/30/2019,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,South Woods State Prison,215 S Burlington Rd,Bridgeton,NJ,08302-3479,Cumberland,Rural,,,,
Primary Care,1343136611,FCI-Fort Dix,Correctional Facility,New Jersey,"Burlington County, NJ",3.92,12,Designated,Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Fort Dix,Hartford St & Pointville Rd,Joint Base Mdl,NJ,08640,Burlington,Rural,,,,
Primary Care,134999340B,Saint James Health Inc,Federally Qualified Health Center,New Jersey,"Essex County, NJ",0,20,Designated,Non-Rural,12/14/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Saint James Health, Inc.",228 Lafayette St Fl 2,Newark,NJ,07105-1815,Essex,Non-Rural,,,,
,"Saint James Health, Inc.",228 Lafayette St,Newark,NJ,07105-1815,Essex,Non-Rural,,,,
,"Saint James Health, Inc. West",332 S 8th St,Newark,NJ,07103-2173,Essex,Non-Rural,,,,
Primary Care,1349993480,Ocean Health Initiatives Inc.,Federally Qualified Health Center,New Jersey,"Monmouth County, NJ",0,8,Designated,Non-Rural,02/28/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Neptune Administrative Offices,3600 State Route 66,Neptune,NJ,07753-2605,Monmouth,Non-Rural,,,,
,OCEAN HEALTH INITIATIVES LAKEWOOD SITE,101 2nd St,Lakewood,NJ,08701-3324,Ocean,Non-Rural,,,,
,Ocean Health Initiatives Mobile Medical Unit,101 2nd St,Lakewood,NJ,08701-3324,Ocean,Non-Rural,,,,
,OHI - Freehold,20 Jackson St,Freehold,NJ,07728-2476,Monmouth,Non-Rural,,,,
,OHI - Little Egg,798 CR-539,Tuckerton,NJ,08087-4203,Ocean,Non-Rural,,,,
,OHI - Manchester,686 Route 70,Lakehurst,NJ,08733-2853,Ocean,Non-Rural,,,,
,OHI - SBHC at Lakewood High School,855 Somerset Ave,Lakewood,NJ,08701-2127,Ocean,Non-Rural,,,,
,OHI - Toms River,10 Stockton Dr,Toms River,NJ,08755-6433,Ocean,Non-Rural,,,,
,OHI at Stafford Township,333 Haywood Rd,Manahawkin,NJ,08050-2839,Ocean,Non-Rural,,,,
,OHI BRICK TOWNSHIP,1610 Route 88,Brick,NJ,08724-3018,Ocean,Non-Rural,,,,
,OHI-Clifton Avenue School Based Health Center,625 Clifton Ave,Lakewood,NJ,08701-2808,Ocean,Non-Rural,,,,
Primary Care,13699936B6,"Refuah Health Center, Inc.",Federally Qualified Health Center,New York,"Rockland County, NY",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
