data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1353809306,Rio Arriba County,Geographic HPSA,New Mexico,"Rio Arriba County, NM",8.79,18,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,New Mexico,Rio Arriba County,Rio Arriba,Single County,35039,Rural,,,,,
Primary Care,1355719375,RGH CLINIC - PORTALES,Rural Health Clinic,New Mexico,"Roosevelt County, NM",0,18,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,RGH CLINIC - PORTALES,42121 US 70,Portales,NM,88130-9054,Roosevelt,Rural,,,,
Primary Care,1359993581,La Familia Medical Center,Federally Qualified Health Center,New Mexico,"Santa Fe County, NM",0,20,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,La Famila Medical Center Dental Clinic,6401 S Richards Ave,Santa Fe,NM,87508-4887,Santa Fe,Non-Rural,,,,
,LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja Del Oro Grant Rd,Santa Fe,NM,87507-3279,Santa Fe,Non-Rural,,,,
,LA FAMILIA MEDICAL CENTER,1035 Alto St,Santa Fe,NM,87501-2406,Santa Fe,Non-Rural,,,,
,LFMC Healthcare for the Homeless,1532 Cerrillos Rd Ste B,Santa Fe,NM,87505-3512,Santa Fe,Non-Rural,,,,
,Life Link Homeless Resource,2325 Cerrillos Rd,Santa Fe,NM,87505-3373,Santa Fe,Non-Rural,,,,
,Pete's Place Homeless Resource,2801 Cerrillos Rd,Santa Fe,NM,87507-2311,Santa Fe,Non-Rural,,,,
,Temporary Site-La Familia Medical Center  Healthcare for the Homeless at Midtown Campus,1600 St Michaels Dr,Santa Fe,NM,87505-7615,Santa Fe,Non-Rural,,,,
Primary Care,1359993570,"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",Federally Qualified Health Center,New Mexico,"Bernalillo County, NM",0,22,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Client Services Center,1220 1st St NW,Albuquerque,NM,87102-1530,Bernalillo,Non-Rural,,,,
,Harm Reduction Outreach Van,1217 1st St NW,Albuquerque,NM,87102-1529,Bernalillo,Non-Rural,,,,
,"MEDICAL, DENTAL, BEHAVIORAL HEALTH SERVICES & ADMINISTRATION",1217 1st St NW,Albuquerque,NM,87102-1529,Bernalillo,Non-Rural,,,,
Primary Care,13599935CB,"ST. LUKE'S HEALTH CARE CLINIC, INC.",Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",0,21,Designated,Non-Rural,01/07/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,St. Luke&#39;s Health Care Clinic Suite A,999 W Amador Ave,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,
,St. Luke&#39;s Health Care Clinic Suite D,999 W Amador Ave Ste D,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,
,"St. Luke&#39;s Health Care Clinic, Suite A",999 W Amador Ave Ste A,Las Cruces,NM,88005-2739,Dona Ana,Non-Rural,,,,
Primary Care,1358042446,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TATUM CLINIC,310 N Main St,Tatum,NM,88267-9525,Lea,Rural,,,,
Primary Care,1355882502,HOBBS MEDICAL CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HOBBS MEDICAL CLINIC,1923 N Dal Paso St,Hobbs,NM,88240-3023,Lea,Rural,,,,
Primary Care,1359993567,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",0,23,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Abiquiu Elementary School Based Clinic,US-84,Abiquiu,NM,87510,Rio Arriba,Rural,,,,
,LAS CLINICAS DEL NORTE,28 NM-571,El Rito,NM,87530,Rio Arriba,Rural,,,,
,LAS CLINICAS DEL NORTE,26 NM-571,El Rito,NM,87530,Rio Arriba,Rural,,,,
,LAS CLINICAS DEL NORTE @ OJO CAL,35282 US-285,Ojo Caliente,NM,87549,Rio Arriba,Rural,,,,
,Las Clinicas del Norte Pojoaque Middle School,1797B State Road 502,Santa Fe,NM,87506-8904,Santa Fe,Non-Rural,,,,
,LAS CLINICAS DEL NORTE SCH CLN,US-285,Ojo Caliente,NM,87549,Taos,Rural,,,,
,"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US-84,Abiquiu,NM,87510,Rio Arriba,Rural,,,,
,"Las Clinicas Dl Norte, Inc Pojoaque Valley School Based Health Clinic",1574 State Road 502,Santa Fe,NM,87506-2697,Santa Fe,Non-Rural,,,,
,LCDN MOBILE HEALTH VAN,PO BOX 237,El Rito,NM,87530-0237,Rio Arriba,Rural,,,,
Primary Care,1359993556,"CLINICA DE FAMILIA INC, LA",Federally Qualified Health Center,New Mexico,"Dona Ana County, NM",0,21,Designated,Non-Rural,08/26/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Anthony Medical and Dental Clinic,855 N Main,Anthony,NM,88021-9325,Dona Ana,Non-Rural,,,,
,Anthony Mental Health,826 Anthony Dr,Anthony,NM,88021-9317,Dona Ana,Non-Rural,,,,
