data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1383313034,LI - Devils Lake,Low Income Population HPSA,North Dakota,"Ramsey County, ND",0.3805,14,Designated,Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Dakota,Ramsey County,9576,Census Tract,38071957600,Rural,,,,,
,North Dakota,Ramsey County,9578,Census Tract,38071957800,Rural,,,,,
Primary Care,1383486915,Hettinger County,High Needs Geographic HPSA,North Dakota,"Hettinger County, ND",0.255,12,Designated,Rural,07/01/2019,07/01/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Dakota,Hettinger County,Hettinger,Single County,38041,Rural,,,,,
Primary Care,1389423693,CHI ST ALEXIUS HEALTH CLINIC,Rural Health Clinic,North Dakota,"McLean County, ND",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHI ST ALEXIUS HEALTH CLINIC,1177 Border Ln,Washburn,ND,58577-4102,McLean,Rural,,,,
Primary Care,1381915076,TIOGA MEDICAL CENTER-RAY RHC,Rural Health Clinic,North Dakota,"Williams County, ND",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TIOGA MEDICAL CENTER-RAY RHC,RAY MALL,Ray,ND,58849,Williams,Rural,,,,
Primary Care,1389993843,FAMILY HEALTHCARE CENTER,Federally Qualified Health Center,North Dakota,"Cass County, ND",0,16,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHURCHES UNITED FOR THE HOMELESS,1019 1st St S,Moorhead,MN,56560-3350,Clay,Non-Rural,,,,
,FAMILY HEALTHCARE CENTER-MOORHEAD DENTAL,715 11th St N Ste 106B,Moorhead,MN,56560-2000,Clay,Non-Rural,,,,
,Family HealthCare Moorhead,1308 9th Ave S,Moorhead,MN,56563-1003,Clay,Non-Rural,,,,
,Family HealthCare South Fargo,4025 9th Ave S,Fargo,ND,58103-2101,Cass,Non-Rural,,,,
,Family HealthCare Valley City,415 2nd Ave NE Ste 101,Valley City,ND,58072-3060,Barnes,Rural,,,,
,Family HealthCare West Fargo,726 13th Ave E,West Fargo,ND,58078-3304,Cass,Non-Rural,,,,
,"FHC Medical, Dental, Homeless Services, and Administrative Site in Fargo",301 Np Ave N,Fargo,ND,58102-4835,Cass,Non-Rural,,,,
Primary Care,1389993838,QUENTIN N BURDICK MEM HLTH FACILITY,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",North Dakota,"Rolette County, ND",0,19,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,QUENTIN N BURDICK MEM HLTH FACILITY,"5 Moonlight Dr., Hwy.",Belcourt,ND,58316,Rolette,Rural,,,,
Primary Care,1389931035,HEART OF AMERICA JOHNSON CLINIC - MADDOCK,Rural Health Clinic,North Dakota,"Benson County, ND",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HEART OF AMERICA JOHNSON CLINIC - MADDOCK,301 Roosevelt Ave,Maddock,ND,58348-7138,Benson,Rural,,,,
Primary Care,138999387A,RURAL HEALTH WISHEK,Rural Health Clinic,North Dakota,"McIntosh County, ND",0,15,Designated,Rural,10/26/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,RURAL HEALTH WISHEK,PO BOX 647,Wishek,ND,58495-0647,McIntosh,Rural,,,,
Primary Care,1384450026,GARRISON FAMILY CLINIC,Rural Health Clinic,North Dakota,"McLean County, ND",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GARRISON FAMILY CLINIC,407 3rd Ave SE,Garrison,ND,58540-7235,McLean,Rural,,,,
Primary Care,1383433960,CAVALIER COUNTY MEMORIAL HOSPITAL CLINIC,Rural Health Clinic,North Dakota,"Cavalier County, ND",0,14,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CAVALIER COUNTY MEMORIAL HOSPITAL CLINIC,901 2nd St,Langdon,ND,58249-2407,Cavalier,Rural,,,,
Primary Care,1386248377,HEART OF AMERICA JOHNSON CLINIC - DUNSEITH,Rural Health Clinic,North Dakota,"Rolette County, ND",0,18,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HEART OF AMERICA JOHNSON CLINIC - DUNSEITH,215 Main St SE,Dunseith,ND,58329,Rolette,Rural,,,,
Primary Care,1383527006,HEART OF AMERICA JOHNSON CLINIC,Rural Health Clinic,North Dakota,"Pierce County, ND",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HEART OF AMERICA JOHNSON CLINIC,800 S Main Ave,Rugby,ND,58368-2118,Pierce,Rural,,,,
Primary Care,1383983369,TIOGA MEDICAL CENTER TIOGA RHC,Rural Health Clinic,North Dakota,"Williams County, ND",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TIOGA MEDICAL CENTER TIOGA RHC,810 N Welo St,Tioga,ND,58852-7157,Williams,Rural,,,,
Primary Care,1389993846,Coal Country Community Health Center,Federally Qualified Health Center,North Dakota,"Mercer County, ND",0,15,Designated,Rural,09/30/2003,08/18/2019
