data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1422071320,State Correctional Institution - Greene,Correctional Facility,Pennsylvania,"Greene County, PA",0.07,3,Designated,Rural,07/28/1999,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Greene,169 Progress Dr,Waynesburg,PA,15370-8082,Greene,Rural,,,,
Primary Care,1425875441,CF - State Correctional Institution - Albion,Correctional Facility,Pennsylvania,"Erie County, PA",0.58,3,Designated,Non-Rural,01/17/2007,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Albion,10745 Route 18,Albion,PA,16475-0002,Erie,Non-Rural,,,,
Primary Care,1425017360,CF - State Correctional Institution - Camp Hill,Correctional Facility,Pennsylvania,"Cumberland County, PA",3.54,6,Designated,Non-Rural,10/08/1999,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Camp Hill,2500 Lisburn Rd,Camp Hill,PA,17011-8005,Cumberland,Non-Rural,,,,
Primary Care,1423422135,CF - State Correctional Institution - Houtzdale,Correctional Facility,Pennsylvania,"Clearfield County, PA",1.83,6,Designated,Rural,10/08/1999,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Houtzdale,209 Institution Dr,Houtzdale,PA,16651,Clearfield,Rural,,,,
Primary Care,1425026188,CF - State Correctional Institution - Chester,Correctional Facility,Pennsylvania,"Delaware County, PA",0.62,3,Designated,Non-Rural,04/10/2008,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Chester,500 E 4th St,Chester,PA,19013-4551,Delaware,Non-Rural,,,,
Primary Care,1422091110,CF - State Correctional Institution - Huntingdon,Correctional Facility,Pennsylvania,"Huntingdon County, PA",0.42,3,Designated,Rural,06/11/2001,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Huntingdon,1100 Pike St,Huntingdon,PA,16654-0002,Huntingdon,Rural,,,,
Primary Care,1424555512,CF - State Correctional Institution - Coal Township,Correctional Facility,Pennsylvania,"Northumberland County, PA",1.6,6,Designated,Rural,11/20/2006,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Coal Township,1 Kelley Dr,Coal Township,PA,17866-1020,Northumberland,Rural,,,,
Primary Care,1427659971,State Correctional Institution - Dallas,Correctional Facility,Pennsylvania,"Luzerne County, PA",1.09,3,Designated,Non-Rural,11/06/2008,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Dallas,1000 Follies Rd,Dallas,PA,18612-9515,Luzerne,Non-Rural,,,,
Primary Care,1426021132,CF - State Correctional Institution - Fayette,Correctional Facility,Pennsylvania,"Fayette County, PA",0.44,3,Designated,Non-Rural,08/15/2006,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Fayette,50 Overlook Dr,La Belle,PA,15450-1050,Fayette,Non-Rural,,,,
Primary Care,1422075293,CF - State Correctional Institution - Forest,Correctional Facility,Pennsylvania,"Forest County, PA",1.61,12,Designated,Rural,11/30/2006,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - State Correctional Institution - Forest,286 Woodland Dr,Marienville,PA,16239-4936,Forest,Rural,,,,
Primary Care,1423669401,State Correctional Institution - Frackville,Correctional Facility,Pennsylvania,"Schuylkill County, PA",0.5,3,Designated,Rural,11/30/2006,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Frackville,1111 Altamont Blvd,Frackville,PA,17931-2601,Schuylkill,Rural,,,,
Primary Care,1427071661,State Correctional Institution - Smithfield,Correctional Facility,Pennsylvania,"Huntingdon County, PA",0.58,3,Designated,Rural,10/08/1999,01/23/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Smithfield,1120 Pike St,Huntingdon,PA,16652-1172,Huntingdon,Rural,,,,
Primary Care,1425962955,State Correctional Institution - Phoenix,Correctional Facility,Pennsylvania,"Montgomery County, PA",2.17,3,Designated,Non-Rural,04/10/2008,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Phoenix,611 Gravel Pike,Collegeville,PA,19426-1600,Montgomery,Non-Rural,,,,
Primary Care,1423037908,State Correctional Institution - Mahanoy,Correctional Facility,Pennsylvania,"Schuylkill County, PA",1.7,6,Designated,Rural,01/17/2007,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Mahanoy,301 Morea Rd,Frackville,PA,17932-0100,Schuylkill,Rural,,,,
Primary Care,1421843422,State Correctional Institution - Muncy,Correctional Facility,Pennsylvania,"Lycoming County, PA",0.35,3,Designated,Rural,03/11/2014,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Muncy,6454 Route 405 Hwy,Muncy,PA,17756-6388,Lycoming,Rural,,,,
Primary Care,1428453731,State Correctional Institution - Pine Grove,Correctional Facility,Pennsylvania,"Indiana County, PA",0.28,3,Designated,Rural,03/24/2006,01/30/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,State Correctional Institution - Pine Grove,189 Fyock Rd,Indiana,PA,15701-6542,Indiana,Rural,,,,
