data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1462452720,LI-Beadle County,Low Income Population HPSA,South Dakota,"Beadle County, SD",0.8543,14,Designated,Rural,09/06/2019,09/06/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,South Dakota,Beadle County,Beadle,Single County,46005,Rural,,,,,
Primary Care,1467233387,Oglala Lakota County,High Needs Geographic HPSA,South Dakota,"Oglala Lakota County, SD",4.71,20,Designated,Rural,10/02/2019,10/02/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,South Dakota,Oglala Lakota County,Oglala Lakota,Single County,46102,Rural,,,,,
Primary Care,1469994675,WEST RIVER HEALTH CLINIC,Rural Health Clinic,South Dakota,"Corson County, SD",0,21,Designated,Rural,11/12/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WEST RIVER HEALTH CLINIC,PO BOX 520,Mc Laughlin,SD,57642-0520,Corson,Rural,,,,
Primary Care,1469994679,WEST DAKOTA HEALTH CENTER,Rural Health Clinic,South Dakota,"Dewey County, SD",0,19,Designated,Rural,11/12/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WEST DAKOTA HEALTH CENTER,PO BOX 206,Timber Lake,SD,57656-0206,Dewey,Rural,,,,
Primary Care,1469483855,BOWDLE CLINIC,Rural Health Clinic,South Dakota,"Edmunds County, SD",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BOWDLE CLINIC,PO BOX 556,Bowdle,SD,57428-0556,Edmunds,Rural,,,,
Primary Care,1469994650,"RURAL HEALTH CARE, INC.",Federally Qualified Health Center,South Dakota,"Stanley County, SD",0,15,Designated,Rural,11/26/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Access Family Medical Clinic,1216 Ryans Rd,Worthington,MN,56187-1722,Nobles,Rural,,,,
,Access Health - Mitchell,1900 Grassland Dr,Mitchell,SD,57301-6335,Davison,Rural,,,,
,DAKOTA FAMILY MEDICAL CENTER,101 S Front St,Chamberlain,SD,57325-1612,Brule,Rural,,,,
,HIGHMORE CLINIC,200 Commercial Ave SE,Highmore,SD,57345-2148,Hyde,Rural,,,,
,JONES COUNTY CLINIC,609 Garfield Ave,Murdo,SD,57559-4100,Jones,Rural,,,,
,Kennebec Clinic,120 S Main St,Kennebec,SD,57544,Lyman,Rural,,,,
,OAHE VALLEY HEALTH CENTER,202 Island Dr Ste 1,Fort Pierre,SD,57532-7303,Stanley,Rural,,,,
,ONIDA CLINIC,303 S Main St,Onida,SD,57564-2160,Sully,Rural,,,,
,STANLEY JONES MEMORIAL CLINIC,116 N Main Ave,Presho,SD,57568-5434,Lyman,Rural,,,,
Primary Care,1467840355,LACREEK DISTRICT CLINIC,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",South Dakota,"Bennett County, SD",0,21,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,LACREEK DISTRICT CLINIC,119 S 1st Ave,Martin,SD,57551-5835,Bennett,Rural,,,,
Primary Care,1468676175,MOBRIDGE MEDICAL CLINIC,Rural Health Clinic,South Dakota,"Walworth County, SD",0,18,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MOBRIDGE MEDICAL CLINIC,PO BOX 580,Mobridge,SD,57601-0580,Walworth,Rural,,,,
Primary Care,1464179112,BENNETT COUNTY RURAL HEALTH CLINIC,Rural Health Clinic,South Dakota,"Bennett County, SD",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BENNETT COUNTY RURAL HEALTH CLINIC,102 Major Allen St,Martin,SD,57551-6005,Bennett,Rural,,,,
Primary Care,1469994652,HORIZON HEALTH CARE INC,Federally Qualified Health Center,South Dakota,"Miner County, SD",0,18,Designated,Rural,11/26/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Aberdeen Community Health Center,506 S Wilson St,Aberdeen,SD,57401-5082,Brown,Rural,,,,
,ALCESTER COMMUNITY HEALTH CENTER,104 W 2nd St,Alcester,SD,57001-2281,Union,Rural,,,,
,Alcester Dental Clinic,111 Iowa St,Alcester,SD,57001-7700,Union,Rural,,,,
,AURORA COUNTY COMMUNITY HEALTH CENTER,106 S Main St,Plankinton,SD,57368-2264,Aurora,Rural,,,,
,Bennett County Dental Clinic,103 E Bennett Ave,Martin,SD,57551-2203,Bennett,Rural,,,,
,BISON COMMUNITY CLINIC,105 W Main St,Bison,SD,57620-7133,Perkins,Rural,,,,
,BRYANT COMMUNITY HEALTH CENTER,110 W Main St,Bryant,SD,57221-2058,Hamlin,Rural,,,,
,De Smet Community Health Center,401 Prairie Ave SW,De Smet,SD,57231-2333,Kingsbury,Rural,,,,
,Elk Point Community Health Center,204 E Main St,Elk Point,SD,57025-2334,Union,Rural,,,,
,FAITH COMMUNITY HLTH CTR,112 N 2nd Ave W,Faith,SD,57626-6086,Meade,Rural,,,,
,Family Health Center of Eagle Butte,24337 US Highway 212,Eagle Butte,SD,57625-7770,Dewey,Rural,,,,
,Fort Thompson Community Health Center,125 SD Highway 249,Fort Thompson,SD,57339,Buffalo,Rural,,,,
,"Horizon Health Care, Inc.",109 S Main St,Howard,SD,57349-9064,Miner,Rural,,,,
,Howard Community Health Center,208 S Main St,Howard,SD,57349-8813,Miner,Rural,,,,
,Isabel Community Clinic,118 N Main St,Isabel,SD,57633,Dewey,Rural,,,,
