data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1472770585,Northeast Correctional Complex,Correctional Facility,Tennessee,"Johnson County, TN",0.77,9,Designated,Rural,11/30/2018,11/30/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Northeast Correctional Complex,5249 Highway 67 W,Mountain City,TN,37683-6471,Johnson,Rural,,,,
Primary Care,1475267780,Bledsoe County Correctional Complex,Correctional Facility,Tennessee,"Bledsoe County, TN",2.16,12,Designated,Rural,12/10/2018,12/10/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bledsoe County Correctional Complex,1045 Horsehead Ln,Pikeville,TN,37367-7432,Bledsoe,Rural,,,,
Primary Care,1471464866,Women's Therapeutic Residential Center,Correctional Facility,Tennessee,"Lauderdale County, TN",0.16,15,Designated,Rural,12/31/2018,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Women's Therapeutic Residential Center,480 Green Chapel Rd,Henning,TN,38041-5726,Lauderdale,Rural,,,,
Primary Care,1477398513,West Tennessee State Penitentiary,Correctional Facility,Tennessee,"Lauderdale County, TN",0.12,15,Designated,Rural,12/26/2018,12/26/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,West Tennessee State Penitentiary,640 Green Chapel Rd,Henning,TN,38041,Lauderdale,Rural,,,,
Primary Care,1472191317,Northwest Correctional Complex,Correctional Facility,Tennessee,"Lake County, TN",0.35,12,Designated,Rural,12/26/2018,12/26/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Northwest Correctional Complex,960 State Route 212,Tiptonville,TN,38079-4037,Lake,Rural,,,,
Primary Care,1471069783,Turney Center Industrial Complex,Correctional Facility,Tennessee,"Hickman County, TN",0.61,12,Designated,Rural,12/31/2018,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Turney Center Industrial Complex,1499 R W Moore Memorial Hwy,Only,TN,37140-4050,Hickman,Rural,,,,
Primary Care,1476410063,Wayne County,Geographic HPSA,Tennessee,"Wayne County, TN",0.12,11,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Wayne County,Wayne,Single County,47181,Rural,,,,,
Primary Care,1477429209,FCI-Memphis,Correctional Facility,Tennessee,"Shelby County, TN",1.02,12,Designated,Non-Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Memphis,1101 John A Denie Rd,Memphis,TN,38134-7630,Shelby,Non-Rural,,,,
Primary Care,1477617961,LI-Hamilton County,Low Income Population HPSA,Tennessee,"Hamilton County, TN",3.625,10,Designated,Non-Rural,11/30/2016,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Hamilton County,Hamilton,Single County,47065,Non-Rural,,,,,
Primary Care,1475317799,Grundy County,High Needs Geographic HPSA,Tennessee,"Grundy County, TN",1.43,16,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Grundy County,Grundy,Single County,47061,Rural,,,,,
Primary Care,1476548687,Van Buren County,Geographic HPSA,Tennessee,"Van Buren County, TN",1.48,18,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Van Buren County,Van Buren,Single County,47175,Rural,,,,,
Primary Care,1478317311,Clay &amp; Jackson Counties,High Needs Geographic HPSA,Tennessee,"Clay County, TN | Jackson County, TN",1.33,13,Designated,Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Clay County,Clay,Single County,47027,Rural,,,,,
,Tennessee,Jackson County,Jackson,Single County,47087,Rural,,,,,
Primary Care,1474161321,LI-Oakville/Parkway Village/Fox Meadows,Low Income Population HPSA,Tennessee,"Shelby County, TN",15.82,21,Designated,Non-Rural,05/16/2019,05/16/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Tennessee,Shelby County,105,Census Tract,47157010500,Non-Rural,,,,,
,Tennessee,Shelby County,106.10,Census Tract,47157010610,Non-Rural,,,,,
,Tennessee,Shelby County,106.20,Census Tract,47157010620,Non-Rural,,,,,
,Tennessee,Shelby County,106.30,Census Tract,47157010630,Non-Rural,,,,,
,Tennessee,Shelby County,107.10,Census Tract,47157010710,Non-Rural,,,,,
,Tennessee,Shelby County,107.20,Census Tract,47157010720,Non-Rural,,,,,
,Tennessee,Shelby County,108.10,Census Tract,47157010810,Non-Rural,,,,,
,Tennessee,Shelby County,108.20,Census Tract,47157010820,Non-Rural,,,,,
,Tennessee,Shelby County,110.10,Census Tract,47157011010,Non-Rural,,,,,
,Tennessee,Shelby County,110.20,Census Tract,47157011020,Non-Rural,,,,,
,Tennessee,Shelby County,217.10,Census Tract,47157021710,Non-Rural,,,,,
,Tennessee,Shelby County,217.21,Census Tract,47157021721,Non-Rural,,,,,
,Tennessee,Shelby County,217.24,Census Tract,47157021724,Non-Rural,,,,,
,Tennessee,Shelby County,217.25,Census Tract,47157021725,Non-Rural,,,,,
,Tennessee,Shelby County,217.26,Census Tract,47157021726,Non-Rural,,,,,
,Tennessee,Shelby County,217.31,Census Tract,47157021731,Non-Rural,,,,,
,Tennessee,Shelby County,217.32,Census Tract,47157021732,Non-Rural,,,,,
,Tennessee,Shelby County,217.41,Census Tract,47157021741,Non-Rural,,,,,
,Tennessee,Shelby County,217.44,Census Tract,47157021744,Non-Rural,,,,,
