data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1495267627,Uintah,Geographic HPSA,Utah,"Uintah County, UT",0,10,Designated,Rural,07/01/2019,07/01/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Utah,Uintah County,9682,Census Tract,49047968200,Rural,,,,,
,Utah,Uintah County,9683.01,Census Tract,49047968301,Rural,,,,,
,Utah,Uintah County,9683.02,Census Tract,49047968302,Rural,,,,,
,Utah,Uintah County,9684.01,Census Tract,49047968401,Rural,,,,,
,Utah,Uintah County,9684.02,Census Tract,49047968402,Rural,,,,,
Primary Care,1499994974,SAN JUAN CLINIC BLANDING,Rural Health Clinic,Utah,"San Juan County, UT",0,10,Designated,Rural,11/14/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SAN JUAN CLINIC BLANDING,735 S 200 W Ste 3,Blanding,UT,84511-3909,San Juan,Rural,,,,
Primary Care,1499994968,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center,Utah,"Utah County, UT",0,18,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,East Bay Health Center,299 E 900 S Ste 101,Provo,UT,84606-6107,Utah,Non-Rural,,,,
,Mountainlands Community Health Center - Vernal,1680 W Highway 40 Ste 201,Vernal,UT,84078-4142,Uintah,Rural,,,,
,Mountainlands Community Health Center Main Site Clinic,589 S State St,Provo,UT,84606-5056,Utah,Non-Rural,,,,
,Mountainlands Family Health Center Vernal Dental Clinic,133 S 500 E,Vernal,UT,84078-2728,Uintah,Rural,,,,
,MOUNTAINLANDS FAMILY HEALTH CENTER- PAYSON,910 E 100 N Ste 155,Payson,UT,84651-1638,Utah,Non-Rural,,,,
,Mountainlands Family Health Center--Wasatch,750 W 200 N Ste 201,Provo,UT,84601-2606,Utah,Non-Rural,,,,
Primary Care,1492505455,CIRCLEVILLE CLINIC,Rural Health Clinic,Utah,"Piute County, UT",0,12,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CIRCLEVILLE CLINIC,110 S 100 E,Circleville,UT,84723,Piute,Rural,,,,
Primary Care,1499994973,"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Utah,"Rich County, UT",0,16,Designated,Rural,09/30/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bear Lake Community Health Center - Montpelier,152 S 4th St,Montpelier,ID,83254-1538,Bear Lake,Rural,,,,
,"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",325 W Logan Rd,Garden City,UT,84028,Rich,Rural,,,,
,Box Elder Communty Health Center,5 W 200 N,Brigham City,UT,84302-2109,Box Elder,Non-Rural,,,,
,Cache Valley Community Health Center,1515 N 400 E Ste 104,North Logan,UT,84341-7595,Cache,Non-Rural,,,,
,Cache Valley Community Health Center South,517 W 100 N Ste 210,Providence,UT,84332-9826,Cache,Non-Rural,,,,
,Cache Valley Community Health Center South,517 W 100 N Ste 110,Providence,UT,84332-9826,Cache,Non-Rural,,,,
,Evanston Community Health Center,75 Yellow Creek Rd Ste 102,Evanston,WY,82930-5205,Uinta,Rural,,,,
,Rock Springs Community Health Center,2620 Commercial Way,Rock Springs,WY,82901-4671,Sweetwater,Rural,,,,
Primary Care,1499994960,"COMMUNITY HEALTH CENTERS, INC.",Federally Qualified Health Center,Utah,"Salt Lake County, UT",0,18,Designated,Non-Rural,12/02/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bear River Health Clinic,440 W 600 N,Tremonton,UT,84337-2400,Box Elder,Rural,,,,
,"Community Health Center, Inc. Ellis R. Shipp",4535 S 5600 W,West Valley City,UT,84120-4639,Salt Lake,Non-Rural,,,,
,"Community Health Centers, Inc - Central City",610 S 200 E Ste B,Salt Lake City,UT,84111-3802,Salt Lake,Non-Rural,,,,
,"Community Health Centers, Inc.",2621 S 3270 W,West Valley City,UT,84119-1119,Salt Lake,Non-Rural,,,,
,"Community Health Centers, Inc. - Brigham City",980 Medical Dr Ste 1,Brigham City,UT,84302-3094,Box Elder,Non-Rural,,,,
,"Community Health Centers, Inc. 72nd Street Clinic",220 W 7200 S,Midvale,UT,84047-1043,Salt Lake,Non-Rural,,,,
,Neighborhood Clinic at Mountainview School,1388 S Navajo St Ste C,Salt Lake City,UT,84104-3494,Salt Lake,Non-Rural,,,,
,OQUIRRH VIEW COMMUNITY HEALTH CENTER,4745 S 3200 W,Taylorsville,UT,84129-2822,Salt Lake,Non-Rural,,,,
,STEPHEN RATCLIFFE COMMUNITY HLTH CTR,1365 W 1000 N,Salt Lake City,UT,84116-1654,Salt Lake,Non-Rural,,,,
Primary Care,1499994964,ENTERPRISE VALLEY MEDICAL CLINIC,Federally Qualified Health Center,Utah,"Washington County, UT",0,15,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"ENTERPRISE VALLEY MED CLINIC, INC.",223 S 200 E,Enterprise,UT,84725,Washington,Rural,,,,
Primary Care,1499994969,"Utah Navajo Health System, Inc.",Federally Qualified Health Center,Utah,"San Juan County, UT",0,17,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Blanding Family Chiropractic,792 S Main St,Blanding,UT,84511-3924,San Juan,Rural,,,,
,Blanding Family Dental,401 S Main St,Blanding,UT,84511-3833,San Juan,Rural,,,,
,Blanding Family Practice Community Health Center,802 S 200 W,Blanding,UT,84511-3910,San Juan,Rural,,,,
