data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1509995036,Northeast Washington County Community Health Inc,Federally Qualified Health Center,Vermont,"Washington County, VT",0,4,Designated,Rural,09/30/2007,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CABOT HEALTH SERVICES SBHC,25 Common Rd,Cabot,VT,05647-9731,Washington,Rural,,,,
,Calais Elementary School,321 Lightening Ridge Rd,Plainfield,VT,05667-9318,Washington,Rural,,,,
,Caledonia Central Supervisory Union Twinfield School,106 Nasmith Brook Rd,Plainfield,VT,05667-9060,Washington,Rural,,,,
,East Montpelier Elementary School,665 Vincent Flats Rd,E Montpelier,VT,05651-4405,Washington,Rural,,,,
,Maplehill School,E Hill Rd,Plainfield,VT,05667,Washington,Rural,,,,
,THE HEALTH CENTER,157 Towne Ave,Plainfield,VT,05667-9425,Washington,Rural,,,,
,Vermont Dental Care Mobile,PO BOX 320,Plainfield,VT,05667-0320,Washington,Rural,,,,
Primary Care,1509995018,"COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.",Federally Qualified Health Center,Vermont,"Chittenden County, VT",0,8,Designated,Non-Rural,05/22/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Champlain Islands Health Center,52 Community Ln,South Hero,VT,05486-4418,Grand Isle,Non-Rural,,,,
,GoodHealth,368 Dorset St Ste 1,South Burlington,VT,05403-6236,Chittenden,Non-Rural,,,,
,H.O. WHEELER SCHOOL DENTAL CLINIC,6 Archibald St,Burlington,VT,05401-4220,Chittenden,Non-Rural,,,,
,LUND Family Center,76 Glen Rd,Burlington,VT,05401-4131,Chittenden,Non-Rural,,,,
,PEARL STREET YOUTH  HEALTH CENTER,179 Pearl St,Burlington,VT,05401-3704,Chittenden,Non-Rural,,,,
,RIVERSIDE HEALTH CENTER,617 Riverside Ave,Burlington,VT,05401-1601,Chittenden,Non-Rural,,,,
,SAFE HARBOR HEALTH CENTER,184 S Winooski Ave,Burlington,VT,05401-4535,Chittenden,Non-Rural,,,,
,South End Health Center,789 Pine St,Burlington,VT,05401-4933,Chittenden,Non-Rural,,,,
,Winooski Family Health,32 Malletts Bay Ave,Winooski,VT,05404-1959,Chittenden,Non-Rural,,,,
Primary Care,150999500A,"Gifford Health Care, Inc.",Federally Qualified Health Center,Vermont,"Orange County, VT",0,2,Designated,Rural,11/01/2013,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bethel Health Center,1823 Vt Rte 107,Bethel,VT,05032-9324,Windsor,Rural,,,,
,Chelsea Health Center,356 Vt Rte 110,Chelsea,VT,05038-8993,Orange,Rural,,,,
,Gifford Health Center at Berlin,2418 Airport Rd Ste 1,Barre,VT,05641-8702,Washington,Rural,,,,
,"Gifford Primary Care, OB/GYN and Midwifery, and Pediatric and Adolescent Care",44 S Main St,Randolph,VT,05060-1381,Orange,Rural,,,,
,Kingwood Health Center,1422 Vt Route 66,Randolph,VT,05060-7718,Orange,Rural,,,,
,Rochester Health Center,235 S Main St,Rochester,VT,05767-9683,Windsor,Rural,,,,
Primary Care,1509995037,"LITTLE RIVERS HEALTH CARE, INC.",Federally Qualified Health Center,Vermont,"Orange County, VT",0,3,Designated,Rural,06/01/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Blue Mountain Union School,2420 Route 302,Wells River,VT,05081-9750,Orange,Rural,,,,
,BRADFORD,437 S Main St,Bradford,VT,05033-9196,Orange,Rural,,,,
,Bradford Elementary School,Fairground Rd,Bradford,VT,05033,Orange,Rural,,,,
,Clara Martin Center,1740 Lower Pln,Bradford,VT,05033-8934,Orange,Rural,,,,
,EAST CORINTH,720 Village Rd,East Corinth,VT,05040-9783,Orange,Rural,,,,
,Little Rivers Health Care. Inc. Administration,146 Mill St,Bradford,VT,05033-4456,Orange,Rural,,,,
,Newbury Elementary School,US-5,Newbury,VT,05051,Orange,Rural,,,,
,Oxbow High School,US-5,Bradford,VT,05033,Orange,Rural,,,,
,Valley Vista,23 Upper Pln,Bradford,VT,05033-9016,Orange,Rural,,,,
,Wells River,65 Main St N,Wells River,VT,05081-9692,Orange,Rural,,,,
Primary Care,1509995020,"RICHFORD HEALTH CENTER, INC.",Federally Qualified Health Center,Vermont,"Franklin County, VT",0,8,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Alburg Health Center,64 Industrial Park Rd,Alburgh,VT,05440,Grand Isle,Non-Rural,,,,
,Enosburg Health Center,382 Main St N,Enosburg Falls,VT,05450-5990,Franklin,Rural,,,,
,Fairfax Health Center,1199 Main St,Fairfax,VT,05454-9530,Franklin,Non-Rural,,,,
,NOTCH Pharmacy,44 Main St Ste 200,Richford,VT,05476-1141,Franklin,Rural,,,,
,Richford Dental Clinic,44 Main St Ste 400,Richford,VT,05476-1141,Franklin,Rural,,,,
,Richford Health Center ,44 Main St,Richford,VT,05476-1153,Franklin,Rural,,,,
,St Albans Health Center,3 Crest Rd,Saint Albans,VT,05478-9753,Franklin,Rural,,,,
,Swanton Health Center,26 Canada St,Swanton,VT,05488-1335,Franklin,Rural,,,,
,Swanton Rexall,44 Merchants Row,Swanton,VT,05488-1420,Franklin,Rural,,,,
Primary Care,1509995040,SPRINGFIELD MEDICAL CARE SYSTEM INC,Federally Qualified Health Center,Vermont,"Windsor County, VT",0,4,Designated,Rural,03/01/2009,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Charlestown Health Center,250 Ceda Rd,Charlestown,NH,03603-4511,Sullivan,Rural,,,,
,Chester Dental Center,55 Main St,Chester,VT,05143-9115,Windsor,Rural,,,,
