data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1513416827,Patrick County,Geographic HPSA,Virginia,"Patrick County, VA",3.96,19,Designated,Rural,01/01/1984,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Virginia,Patrick County,Patrick,Single County,51141,Rural,,,,,
Primary Care,1513726774,USP-Lee,Correctional Facility,Virginia,"Lee County, VA",1.3,21,Designated,Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,USP-Lee,Hickory Flats Rd,Pennington Gap,VA,24277,Lee,Rural,,,,
Primary Care,1514157632,Fluvanna Correctional Center for Women,Correctional Facility,Virginia,"Fluvanna County, VA",0.31,3,Designated,Non-Rural,09/05/2019,09/05/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Fluvanna Correctional Center for Women,144 Prison Ln,Troy,VA,22974,Fluvanna,Non-Rural,,,,
Primary Care,1515352530,Pocahontas State Correctional Center,Correctional Facility,Virginia,"Tazewell County, VA",1.2,12,Designated,Rural,09/05/2019,09/05/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Pocahontas State Correctional Center,317 Old Mountain Rd,Pocahontas,VA,24635,Tazewell,Rural,,,,
Primary Care,151999510U,PIEDMONT ACCESS TO HEALTH SERVICES INC,Federally Qualified Health Center,Virginia,"Danville City, VA",0,20,Designated,Rural,09/30/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PATHS Community Medical Center - Boydton,380 Washington St,Boydton,VA,23917-3415,Mecklenburg,Rural,,,,
,PATHS Community Medical Center - Chatham,4 S Main St,Chatham,VA,24531-5436,Pittsylvania,Rural,,,,
,PATHS Community Medical Center - Danville,705 Main St,Danville,VA,24541-1803,Danville City,Rural,,,,
,PATHS Community Medical Center - South Boston,1627 Seymour Dr,South Boston,VA,24592-3447,Halifax,Rural,,,,
,PATHS Community Medical Center- Martinsville,287 Commonwealth Blvd W,Martinsville,VA,24112-1820,Martinsville City,Rural,,,,
,PATHS Community Pharmacy,1049 Brookdale St Ste A,Martinsville,VA,24112-3972,Martinsville City,Rural,,,,
,PATHS Johnson School Project,680 Arnett Blvd,Danville,VA,24540-2542,Danville City,Rural,,,,
,"Piedmont Access To Health Services, Inc. Administrative  Office",116 S Ridge St,Danville,VA,24541-1314,Danville City,Rural,,,,
Primary Care,151999510J,BLAND COUNTY MEDICAL CLINIC INC,Federally Qualified Health Center,Virginia,"Bland County, VA",0,14,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bland County Medical Clinic Dental Clinic,8487 S Scenic Hwy,Bland,VA,24315-4691,Bland,Rural,,,,
,"BLAND COUNTY MEDICAL CLINIC, INC.",12301 Grapefield Rd,Bastian,VA,24314-4547,Bland,Rural,,,,
Primary Care,151999510B,"Clinch River Health Services, Incorporated",Federally Qualified Health Center,Virginia,"Scott County, VA",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"CLINCH RIVER HEALTH SERVICES, INC.",17633 Veterans Memorial Hwy Ste 101,Dungannon,VA,24245-3929,Scott,Non-Rural,,,,
,"Clinch River Health Services, Inc.",17285 Veterans Memorial Hwy,Dungannon,VA,24245-3937,Scott,Non-Rural,,,,
Primary Care,151999510H,"Peninsula Institute For Community Health, Inc",Federally Qualified Health Center,Virginia,"Newport News City, VA",0,17,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,48th Street Physicians,4714 Marshall Ave,Newport News,VA,23607-2247,Newport News City,Non-Rural,,,,
,Chesapeake Community Health Center,490 Liberty St,Chesapeake,VA,23324-2618,Chesapeake City,Non-Rural,,,,
,COMMUNITY DENTAL SERVICES,1033 28th St,Newport News,VA,23607-4233,Newport News City,Non-Rural,,,,
,EAST END PHYSICIANS,1033 28th St,Newport News,VA,23607-4233,Newport News City,Non-Rural,,,,
,East End Physicians,1033 28th St,Newport News,VA,23607-4233,Newport News City,Non-Rural,,,,
,Franklin Community Health Center,1357 Armory Dr,Franklin,VA,23851-2419,Franklin City,Rural,,,,
,Main Street Physicians,157 N Main St Ste A,Suffolk,VA,23434-4565,Suffolk City,Non-Rural,,,,
,Southeastern Virginia Health System @ Four Oaks Day Service Center,7401 Warwick Blvd,Newport News,VA,23607-1515,Newport News City,Non-Rural,,,,
,Southeastern Virginia Health System @ Hampton Newport News Community Services Board,300 Medical Dr,Hampton,VA,23666-1765,Hampton City,Non-Rural,,,,
,Southeastern Virginia Health System @ Western Tidewater Community Services Board,5268 Godwin Blvd,Suffolk,VA,23434-8114,Suffolk City,Non-Rural,,,,
,STONEYBROOK PHYSICIANS,15425 Warwick Blvd Ste H,Newport News,VA,23608-1579,Newport News City,Non-Rural,,,,
,TOWN CENTER PHYSICIANS,10980 Buckley Hall Rd,Mathews,VA,23109-2319,Mathews,Non-Rural,,,,
,Virginia Beach Family Medical Center,940 General Booth Blvd,Virginia Beach,VA,23451-4861,Virginia Beach City,Non-Rural,,,,
,Virginia Beach Family Medical Center,936 General Booth Blvd,Virginia Beach,VA,23451-4862,Virginia Beach City,Non-Rural,,,,
,Virginia Beach Housing Resource Center Health Clinic,104 N Witchduck Rd,Virginia Beach,VA,23462-6506,Virginia Beach City,Non-Rural,,,,
,Warwick Boulevard Physicians,9294 Warwick Blvd,Newport News,VA,23607-1535,Newport News City,Non-Rural,,,,
