data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1552242234,Jackson Correctional Institution,Correctional Facility,Wisconsin,"Jackson County, WI",0.43,3,Designated,Rural,04/11/2019,04/11/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Jackson Correctional Institution,N6500 Haipek Rd,Black River Falls,WI,54615-5404,Jackson,Rural,,,,
Primary Care,117999175M,Heartland Alliance Health,Federally Qualified Health Center,Illinois,"Cook County, IL",0,21,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HEARTLAND ALLIANCE HEALTH - ENGLEWOOD,5501 S Halsted St,Chicago,IL,60621-2229,Cook,Non-Rural,,,,
,HEARTLAND ALLIANCE HEALTH - JAMES WEST CLINIC,932 W Washington Blvd Ste 224,Chicago,IL,60607-2217,Cook,Non-Rural,,,,
,HEARTLAND ALLIANCE HEALTH - MENTAL HEALTH AND ADDICTIONS,4750 N Sheridan Rd Ste 249,Chicago,IL,60640-7512,Cook,Non-Rural,,,,
,HEARTLAND ALLIANCE HEALTH - RETHKE TERRACE,715 Rethke Ave Apt 105,Madison,WI,53714-1415,Dane,Non-Rural,,,,
,HEARTLAND ALLIANCE HEALTH - UPTOWN,1015 W Lawrence Ave,Chicago,IL,60640-5017,Cook,Non-Rural,,,,
Primary Care,15599955B7,"Access Community Health Centers, Inc.",Federally Qualified Health Center,Wisconsin,"Dane County, WI",0,14,Designated,Non-Rural,12/04/2003,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Access Community Health Centers Administrative Offices,2901 W Beltline Hwy Ste 120,Madison,WI,53713-4231,Dane,Non-Rural,,,,
,Dodgeville Dental Clinic,103 E Fountain St,Dodgeville,WI,53533-1749,Iowa,Rural,,,,
,Joyce & Marshall Erdman Clinic,2202 S Park St,Madison,WI,53713-1916,Dane,Non-Rural,,,,
,Sun Prairie Clinic,1270 W Main St,Sun Prairie,WI,53590-1930,Dane,Non-Rural,,,,
,William T. Evjue Clinic,3434 E Washington Ave,Madison,WI,53704-4155,Dane,Non-Rural,,,,
,Wingra Family Medical Center,1102 S Park St,Madison,WI,53715-1708,Dane,Non-Rural,,,,
Primary Care,1551113717,ASPIRUS BIRNAMWOOD CLINIC,Rural Health Clinic,Wisconsin,"Shawano County, WI",0,11,Designated,Rural,08/18/2019,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ASPIRUS BIRNAMWOOD CLINIC,375 Main St,Birnamwood,WI,54414-9259,Shawano,Rural,,,,
Primary Care,1554218059,ASPIRUS ELCHO CLINIC,Rural Health Clinic,Wisconsin,"Langlade County, WI",0,13,Designated,Rural,08/18/2019,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ASPIRUS ELCHO CLINIC,W10618 Clinic St,Elcho,WI,54428-9619,Langlade,Rural,,,,
Primary Care,15599955C7,Community Health Systems Inc,Federally Qualified Health Center,Wisconsin,"Rock County, WI",0,21,Designated,Non-Rural,01/20/2004,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Beloit Area Community Health Center,74 Eclipse Ctr,Beloit,WI,53511-3550,Rock,Non-Rural,,,,
Primary Care,15599955ZK,ELROY FAMILY MEDICAL CENTER,Rural Health Clinic,Wisconsin,"Juneau County, WI",0,13,Designated,Rural,06/29/2015,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ELROY FAMILY MEDICAL CENTER,1515 Academy St,Elroy,WI,53929-1011,Juneau,Rural,,,,
Primary Care,1558511827,ESSENTIA HEALTH HAYWARD CLINIC,Rural Health Clinic,Wisconsin,"Sawyer County, WI",0,15,Designated,Rural,08/18/2019,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ESSENTIA HEALTH HAYWARD CLINIC,11134 N State Road 77,Hayward,WI,54843-5325,Sawyer,Rural,,,,
Primary Care,1553905908,ESSENTIA HEALTH SPOONER CLINIC,Rural Health Clinic,Wisconsin,"Washburn County, WI",0,13,Designated,Rural,08/18/2019,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ESSENTIA HEALTH SPOONER CLINIC,1180 Chandler Dr,Spooner,WI,54801-2204,Washburn,Rural,,,,
Primary Care,15599955C6,KENOSHA COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center,Wisconsin,"Kenosha County, WI",0,19,Designated,Non-Rural,01/20/2004,08/21/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"625 57th Street, Suite 400, Kenosha WI",625 57th St Ste 400,Kenosha,WI,53140-4180,Kenosha,Non-Rural,,,,
,Kenosha Community Health Center Mobile Medical Unit,6226 14th Ave,Kenosha,WI,53143-4413,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc Mobile Medical Unit",625 57th St Ste 700,Kenosha,WI,53140-4146,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc.",4536 22nd Ave,Kenosha,WI,53140-5917,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc.",6226 14th Ave,Kenosha,WI,53143-4413,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc.",1330 52nd St Ste 205,Kenosha,WI,53140-3236,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc.",625 57th St Ste 700,Kenosha,WI,53140-4146,Kenosha,Non-Rural,,,,
,"Kenosha Community Health Center, Inc.",903 S 2nd St,Silver Lake,WI,53170-1747,Kenosha,Non-Rural,,,,
