,State Name,County Name,HPSA Score
0,Alabama,"Autauga County, AL",12.0
1,Alabama,"Autauga County, AL | Elmore County, AL | Montgomery County, AL",16.0
2,Alabama,"Baldwin County, AL",15.0
3,Alabama,"Barbour County, AL",18.666666666666668
4,Alabama,"Bibb County, AL",15.75
5,Alabama,"Blount County, AL",15.0
6,Alabama,"Bullock County, AL",19.333333333333332
7,Alabama,"Butler County, AL",15.0
8,Alabama,"Calhoun County, AL",13.0
9,Alabama,"Chambers County, AL",17.5
10,Alabama,"Cherokee County, AL",15.0
11,Alabama,"Chilton County, AL",13.0
12,Alabama,"Choctaw County, AL",20.0
13,Alabama,"Clarke County, AL",19.5
14,Alabama,"Clay County, AL",12.0
15,Alabama,"Cleburne County, AL",18.0
16,Alabama,"Colbert County, AL | Lauderdale County, AL",14.0
17,Alabama,"Conecuh County, AL",15.0
18,Alabama,"Coosa County, AL",14.0
19,Alabama,"Covington County, AL",16.0
20,Alabama,"Crenshaw County, AL",15.0
21,Alabama,"Cullman County, AL",13.0
22,Alabama,"Dale County, AL",15.0
23,Alabama,"Dallas County, AL",16.5
24,Alabama,"DeKalb County, AL",14.5
25,Alabama,"Elmore County, AL",5.0
26,Alabama,"Elmore County, AL | Macon County, AL | Tallapoosa County, AL",18.0
27,Alabama,"Escambia County, AL",10.0
28,Alabama,"Etowah County, AL",16.0
29,Alabama,"Fayette County, AL | Lamar County, AL",15.0
30,Alabama,"Franklin County, AL",10.0
31,Alabama,"Geneva County, AL",14.0
32,Alabama,"Greene County, AL",23.0
33,Alabama,"Hale County, AL",16.0
34,Alabama,"Henry County, AL",11.0
35,Alabama,"Jackson County, AL",14.0
36,Alabama,"Jefferson County, AL",13.166666666666666
37,Alabama,"Lawrence County, AL",15.0
38,Alabama,"Lee County, AL",16.0
39,Alabama,"Limestone County, AL",9.0
40,Alabama,"Lowndes County, AL",22.0
41,Alabama,"Madison County, AL",16.5
42,Alabama,"Marengo County, AL",17.0
43,Alabama,"Marion County, AL",15.0
44,Alabama,"Marshall County, AL",12.5
45,Alabama,"Mobile County, AL",18.0
46,Alabama,"Monroe County, AL",18.0
47,Alabama,"Montgomery County, AL",14.0
48,Alabama,"Morgan County, AL",11.0
49,Alabama,"Perry County, AL",19.0
50,Alabama,"Pickens County, AL",13.0
51,Alabama,"Pike County, AL",12.5
52,Alabama,"Randolph County, AL",17.0
53,Alabama,"Russell County, AL",19.0
54,Alabama,"St. Clair County, AL",9.0
55,Alabama,"Sumter County, AL",18.0
56,Alabama,"Talladega County, AL",15.5
57,Alabama,"Tallapoosa County, AL",20.0
58,Alabama,"Tuscaloosa County, AL",18.5
59,Alabama,"Walker County, AL",16.0
60,Alabama,"Washington County, AL",14.0
61,Alabama,"Wilcox County, AL",18.0
62,Alabama,"Winston County, AL",15.0
63,Alaska,"Aleutians East Borough, AK",14.285714285714286
64,Alaska,"Aleutians West Census Area, AK",10.125
65,Alaska,"Anchorage Borough, AK",7.0
66,Alaska,"Bethel Census Area, AK",17.62162162162162
67,Alaska,"Bethel Census Area, AK ",17.0
68,Alaska,"Bristol Bay Borough, AK",8.5
69,Alaska,"Denali Borough, AK",10.5
70,Alaska,"Dillingham Census Area, AK",13.727272727272727
71,Alaska,"Fairbanks North Star Borough, AK",17.666666666666668
72,Alaska,"Haines Borough, AK",4.0
73,Alaska,"Hoonah-Angoon Census Area, AK",8.666666666666666
74,Alaska,"Juneau Borough, AK",14.333333333333334
75,Alaska,"Kenai Peninsula Borough, AK",11.153846153846153
76,Alaska,"Ketchikan Gateway Borough, AK",16.0
77,Alaska,"Kodiak Island Borough, AK",10.333333333333334
78,Alaska,"Kusilvak Census Area, AK",19.0
79,Alaska,"Lake and Peninsula Borough, AK",12.0
80,Alaska,"Matanuska-Susitna Borough, AK",10.666666666666666
81,Alaska,"Nome Census Area, AK",13.944444444444445
