data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1088431568,LI-Denver North,Low Income Population HPSA,Colorado,"Denver County, CO",4.19,13,Designated,Non-Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Colorado,Denver County,15,Census Tract,08031001500,Non-Rural,,,,,
,Colorado,Denver County,16,Census Tract,08031001600,Non-Rural,,,,,
,Colorado,Denver County,24.03,Census Tract,08031002403,Non-Rural,,,,,
,Colorado,Denver County,35,Census Tract,08031003500,Non-Rural,,,,,
,Colorado,Denver County,36.01,Census Tract,08031003601,Non-Rural,,,,,
,Colorado,Denver County,36.02,Census Tract,08031003602,Non-Rural,,,,,
,Colorado,Denver County,41.01,Census Tract,08031004101,Non-Rural,,,,,
,Colorado,Denver County,41.02,Census Tract,08031004102,Non-Rural,,,,,
Primary Care,1089965500,FCC-Florence,Correctional Facility,Colorado,"Fremont County, CO",2.12,12,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Florence,5880 Highway 67 S,Florence,CO,81290-1000,Fremont,Rural,,,,
Primary Care,108999080F,AKRON CLINIC,Rural Health Clinic,Colorado,"Washington County, CO",0,14,Designated,Rural,01/28/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,AKRON CLINIC,82 Main Ave,Akron,CO,80720-1440,Washington,Rural,,,,
Primary Care,1083031597,KIT CARSON CLINIC,Rural Health Clinic,Colorado,"Cheyenne County, CO",0,13,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,KIT CARSON CLINIC,102 E 2nd Ave,Kit Carson,CO,80825,Cheyenne,Rural,,,,
Primary Care,1088332279,MONTE VISTA RHC OF RIO GRANDE HOSPITAL,Rural Health Clinic,Colorado,"Rio Grande County, CO",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MONTE VISTA RHC OF RIO GRANDE HOSPITAL,1033 2nd Ave,Monte Vista,CO,81144-1737,Rio Grande,Rural,,,,
Primary Care,10899908A1,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Center,Colorado,"Arapahoe County, CO",0,20,Designated,Non-Rural,08/29/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Chambers Clinic at AuMHC,791 Chambers Rd,Aurora,CO,80011-7112,Arapahoe,Non-Rural,,,,
,MCPN - Health & Wellness Center at the Asian Pacific Development Center,1537 Alton St,Aurora,CO,80010-1712,Adams,Non-Rural,,,,
,POTOMAC STREET HEALTH CLINIC,700 Potomac St Ste A,Aurora,CO,80011-6845,Arapahoe,Non-Rural,,,,
,STRIDE CHC –  Mobile Health Care Unit,11005 Ralston Rd,Arvada,CO,80004-4551,Jefferson,Non-Rural,,,,
,STRIDE CHC – Administration,2255 S Oneida St,Denver,CO,80224-2522,Denver,Non-Rural,,,,
,STRIDE CHC – Alameda High School,1255 S Wadsworth Blvd,Lakewood,CO,80232-5406,Jefferson,Non-Rural,,,,
,STRIDE CHC – Del Mar,10680 Del Mar Pkwy,Aurora,CO,80010-4011,Arapahoe,Non-Rural,,,,
,STRIDE CHC – East Colfax,9801 E Colfax Ave Ste 200,Aurora,CO,80010-2155,Adams,Non-Rural,,,,
,STRIDE CHC – Englewood,3515 S Delaware St,Englewood,CO,80110-3529,Arapahoe,Non-Rural,,,,
,STRIDE CHC – Golden High School,701 24th St,Golden,CO,80401-2379,Jefferson,Non-Rural,,,,
,STRIDE CHC – Hampden and Chambers,15132 E Hampden Ave Ste G,Aurora,CO,80014-5038,Arapahoe,Non-Rural,,,,
,STRIDE CHC – Helena,15501 E 13th Ave,Aurora,CO,80011-7203,Arapahoe,Non-Rural,,,,
,STRIDE CHC – Independence at Jefferson Center,4851 Independence St,Wheat Ridge,CO,80033-6715,Jefferson,Non-Rural,,,,
,STRIDE CHC – Jefferson Plaza Family Health at Jefferson Center,3595 S Teller St,Lakewood,CO,80235-2014,Jefferson,Non-Rural,,,,
,STRIDE CHC – Parker,17866 Cottonwood Dr,Parker,CO,80134-3924,Douglas,Non-Rural,,,,
,STRIDE CHC – Peoria,3292 Peoria St,Aurora,CO,80010-1517,Adams,Non-Rural,,,,
,STRIDE CHC – Potomac Street,750 Potomac St Ste L23,Aurora,CO,80011-6742,Arapahoe,Non-Rural,,,,
,STRIDE CHC – Rose Stein Elementary School,80 S Teller St,Lakewood,CO,80226-2044,Jefferson,Non-Rural,,,,
,STRIDE CHC – Union Square Health Plaza at Jefferson Center,12055 W 2nd Pl,Lakewood,CO,80228-1506,Jefferson,Non-Rural,,,,
,STRIDE CHC – West Arvada,11005 Ralston Rd Ste 100G,Arvada,CO,80004-4551,Jefferson,Non-Rural,,,,
,STRIDE CHC – Wheat Ridge,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,Jefferson,Non-Rural,,,,
Primary Care,1089990886,"VALLEY WIDE HEALTH SYSTEMS, INC.",Federally Qualified Health Center,Colorado,"Alamosa County, CO",0,22,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Alamosa Family Medical Center, VWHS Pharmacy, or Anti-Coagulation Clinic",1710 1st St,Alamosa,CO,81101-2302,Alamosa,Rural,,,,
,Center Dental Clinic,220 S Worth St,Center,CO,81125,Saguache,Rural,,,,
,Cesar E. Chavez Medical Center,186 Hurt St,Center,CO,81125-9002,Saguache,Rural,,,,
,Convenient Care Community Clinic,1131 Main St,Alamosa,CO,81101-2446,Alamosa,Rural,,,,
