data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1109991011,"Westside Family Healthcare, Inc.",Federally Qualified Health Center,Delaware,"New Castle County, DE",0,20,Designated,Non-Rural,11/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Westside Family Healthcare - Administration Office,300 Water St Ste 200,Wilmington,DE,19801-5043,New Castle,Non-Rural,,,,
,Westside Family Healthcare - Ancillary Administration Office,13 Reads Way Ste 102,New Castle,DE,19720-1609,New Castle,Non-Rural,,,,
,Westside Family Healthcare - Bear / New Castle,404 Foxhunt Dr,Bear,DE,19701-2538,New Castle,Non-Rural,,,,
,Westside Family Healthcare - Dover,1020 Forrest Ave Ste 1,Dover,DE,19904-2799,Kent,Non-Rural,,,,
,Westside Family Healthcare - Mobile Health Unit #1,640 Lafferty Ln,Dover,DE,19901-7242,Kent,Non-Rural,,,,
,Westside Family Healthcare - Newark,27 Marrows Rd,Newark,DE,19713-3701,New Castle,Non-Rural,,,,
,Westside Family Healthcare - Northeast,908 E 16th St Ste B,Wilmington,DE,19802-5145,New Castle,Non-Rural,,,,
,Westside Family Healthcare - Wilmington,1802 W 4th St,Wilmington,DE,19805-3420,New Castle,Non-Rural,,,,
Primary Care,1109991013,"La Red Health Center, Inc.",Federally Qualified Health Center,Delaware,"Sussex County, DE",0,19,Designated,Rural,02/28/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHEER Senior Center Long Neck,Long Neck Rd,Millsboro,DE,19966,Sussex,Rural,,,,
,CHEER Senior Center Ocean View,30637 Cedar Neck Rd,Ocean View,DE,19970-4100,Sussex,Rural,,,,
,La Red Health Center Main Campus,21444 Carmean Way,Georgetown,DE,19947-4572,Sussex,Rural,,,,
,Northern Sussex Community Health Center,21 W Clarke Ave Ste 1001,Milford,DE,19963-1840,Sussex,Rural,,,,
,Sussex Tech School Based Wellness Center,17099 County Seat Hwy,Georgetown,DE,19947-4865,Sussex,Non-Rural,,,,
,Western Sussex Community Health Center,300 High St,Seaford,DE,19973-3940,Sussex,Non-Rural,,,,
Primary Care,1109991010,Southbridge Medical Advisory Council Inc,Federally Qualified Health Center,Delaware,"New Castle County, DE",0,20,Designated,Non-Rural,11/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HENRIETTA JOHNSON MEDICAL CENTER,601 New Castle Ave,Wilmington,DE,19801-5821,New Castle,Non-Rural,,,,
,Henrietta Johnson Medical Center @ Eastside,600 N Lombard St,Wilmington,DE,19801-4429,New Castle,Non-Rural,,,,
,Henrietta Johnson Medical Center at Claymont,2722 Philadelphia Pike,Claymont,DE,19703-2568,New Castle,Non-Rural,,,,
Primary Care,1103090629,Primary Care-Vaughn Correctional Facility,Correctional Facility,Delaware,"New Castle County, DE",0.35,3,Designated,Non-Rural,03/14/2017,03/14/2017
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Primary Care-Vaughn Correctional Facility,1181 Paddock Rd,Smyrna,DE,19977-9679,New Castle,Non-Rural,,,,
Primary Care,1102334593,CF-Sussex Correctional Institution,Correctional Facility,Delaware,"Sussex County, DE",2.03,6,Designated,Rural,05/01/2017,05/01/2017
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF-Sussex Correctional Institution,23203 Dupont Blvd,Georgetown,DE,19947-2664,Sussex,Rural,,,,
Primary Care,1101338031,Low Income - Sussex County,Low Income Population HPSA,Delaware,"Sussex County, DE",21.79,16,Designated,Partially Rural,11/06/2012,10/28/2017
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Delaware,Sussex County,Sussex,Single County,10005,Partially Rural,,,,,
Primary Care,1105587710,Low Income - Kent County,Low Income Population HPSA,Delaware,"Kent County, DE",17.66,16,Designated,Partially Rural,11/02/2012,10/28/2017
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Delaware,Kent County,Kent,Single County,10001,Partially Rural,,,,,
Primary Care,1105072106,Wilmington - Southbridge,Geographic HPSA,Delaware,"New Castle County, DE",2.51,7,Designated,Non-Rural,05/22/1978,10/28/2017
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Delaware,New Castle County,149.08,Census Tract,10003014908,Non-Rural,,,,,
,Delaware,New Castle County,149.09,Census Tract,10003014909,Non-Rural,,,,,
,Delaware,New Castle County,150,Census Tract,10003015000,Non-Rural,,,,,
,Delaware,New Castle County,151,Census Tract,10003015100,Non-Rural,,,,,
,Delaware,New Castle County,152,Census Tract,10003015200,Non-Rural,,,,,
,Delaware,New Castle County,154,Census Tract,10003015400,Non-Rural,,,,,
,Delaware,New Castle County,155.02,Census Tract,10003015502,Non-Rural,,,,,
,Delaware,New Castle County,156,Census Tract,10003015600,Non-Rural,,,,,
,Delaware,New Castle County,158.02,Census Tract,10003015802,Non-Rural,,,,,
,Delaware,New Castle County,159,Census Tract,10003015900,Non-Rural,,,,,
,Delaware,New Castle County,160,Census Tract,10003016000,Non-Rural,,,,,
,Delaware,New Castle County,161,Census Tract,10003016100,Non-Rural,,,,,
,Delaware,New Castle County,162,Census Tract,10003016200,Non-Rural,,,,,
,Delaware,New Castle County,163.02,Census Tract,10003016302,Non-Rural,,,,,
,Delaware,New Castle County,163.05,Census Tract,10003016305,Non-Rural,,,,,
,Delaware,New Castle County,164.04,Census Tract,10003016404,Non-Rural,,,,,
,Delaware,New Castle County,19.02,Census Tract,10003001902,Non-Rural,,,,,
,Delaware,New Castle County,9901,Census Tract,10003990100,Not Applicable,,,,,
