data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1166673507,Idaho Correctional Institution of Orofino,Correctional Facility,Idaho,"Clearwater County, ID",0.4,6,Designated,Rural,06/25/2013,12/10/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Idaho Correctional Institution of Orofino,381 Hospital Dr,Orofino,ID,83544-9034,Clearwater,Rural,,,,
Primary Care,1169991671,"BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Idaho,"Boundary County, ID",0,15,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BOUNDARY REGIONAL CHC,6615 Comanche St,Bonners Ferry,ID,83805-7523,Boundary,Rural,,,,
,KHS Corporate Office,301 Cedar St,Sandpoint,ID,83864-1425,Bonner,Rural,,,,
,KHS Ponderay,30410 Highway 200,Ponderay,ID,83852-9601,Bonner,Rural,,,,
,KHS Priest River,6509 Highway 2 Ste 101,Priest River,ID,83856-6609,Bonner,Rural,,,,
,Sandpoint Pediatrics - Kaniksu Health Services,420 N Second Ave,Sandpoint,ID,83864-1565,Bonner,Rural,,,,
Primary Care,11699916A1,Family Medicine Residency Of Idaho,Federally Qualified Health Center,Idaho,"Ada County, ID",0,14,Designated,Non-Rural,06/14/2007,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Family Medicine Health Center - Emerald,6565 W Emerald St,Boise,ID,83704-8737,Ada,Non-Rural,,,,
,Family Medicine Health Center – Idaho Street,325 W Idaho St,Boise,ID,83702-6040,Ada,Non-Rural,,,,
,Family Medicine Health Center – Nampa South,215 E Hawaii Ave,Nampa,ID,83686-6011,Canyon,Non-Rural,,,,
,Family Medicine Health Center-Kuna,708 E Wythe Creek Ct Ste 103,Kuna,ID,83634-5005,Ada,Non-Rural,,,,
,Family Medicine Health Center-Meridian,2275 S Eagle Rd Ste 120,Meridian,ID,83642-2620,Ada,Non-Rural,,,,
,Family Medicine Health Center-Meridian Schools Clinic,925 W 1st St,Meridian,ID,83642-2274,Ada,Non-Rural,,,,
,Family Medicine Health Center-Raymond,777 N Raymond St,Boise,ID,83704-9251,Ada,Non-Rural,,,,
,"Temporary Site - Family Medicine Health Center, Respite Site-Cottonwood Suites",3031 W Main St Rm 1-106,Boise,ID,83702-2048,Ada,Non-Rural,,,,
,"Temporary Site-Family Medicine Health Center, Mobile Van",777 N Raymond St,Boise,ID,83704-9251,Ada,Non-Rural,,,,
Primary Care,153999530A,COMMUNITY HEALTH ASSOCIATION OF SPOKANE,Federally Qualified Health Center,Washington,"Spokane County, WA",0,19,Designated,Non-Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHAS Administrative Offices,203 N Washington St Ste 300,Spokane,WA,99201-0254,Spokane,Non-Rural,,,,
,CHAS Health Admin Iron Bridge,611 N Iron Bridge Way,Spokane,WA,99202-4932,Spokane,Non-Rural,,,,
,CHAS Health at Rogers High School,1622 E Wellesley Ave,Spokane,WA,99207-4261,Spokane,Non-Rural,,,,
,CHAS Health Family Dental,203 E Dalke Ave,Spokane,WA,99208-8112,Spokane,Non-Rural,,,,
,Cheney Health Center,1720 2nd St,Cheney,WA,99004-1910,Spokane,Non-Rural,,,,
,Denny Murphy Clinic,1001 W 2nd Ave,Spokane,WA,99201-4503,Spokane,Non-Rural,,,,
,Latah Community Health,803 S Main St Ste 120,Moscow,ID,83843-2695,Latah,Rural,,,,
,Lewis &amp; Clark Health Center,1203 Idaho St,Lewiston,ID,83501-1940,Nez Perce,Non-Rural,,,,
,Lewis and Clark Dental Clinic,844 6th St,Clarkston,WA,99403-2013,Asotin,Non-Rural,,,,
,Maple Street Clinic,3919 N Maple St,Spokane,WA,99205-1349,Spokane,Non-Rural,,,,
,Market Street Clinic,5921 N Market St,Spokane,WA,99208-2484,Spokane,Non-Rural,,,,
,North Central Clinic,914 W Carlisle Ave,Spokane,WA,99205-3309,Spokane,Non-Rural,,,,
,North County Clinic,401 S Main St,Deer Park,WA,99006-8238,Spokane,Non-Rural,,,,
,Perry Street Clinic,817 S Perry St Unit B,Spokane,WA,99202-3443,Spokane,Non-Rural,,,,
,Southgate Clinic,5620 S Regal St Ste 11,Spokane,WA,99223-7957,Spokane,Non-Rural,,,,
,Spokane Urgent Care-North,5901 N Lidgerwood St Ste 126,Spokane,WA,99208-1122,Spokane,Non-Rural,,,,
,Spokane Urgent Care-Valley,1502 N Vercler Rd,Spokane Valley,WA,99216-1078,Spokane,Non-Rural,,,,
,Valley Clinic,15812 E Indiana Ave,Spokane Valley,WA,99216-1875,Spokane,Non-Rural,,,,
Primary Care,11699916BE,SYRINGA PRIMARY CARE CLINIC,Rural Health Clinic,Idaho,"Idaho County, ID",0,14,Designated,Rural,11/13/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SYRINGA PRIMARY CARE CLINIC,722 W North St,Grangeville,ID,83530-1350,Idaho,Rural,,,,
Primary Care,1169991662,Health West Inc,Federally Qualified Health Center,Idaho,"Bannock County, ID",0,13,Designated,Non-Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HEALTH WEST - ABERDEEN CHC,330 N Main St,Aberdeen,ID,83210-4928,Bingham,Rural,,,,
,HEALTH WEST - ADMINISTRATION OFFICES,500 S 11th Ave,Pocatello,ID,83201-4835,Bannock,Non-Rural,,,,
,HEALTH WEST - AMERICAN FALLS  CHC,823 Reed St,American Falls,ID,83211-1336,Power,Rural,,,,
