data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1171368110,LI-Robbins/Dixmoor/Harvey/Phoenix,Low Income Population HPSA,Illinois,"Cook County, IL",10.54,16,Designated,Non-Rural,06/07/2011,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Illinois,Cook County,8212,Census Tract,17031821200,Non-Rural,,,,,
,Illinois,Cook County,8213,Census Tract,17031821300,Non-Rural,,,,,
,Illinois,Cook County,8233.02,Census Tract,17031823302,Non-Rural,,,,,
,Illinois,Cook County,8233.04,Census Tract,17031823304,Non-Rural,,,,,
,Illinois,Cook County,8234,Census Tract,17031823400,Non-Rural,,,,,
,Illinois,Cook County,8235,Census Tract,17031823500,Non-Rural,,,,,
,Illinois,Cook County,8236.03,Census Tract,17031823603,Non-Rural,,,,,
,Illinois,Cook County,8243,Census Tract,17031824300,Non-Rural,,,,,
,Illinois,Cook County,8244,Census Tract,17031824400,Non-Rural,,,,,
,Illinois,Cook County,8247.01,Census Tract,17031824701,Non-Rural,,,,,
,Illinois,Cook County,8247.02,Census Tract,17031824702,Non-Rural,,,,,
,Illinois,Cook County,8248,Census Tract,17031824800,Non-Rural,,,,,
,Illinois,Cook County,8249,Census Tract,17031824900,Non-Rural,,,,,
,Illinois,Cook County,8256,Census Tract,17031825600,Non-Rural,,,,,
,Illinois,Cook County,8267,Census Tract,17031826700,Non-Rural,,,,,
,Illinois,Cook County,8268,Census Tract,17031826800,Non-Rural,,,,,
,Illinois,Cook County,8269.01,Census Tract,17031826901,Non-Rural,,,,,
,Illinois,Cook County,8269.02,Census Tract,17031826902,Non-Rural,,,,,
,Illinois,Cook County,8270,Census Tract,17031827000,Non-Rural,,,,,
,Illinois,Cook County,8271,Census Tract,17031827100,Non-Rural,,,,,
,Illinois,Cook County,8272,Census Tract,17031827200,Non-Rural,,,,,
,Illinois,Cook County,8273,Census Tract,17031827300,Non-Rural,,,,,
,Illinois,Cook County,8274,Census Tract,17031827400,Non-Rural,,,,,
,Illinois,Cook County,8275,Census Tract,17031827500,Non-Rural,,,,,
,Illinois,Cook County,8276,Census Tract,17031827600,Non-Rural,,,,,
,Illinois,Cook County,8277,Census Tract,17031827700,Non-Rural,,,,,
Primary Care,1178942851,LI- Dalton/South Holland,Low Income Population HPSA,Illinois,"Cook County, IL",7.07,17,Designated,Non-Rural,10/12/2012,11/15/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Illinois,Cook County,8263.01,Census Tract,17031826301,Non-Rural,,,,,
,Illinois,Cook County,8263.03,Census Tract,17031826303,Non-Rural,,,,,
,Illinois,Cook County,8263.04,Census Tract,17031826304,Non-Rural,,,,,
,Illinois,Cook County,8264.01,Census Tract,17031826401,Non-Rural,,,,,
,Illinois,Cook County,8264.02,Census Tract,17031826402,Non-Rural,,,,,
,Illinois,Cook County,8265,Census Tract,17031826500,Non-Rural,,,,,
,Illinois,Cook County,8266,Census Tract,17031826600,Non-Rural,,,,,
,Illinois,Cook County,8278.01,Census Tract,17031827801,Non-Rural,,,,,
,Illinois,Cook County,8278.02,Census Tract,17031827802,Non-Rural,,,,,
,Illinois,Cook County,8278.04,Census Tract,17031827804,Non-Rural,,,,,
,Illinois,Cook County,8278.05,Census Tract,17031827805,Non-Rural,,,,,
,Illinois,Cook County,8279.01,Census Tract,17031827901,Non-Rural,,,,,
,Illinois,Cook County,8279.02,Census Tract,17031827902,Non-Rural,,,,,
,Illinois,Cook County,8280,Census Tract,17031828000,Non-Rural,,,,,
,Illinois,Cook County,8281,Census Tract,17031828100,Non-Rural,,,,,
,Illinois,Cook County,8282.01,Census Tract,17031828201,Non-Rural,,,,,
,Illinois,Cook County,8282.02,Census Tract,17031828202,Non-Rural,,,,,
,Illinois,Cook County,8283,Census Tract,17031828300,Non-Rural,,,,,
Primary Care,1177321447,LI- Union County,Low Income Population HPSA,Illinois,"Union County, IL",1.56,16,Designated,Rural,09/17/2001,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Illinois,Union County,Union,Single County,17181,Rural,,,,,
Primary Care,1175941462,LI-East Side/Hegewisch Service Area,Low Income Population HPSA,Illinois,"Cook County, IL",3.42,17,Designated,Non-Rural,07/28/2008,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Illinois,Cook County,5201,Census Tract,17031520100,Non-Rural,,,,,
,Illinois,Cook County,5202,Census Tract,17031520200,Non-Rural,,,,,
,Illinois,Cook County,5203,Census Tract,17031520300,Non-Rural,,,,,
,Illinois,Cook County,5204,Census Tract,17031520400,Non-Rural,,,,,
,Illinois,Cook County,5205,Census Tract,17031520500,Non-Rural,,,,,
,Illinois,Cook County,5206,Census Tract,17031520600,Non-Rural,,,,,
,Illinois,Cook County,5501,Census Tract,17031550100,Non-Rural,,,,,
,Illinois,Cook County,5502,Census Tract,17031550200,Non-Rural,,,,,
Primary Care,1178838489,LI-North Lawndale/Garfield Park,Low Income Population HPSA,Illinois,"Cook County, IL",12.38,20,Designated,Non-Rural,03/30/2007,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Illinois,Cook County,2601,Census Tract,17031260100,Non-Rural,,,,,
,Illinois,Cook County,2602,Census Tract,17031260200,Non-Rural,,,,,
,Illinois,Cook County,2603,Census Tract,17031260300,Non-Rural,,,,,
,Illinois,Cook County,2604,Census Tract,17031260400,Non-Rural,,,,,
,Illinois,Cook County,2605,Census Tract,17031260500,Non-Rural,,,,,
,Illinois,Cook County,2606,Census Tract,17031260600,Non-Rural,,,,,
,Illinois,Cook County,2607,Census Tract,17031260700,Non-Rural,,,,,
