data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1205819701,LI-Smith County,Low Income Population HPSA,Kansas,"Smith County, KS",0.06,7,Designated,Rural,01/30/2019,01/30/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kansas,Smith County,Smith,Single County,20183,Rural,,,,,
Primary Care,1203141422,LI-Anderson County,Low Income Population HPSA,Kansas,"Anderson County, KS",0.667,14,Designated,Rural,10/25/2001,06/18/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kansas,Anderson County,Anderson,Single County,20003,Rural,,,,,
Primary Care,1209682591,LI-Bourbon County,Low Income Population HPSA,Kansas,"Bourbon County, KS",1.09,15,Designated,Rural,12/27/2018,05/16/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kansas,Bourbon County,Bourbon,Single County,20011,Rural,,,,,
Primary Care,1207292049,LI-Cowley County,Low Income Population HPSA,Kansas,"Cowley County, KS",2.1134,15,Designated,Rural,10/02/2019,10/02/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Kansas,Cowley County,Cowley,Single County,20035,Rural,,,,,
Primary Care,1201322860,LABETTE HEALTH INDEPENDENCE CLINIC,Rural Health Clinic,Kansas,"Montgomery County, KS",0,14,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,LABETTE HEALTH INDEPENDENCE CLINIC,510 Peter Pan Rd Ste B-1,Independence,KS,67301-7301,Montgomery,Rural,,,,
Primary Care,1206472658,MINNEOLA COMMUNITY CLINIC,Rural Health Clinic,Kansas,"Clark County, KS",0,10,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MINNEOLA COMMUNITY CLINIC,PO BOX 127,Minneola,KS,67865-0127,Clark,Rural,,,,
Primary Care,1205307326,WALLACE CO FAMILY PRACTICE CLINIC,Rural Health Clinic,Kansas,"Wallace County, KS",0,11,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WALLACE CO FAMILY PRACTICE CLINIC,504 E 6th,Sharon Springs,KS,67758-9707,Wallace,Rural,,,,
Primary Care,12099920HB,MERCY CLINIC - COLUMBUS FAMILY MEDICINE,Rural Health Clinic,Kansas,"Cherokee County, KS",0,15,Designated,Rural,10/18/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MERCY CLINIC - COLUMBUS FAMILY MEDICINE,101 W Sycamore St,Columbus,KS,66725-1276,Cherokee,Rural,,,,
Primary Care,1208616955,CLARA BARTON RURAL HEALTH CLINIC,Rural Health Clinic,Kansas,"Barton County, KS",0,9,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CLARA BARTON RURAL HEALTH CLINIC,252 W 9th St,Hoisington,KS,67544-1725,Barton,Rural,,,,
Primary Care,12099920JG,NORTON MEDICAL CLINIC,Rural Health Clinic,Kansas,"Norton County, KS",0,13,Designated,Rural,12/27/2018,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NORTON MEDICAL CLINIC,807 N State St,Norton,KS,67654-1403,Norton,Rural,,,,
Primary Care,1209992082,Konza Prairie Community Health Center Inc,Federally Qualified Health Center,Kansas,"Geary County, KS",0,18,Designated,Rural,10/26/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,KONZA PRAIRIE COMMUNITY HEALTH CENTER,361 Grant Ave,Junction City,KS,66441-4201,Geary,Rural,,,,
,Konza Prairie Community Health Center Riley County Manhattan Clinic,2030 Tecumseh Rd,Manhattan,KS,66502-3512,Riley,Non-Rural,,,,
,Konza Prairie School Based Health Center,900 N Eisenhower Dr,Junction City,KS,66441-2018,Geary,Rural,,,,
Primary Care,12099920JC,LANE COUNTY MEDICAL CLINIC,Rural Health Clinic,Kansas,"Lane County, KS",0,13,Designated,Rural,12/29/2017,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,LANE COUNTY MEDICAL CLINIC,444 W Long St,Dighton,KS,67839,Lane,Rural,,,,
Primary Care,12099920G4,HealthCore Clinic Inc,Federally Qualified Health Center,Kansas,"Sedgwick County, KS",0,19,Designated,Non-Rural,03/01/2009,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Center for Health and Wellness, Inc.",2707 E 21st St N,Wichita,KS,67214-2249,Sedgwick,Non-Rural,,,,
Primary Care,1202201898,CEDAR VALE RURAL HEALTH CLINIC,Rural Health Clinic,Kansas,"Chautauqua County, KS",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CEDAR VALE RURAL HEALTH CLINIC,508 Washington St,Cedar Vale,KS,67024,Chautauqua,Rural,,,,
Primary Care,1209992083,"FLINT HILLS COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Kansas,"Lyon County, KS",0,19,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Flint Hills Community Health Center, INC.",420 W 15th Ave,Emporia,KS,66801-5367,Lyon,Rural,,,,
,"Flint Hills Community Heatlh Center, Inc",1602 N Elm St,Eureka,KS,67045-1090,Greenwood,Rural,,,,
Primary Care,1208706870,RAWLINS CLINIC/ATWOOD,Rural Health Clinic,Kansas,"Rawlins County, KS",0,13,Designated,Rural,08/18/2019,08/18/2019
