data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1243913784,FCI-Cumberland,Correctional Facility,Maryland,"Allegany County, MD",0.98,12,Designated,Non-Rural,02/26/2019,02/26/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Cumberland,14601 Burbridge Rd SE,Cumberland,MD,21502-8724,Allegany,Non-Rural,,,,
Primary Care,1249992469,"Chase Brexton Health Services, Inc",Federally Qualified Health Center,Maryland,"Baltimore City, MD",0,20,Designated,Non-Rural,01/09/2007,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Chase Brexton Health Care Anne Arundel Center,200 Hospital Dr,Glen Burnie,MD,21061-5884,Anne Arundel,Non-Rural,,,,
,CHASE BREXTON HEALTH SERVICES,5500 Knoll North Dr Ste 370,Columbia,MD,21045-2393,Howard,Non-Rural,,,,
,"Chase Brexton Health Services, Inc.",3506 Brenbrook Dr,Randallstown,MD,21133-4902,Baltimore,Non-Rural,,,,
,"Chase Brexton Health Services, Inc.",1111 N Charles St,Baltimore,MD,21201-5505,Baltimore City,Non-Rural,,,,
,"Chase Brexton Health Services, Inc.",8221 Teal Dr,Easton,MD,21601-7227,Talbot,Rural,,,,
,Howard County Health Department - WIC - Dental,8930 Stanford Blvd,Columbia,MD,21045-5805,Howard,Non-Rural,,,,
,"Way Station, Inc.",9030 State Route 108 Ste A,Columbia,MD,21045-1990,Howard,Non-Rural,,,,
Primary Care,1249992464,"Total Health Care, Inc.",Federally Qualified Health Center,Maryland,"Baltimore City, MD",0,21,Designated,Non-Rural,11/25/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Chase Brexton Health Care at Anne Arundel County,200 Hospital Dr Ste 300,Glen Burnie,MD,21061-5884,Anne Arundel,Non-Rural,,,,
,Division Health Center,1501 Division St,Baltimore,MD,21217-3121,Baltimore City,Non-Rural,,,,
,Family Health Centers of Baltimore,3540 S Hanover St,Baltimore,MD,21225-1772,Baltimore City,Non-Rural,,,,
,Kirk Health Center,2400 Kirk Ave,Baltimore,MD,21218-5507,Baltimore City,Non-Rural,,,,
,Men&#39;s Health Center,1515 W North Ave,Baltimore,MD,21217-1735,Baltimore City,Non-Rural,,,,
,Mondawmin Mall Health Center,2401 Liberty Heights Ave Ste 111-113,Baltimore,MD,21215-8019,Baltimore City,Non-Rural,,,,
,Mt. Royal Health Center,922 W North Ave,Baltimore,MD,21217-3940,Baltimore City,Non-Rural,,,,
,Odenton Health Center,1215 Annapolis Rd,Odenton,MD,21113-1344,Anne Arundel,Non-Rural,,,,
,SARATOGA HEALTH CENTER,1501 W Saratoga St,Baltimore,MD,21223-1749,Baltimore City,Non-Rural,,,,
,Total Health Care at Open Gates Health Center,1111 Washington Blvd,Baltimore,MD,21230-1824,Baltimore City,Non-Rural,,,,
,Westside Health Center,2449 Frederick Ave,Baltimore,MD,21223-2856,Baltimore City,Non-Rural,,,,
Primary Care,1249992477,Western Maryland Health Care Corporation,Federally Qualified Health Center,Maryland,"Garrett County, MD",0,14,Designated,Rural,02/28/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Mountain Laurel Medical Center,1027 Memorial Dr,Oakland,MD,21550-4343,Garrett,Rural,,,,
,Mountain Laurel Medical Center Grantsville,104 Parkview Dr,Grantsville,MD,21536-1086,Garrett,Rural,,,,
,Mountain Laurel Medical Center McCoole,22221 Westernport Rd SW,Westernport,MD,21562-2206,Allegany,Non-Rural,,,,
,Mountain Laurel Medical Center Support Staff Office,2501 Deep Creek Dr,Mc Henry,MD,21541-1713,Garrett,Rural,,,,
Primary Care,1248804085,"Community Clinic, Inc., The",Federally Qualified Health Center,Maryland,"Montgomery County, MD",0,17,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CCI Gaithersburg Dental,200 Girard St Ste 206,Gaithersburg,MD,20877-3490,Montgomery,Non-Rural,,,,
,CCI-Gaithersburg,220 Girard St Ste 100,Gaithersburg,MD,20877-3467,Montgomery,Non-Rural,,,,
,CCI-Greenbelt,9220 Springhill Ln,Greenbelt,MD,20770-1203,Prince George's,Non-Rural,,,,
,CCI-Greenway,7474 Greenway Center Dr Ste 300,Greenbelt,MD,20770-3504,Prince George's,Non-Rural,,,,
,CCI-Kemp Mill,1398 Lamberton Dr,Silver Spring,MD,20902-3414,Montgomery,Non-Rural,,,,
,CCI-Rockville,2 Taft Ct,Rockville,MD,20850-1390,Montgomery,Non-Rural,,,,
,CCI-Silver Spring,8630 Fenton St Ste 1200,Silver Spring,MD,20910-3808,Montgomery,Non-Rural,,,,
,CCI-Takoma Park,7676 New Hampshire Ave Ste 200,Takoma Park,MD,20912-7512,Montgomery,Non-Rural,,,,
,Community Clinic Inc,8630 Fenton St Ste 1204,Silver Spring,MD,20910-3808,Montgomery,Non-Rural,,,,
Primary Care,1249992460,GREATER BADEN MEDICAL SERVICE INC,Federally Qualified Health Center,Maryland,"Prince George's County, MD",0,20,Designated,Non-Rural,07/15/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Greater Baden Medical Services at Brandywine,7450 Albert Rd,Brandywine,MD,20613-3035,Prince George's,Non-Rural,,,,
,Greater Baden Medical Services at Capital Heights,1458 Addison Rd S,Capitol Heights,MD,20743-4413,Prince George's,Non-Rural,,,,
,Greater Baden Medical Services at Capitol Heights II,1442 Addison Rd S,Capitol Heights,MD,20743-4413,Prince George's,Non-Rural,,,,
,Greater Baden Medical Services at La Plata,6 Garrett Ave,La Plata,MD,20646-5959,Charles,Non-Rural,,,,
