data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1291518613,MCFP-Springfield,Correctional Facility,Missouri,"Greene County, MO",1.06,12,Designated,Non-Rural,02/22/2019,02/22/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MCFP-Springfield,1900 W Sunshine St,Springfield,MO,65807-2240,Greene,Non-Rural,,,,
Primary Care,1292139747,PHELPS HEALTH MEDICAL GROUP ROLLA,Rural Health Clinic,Missouri,"Phelps County, MO",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PHELPS HEALTH MEDICAL GROUP ROLLA,1050 W 10th St,Rolla,MO,65401-2905,Phelps,Rural,,,,
Primary Care,1294196043,COXHEALTH CENTER BRANSON,Rural Health Clinic,Missouri,"Taney County, MO",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COXHEALTH CENTER BRANSON,890 State Highway 248,Branson,MO,65616-3721,Taney,Rural,,,,
Primary Care,1299569864,PORTAGEVILLE COMMUNITY CARE CENTER,Rural Health Clinic,Missouri,"New Madrid County, MO",0,20,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PORTAGEVILLE COMMUNITY CARE CENTER,204 E 3rd St,Portageville,MO,63873-1402,New Madrid,Rural,,,,
Primary Care,1295976955,FERGUSON MEDICAL GROUP SCOTT CITY,Rural Health Clinic,Missouri,"Scott County, MO",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FERGUSON MEDICAL GROUP SCOTT CITY,100 E Outer Rd,Scott City,MO,63780-1229,Scott,Rural,,,,
Primary Care,1299137313,MERCY CLINIC FAMILY MEDICINE- BUFFALO,Rural Health Clinic,Missouri,"Dallas County, MO",0,17,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MERCY CLINIC FAMILY MEDICINE- BUFFALO,118 W Dallas St,Buffalo,MO,65622-8669,Dallas,Non-Rural,,,,
Primary Care,1292125331,COX FAMILY MEDICINE OF MONETT,Rural Health Clinic,Missouri,"Barry County, MO",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COX FAMILY MEDICINE OF MONETT,307 W Benton St,Monett,MO,65708-1665,Barry,Rural,,,,
Primary Care,1296741003,MALDEN MEDICAL CENTER,Rural Health Clinic,Missouri,"Dunklin County, MO",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MALDEN MEDICAL CENTER,806 N Douglass St,Malden,MO,63863-1512,Dunklin,Rural,,,,
Primary Care,1291228600,MERCY CLINIC FAMILY MEDICINE-WILLOW SPRINGS,Rural Health Clinic,Missouri,"Howell County, MO",0,18,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MERCY CLINIC FAMILY MEDICINE-WILLOW SPRINGS,1202 E Main St,Willow Springs,MO,65793-3588,Howell,Rural,,,,
Primary Care,1296994667,CMH EL DORADO SPRINGS MEDICAL CENTER,Rural Health Clinic,Missouri,"Cedar County, MO",0,18,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CMH EL DORADO SPRINGS MEDICAL CENTER,322 E Hospital Rd,El Dorado Spg,MO,64744-2022,Cedar,Rural,,,,
Primary Care,1293445938,BLOOMSDALE FAMILY HEALTH CENTER,Rural Health Clinic,Missouri,"Ste. Genevieve County, MO",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BLOOMSDALE FAMILY HEALTH CENTER,255 Boderman,Bloomsdale,MO,63627-9099,Ste. Genevieve,Rural,,,,
Primary Care,1293348857,FITZGIBBON FAMILY HEALTH,Rural Health Clinic,Missouri,"Howard County, MO",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FITZGIBBON FAMILY HEALTH,600 W Morrison St Ste 5,Fayette,MO,65248-1075,Howard,Rural,,,,
Primary Care,1292670451,TINSLEY MEDICAL CLINIC,Rural Health Clinic,Missouri,"Butler County, MO",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,TINSLEY MEDICAL CLINIC,2400 Lucy Lee Pkwy Ste A,Poplar Bluff,MO,63901-2427,Butler,Rural,,,,
Primary Care,1295470718,WOMEN'S CARE CENTER,Rural Health Clinic,Missouri,"Scott County, MO",0,19,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WOMEN'S CARE CENTER,1013 N Main St Ste 101,Sikeston,MO,63801-5043,Scott,Rural,,,,
Primary Care,1296862501,BUTTERFIELD PARK PEDIATRICS,Rural Health Clinic,Missouri,"Polk County, MO",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BUTTERFIELD PARK PEDIATRICS,1195 N Oakland Ave Ste 2,Bolivar,MO,65613-8025,Polk,Rural,,,,
Primary Care,12999929I0,PIKE COUNTY MEMORIAL HOSPITAL CLINICS,Rural Health Clinic,Missouri,"Pike County, MO",0,16,Designated,Rural,02/18/2015,08/18/2019
