data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1307853805,CF - Pine Hills Correctional Facility,Correctional Facility,Montana,"Custer County, MT",0.61,12,Designated,Rural,08/12/2019,08/12/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF - Pine Hills Correctional Facility,4 N Haynes Ave,Miles City,MT,59301-5600,Custer,Rural,,,,
Primary Care,1306097875,Mineral County,Geographic HPSA,Montana,"Mineral County, MT",1.19,17,Designated,Rural,06/14/2006,06/18/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Montana,Mineral County,Mineral,Single County,30061,Rural,,,,,
Primary Care,1303662550,Montana State Prison,Correctional Facility,Montana,"Powell County, MT",1.23,6,Designated,Rural,04/16/1986,07/10/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Montana State Prison,400 Conley Lake Rd,Deer Lodge,MT,59722-8708,Powell,Rural,,,,
Primary Care,1301223215,NORTHERN MONTANA FAMILY MEDICAL CENTER,Rural Health Clinic,Montana,"Hill County, MT",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,NORTHERN MONTANA FAMILY MEDICAL CENTER,1410 1st Ave,Havre,MT,59501-6207,Hill,Rural,,,,
Primary Care,130999309S,RUBY VALLEY MEDICAL CLINIC,Rural Health Clinic,Montana,"Madison County, MT",0,16,Designated,Rural,10/01/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,RUBY VALLEY MEDICAL CLINIC,321 Madison St,Sheridan,MT,59749-9636,Madison,Rural,,,,
Primary Care,130999309Y,"Sapphire Community Health, Inc.",Federally Qualified Health Center,Montana,"Ravalli County, MT",0,18,Designated,Rural,01/07/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Sapphire Community Health,316 N 3rd St,Hamilton,MT,59840-2480,Ravalli,Rural,,,,
Primary Care,13099930A1,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",Federally Qualified Health Center,Montana,"Cascade County, MT",0,14,Designated,Non-Rural,02/26/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Community Health Care Center @ CCHD,115 4th St S,Great Falls,MT,59401-3618,Cascade,Non-Rural,,,,
,Community Health Care Center Addictions Clinic,26 4th St N,Great Falls,MT,59401-3106,Cascade,Non-Rural,,,,
,Community Health Care Center Dental Clinic,202 2nd Ave S Ste 203,Great Falls,MT,59405-1831,Cascade,Non-Rural,,,,
,Community Health Care Center Inc,601 1st Ave N,Great Falls,MT,59401-2510,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC Belt,1 Church St,Belt,MT,59412-7532,Cascade,Rural,,,,
,Community Health Care Center SBHC Charles M. Russell High School,228 17th Ave NW,Great Falls,MT,59404-1807,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC East Middle School,4040 Central Ave,Great Falls,MT,59405-1638,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC Great Falls High School,1900 2nd Ave S,Great Falls,MT,59405-2704,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC GS,520 32nd St N,Great Falls,MT,59401-2127,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC Longfellow Elementary,2501 2nd Ave N,Great Falls,MT,59401-3332,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC Meadow Lark Elementary,2204 Fox Farm Rd,Great Falls,MT,59404-3531,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC North Middle School,2601 8th St NE,Great Falls,MT,59404-1604,Cascade,Non-Rural,,,,
,Community Health Care Center SBHC PGEC,2400 Central Ave Rm 118,Great Falls,MT,59401-3915,Cascade,Non-Rural,,,,
,"Community Health Care Center, Inc. Admin",611 Central Ave,Great Falls,MT,59401-3123,Cascade,Non-Rural,,,,
Primary Care,1301595861,PLAINS MEDICAL CLINIC,Rural Health Clinic,Montana,"Sanders County, MT",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PLAINS MEDICAL CLINIC,10 Kruger Rd,Plains,MT,59859-9271,Sanders,Rural,,,,
Primary Care,1307466493,PROVIDENCE ST JOSEPH MEDICAL CENTER POLSON,Rural Health Clinic,Montana,"Lake County, MT",0,16,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PROVIDENCE ST JOSEPH MEDICAL CENTER POLSON,6 13th Ave E,Polson,MT,59860-5315,Lake,Rural,,,,
Primary Care,1309518356,THOMPSON FALLS CLINIC,Rural Health Clinic,Montana,"Sanders County, MT",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,THOMPSON FALLS CLINIC,120 Pond St S,Thompson Falls,MT,59873,Sanders,Rural,,,,
Primary Care,1309993054,LINCOLN COUNTY COMMUNITY HEALTH CENTER,Federally Qualified Health Center,Montana,"Lincoln County, MT",0,18,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,LIBBY CLINIC,211 E 2nd St,Libby,MT,59923-2047,Lincoln,Rural,,,,
,Northwest Community Health Center,320 E 2nd St,Libby,MT,59923-2010,Lincoln,Rural,,,,
,Northwest Community Health Center - LIBBY MIDDLE HIGH SCHOOL,150 Education Way,Libby,MT,59923-2816,Lincoln,Rural,,,,
,Northwest Community Health Center - Troy,102 Sandalwood Court,Troy,MT,59935,Lincoln,Rural,,,,
