data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1319382751,Keith County,Geographic HPSA,Nebraska,"Keith County, NE",0.49,13,Designated,Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Nebraska,Keith County,Keith,Single County,31101,Rural,,,,,
Primary Care,1314719478,"NEBRASKA URBAN INDIAN HEALTH COALITION, INC","Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Nebraska,"Douglas County, NE",0,18,Designated,Non-Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"NEBRASKA URBAN INDIAN HEALTH COALITION, INC",2240 Landon Ct,Omaha,NE,68102-2414,Douglas,Non-Rural,,,,
Primary Care,13199931AG,FAMILY MEDICINE,Rural Health Clinic,Nebraska,"Richardson County, NE",0,13,Designated,Rural,08/31/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FAMILY MEDICINE,3307 Barada St,Falls City,NE,68355-2470,Richardson,Rural,,,,
Primary Care,13199931AW,WEEPING WATER MEDICAL CENTER,Rural Health Clinic,Nebraska,"Cass County, NE",0,11,Designated,Non-Rural,04/11/2011,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WEEPING WATER MEDICAL CENTER,204 N Randolph St,Weeping Water,NE,68463-4253,Cass,Non-Rural,,,,
Primary Care,13199931AK,SUPERIOR FAMILY MEDICAL CENTER,Rural Health Clinic,Nebraska,"Nuckolls County, NE",0,15,Designated,Rural,10/25/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SUPERIOR FAMILY MEDICAL CENTER,PO BOX 407,Superior,NE,68978-0407,Nuckolls,Rural,,,,
Primary Care,1319993193,GREATER SANDHILLS FAMILY HEALTHCARE PC,Rural Health Clinic,Nebraska,"Holt County, NE",0,4,Designated,Rural,08/05/2009,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GREATER SANDHILLS FAMILY HEALTHCARE PC,418 E 5th St,Atkinson,NE,68713-4885,Holt,Rural,,,,
Primary Care,13199931AJ,EDGAR MEDICAL CLINIC,Rural Health Clinic,Nebraska,"Clay County, NE",0,13,Designated,Rural,10/25/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,EDGAR MEDICAL CLINIC,315 N C St,Edgar,NE,68935-3194,Clay,Rural,,,,
Primary Care,1319993184,THAYER COUNTY HEALTH SERVICES HEBRON MEDICAL CLINI,Rural Health Clinic,Nebraska,"Thayer County, NE",0,13,Designated,Rural,06/16/2009,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,THAYER COUNTY HEALTH SERVICES HEBRON MEDICAL CLINI,120 Park Ave,Hebron,NE,68370-2019,Thayer,Rural,,,,
Primary Care,13199931B4,GORDON CLINIC,Rural Health Clinic,Nebraska,"Sheridan County, NE",0,18,Designated,Rural,06/20/2012,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GORDON CLINIC,807 N Ash St,Gordon,NE,69343-1132,Sheridan,Rural,,,,
Primary Care,13199931AM,PAWNEE COUNTY RURAL HEALTH CLINIC,Rural Health Clinic,Nebraska,"Pawnee County, NE",0,15,Designated,Rural,10/26/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,PAWNEE COUNTY RURAL HEALTH CLINIC,PO BOX 433,Pawnee City,NE,68420-0433,Pawnee,Rural,,,,
Primary Care,1319993156,CHIMNEY ROCK MEDICAL CENTER,Rural Health Clinic,Nebraska,"Morrill County, NE",0,8,Designated,Rural,04/06/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHIMNEY ROCK MEDICAL CENTER,320 Main St,Bayard,NE,69334-1500,Morrill,Rural,,,,
Primary Care,13199931A4,THE BEATRICE WOMEN'S AND CHILDREN'S CLINIC,Rural Health Clinic,Nebraska,"Gage County, NE",0,5,Designated,Rural,01/15/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,THE BEATRICE WOMEN'S AND CHILDREN'S CLINIC,4800 Hospital Pkwy Ste 202,Beatrice,NE,68310-6906,Gage,Rural,,,,
Primary Care,13199931AQ,GAGE COUNTY MEDICAL CLINIC,Rural Health Clinic,Nebraska,"Gage County, NE",0,5,Designated,Rural,10/26/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,GAGE COUNTY MEDICAL CLINIC,1101 N 10th St,Beatrice,NE,68310-2001,Gage,Rural,,,,
Primary Care,13199931AI,HUMBOLDT FAMILY MEDICINE,Rural Health Clinic,Nebraska,"Richardson County, NE",0,13,Designated,Rural,10/14/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HUMBOLDT FAMILY MEDICINE,1120 Grand Ave,Humboldt,NE,68376-6019,Richardson,Rural,,,,
Primary Care,1319993144,"Oneworld Community Health Centers, Inc.",Federally Qualified Health Center,Nebraska,"Douglas County, NE",0,14,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,OneWorld Bellevue,2207 Georgia Ave,Bellevue,NE,68005-4524,Sarpy,Non-Rural,,,,
,OneWorld Bryan High School Based Health Center,4700 Giles Rd,Omaha,NE,68157-2641,Sarpy,Non-Rural,,,,
,OneWorld Community Health Centers at ILC,4223 Center St,Omaha,NE,68105-2431,Douglas,Non-Rural,,,,
