data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1329993257,"NEVADA HEALTH CENTERS, INC.",Federally Qualified Health Center,Nevada,"Carson City, NV",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,AMARGOSA VALLEY MEDICAL CLINIC,1690 E Amargosa Farm Rd,Amargosa Valley,NV,89020-9735,Nye,Rural,,,,
,AUSTIN MEDICAL CLINIC,121 Main St,Austin,NV,89310-9995,Lander,Rural,,,,
,CAMBRIDGE FAMILY HLTH CTR,3900 Cambridge St Ste 102,Las Vegas,NV,89119-7440,Clark,Non-Rural,,,,
,Carlin Community Health Center,310 Memory Ln,Carlin,NV,89822-9902,Elko,Rural,,,,
,Eastern Family Medical and Dental Center,2212 S Eastern Ave,Las Vegas,NV,89104-4124,Clark,Non-Rural,,,,
,ELKO FAMILY MEDICAL & DENTAL CTR,762 14th St,Elko,NV,89801-3413,Elko,Rural,,,,
,Henderson Family Health Center,98 E Lake Mead Pkwy,Henderson,NV,89015-5540,Clark,Non-Rural,,,,
,Jackpot Community Health Center,950 Lady Luck Dr,Jackpot,NV,89825,Elko,Rural,,,,
,Las Vegas Administration Office,1799 Mount Mariah Dr,Las Vegas,NV,89106-1501,Clark,Non-Rural,,,,
,LAS VEGAS OUTREACH CLINIC,47 W Owens Ave,North Las Vegas,NV,89030-6865,Clark,Non-Rural,,,,
,Martin Luther King Health Center,1799 Mount Mariah Dr,Las Vegas,NV,89106-1501,Clark,Non-Rural,,,,
,MILES FOR SMILES,1802 N Carson St,Carson City,NV,89701-1265,Carson City,Non-Rural,,,,
,Nevada Children's Health Project,1799 Mount Mariah Dr,Las Vegas,NV,89106-1501,Clark,Non-Rural,,,,
,Nevada Health Centers - Bower School Based at Basic Academy,400 Palo Verde Dr,Henderson,NV,89015-6028,Clark,Non-Rural,,,,
,Nevada Health Centers at C.P. Squires,1312 E Tonopah Ave,North Las Vegas,NV,89030-7111,Clark,Non-Rural,,,,
,Nevada Health Centers at Enterprise,1700 Wheeler Peak Dr,Las Vegas,NV,89106-2150,Clark,Non-Rural,,,,
,Nevada Health Centers at Virginia City,175 Carson St,Virginia City,NV,89440,Storey,Non-Rural,,,,
,Nevada Health Centers Carson City School Based,618 W Musser St,Carson City,NV,89703-4931,Carson City,Non-Rural,,,,
,NEVADA HEALTH CTRS MAMMOVAN,1799 Mount Mariah Dr,Las Vegas,NV,89106-1501,Clark,Non-Rural,,,,
,North Las Vegas Family Health Center,2225 Civic Center Dr Ste 224,North Las Vegas,NV,89030-6332,Clark,Non-Rural,,,,
,Sierra Nevada Health Center & NVHC Administrative Offices,3325 Research Way,Carson City,NV,89706-7913,Carson City,Non-Rural,,,,
,WENDOVER COMMUNITY HEALTH CENTER,925 Wells Ave,West Wendover,NV,89883,Elko,Rural,,,,
Primary Care,132999329P,Hope Christian Health Center Corp,Federally Qualified Health Center,Nevada,"Clark County, NV",0,19,Designated,Non-Rural,08/01/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Hope Christian Health Center,4357 Corporate Center Dr Ste 450,North Las Vegas,NV,89030-0226,Clark,Non-Rural,,,,
,Hope Christian Health Center MLK,4040 N Martin L King Blvd Ste A,North Las Vegas,NV,89032-3205,Clark,Non-Rural,,,,
,Hope Christian Health Center MLK,4040 N Martin L King Blvd Ste B,North Las Vegas,NV,89032-3205,Clark,Non-Rural,,,,
Primary Care,13299932A3,Silver State Health Services,Federally Qualified Health Center,Nevada,"Clark County, NV",0,21,Designated,Non-Rural,05/25/2017,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Pahrump,1430 E Calvada Blvd Ste 100,Pahrump,NV,89048-5851,Nye,Rural,,,,
,Silver State Health Services,1909 S Jones Blvd,Las Vegas,NV,89146-1260,Clark,Non-Rural,,,,
,Silver State Health Services- Renaissance,2215 Renaissance Dr Ste C,Las Vegas,NV,89119-6729,Clark,Non-Rural,,,,
,Silver State Health Services- Renaissance,2255 Renaissance Dr Ste A,Las Vegas,NV,89119-6194,Clark,Non-Rural,,,,
Primary Care,1329993284,SOUTH LYON PHYSICIANS CLINIC,Rural Health Clinic,Nevada,"Lyon County, NV",0,17,Designated,Rural,01/19/2007,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SOUTH LYON PHYSICIANS CLINIC,311 Surprise Ave,Yerington,NV,89447-2565,Lyon,Rural,,,,
Primary Care,13299932A2,SILVER SPRINGS RURAL HEALTH CENTERS,Rural Health Clinic,Nevada,"Lyon County, NV",0,16,Designated,Rural,10/05/2016,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SILVER SPRINGS RURAL HEALTH CENTERS,3595 US Highway 50,Silver Springs,NV,89429-9613,Lyon,Rural,,,,
Primary Care,132999329N,SOUTH LYON MEDICAL CENTER-BARNETT CLINIC,Rural Health Clinic,Nevada,"Lyon County, NV",0,17,Designated,Rural,04/22/2015,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,SOUTH LYON MEDICAL CENTER-BARNETT CLINIC,213 S Whitacre St,Yerington,NV,89447-2561,Lyon,Rural,,,,
Primary Care,132999329K,MINDEN FAMILY MEDICINE AND COMPLETE CARE,Rural Health Clinic,Nevada,"Douglas County, NV",0,14,Designated,Rural,01/15/2013,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MINDEN FAMILY MEDICINE AND COMPLETE CARE,1649 Lucerne St,Minden,NV,89423-4369,Douglas,Rural,,,,
