data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1373931856,MI-Kannapolis,Other Population HPSA,North Carolina,"Cabarrus County, NC",2.14,17,Designated,Non-Rural,12/27/2018,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Cabarrus County,407.01,Census Tract,37025040701,Non-Rural,,,,,
,North Carolina,Cabarrus County,407.02,Census Tract,37025040702,Non-Rural,,,,,
,North Carolina,Cabarrus County,407.03,Census Tract,37025040703,Non-Rural,,,,,
,North Carolina,Cabarrus County,408,Census Tract,37025040800,Non-Rural,,,,,
,North Carolina,Cabarrus County,409,Census Tract,37025040900,Non-Rural,,,,,
,North Carolina,Cabarrus County,410,Census Tract,37025041000,Non-Rural,,,,,
,North Carolina,Cabarrus County,411,Census Tract,37025041100,Non-Rural,,,,,
,North Carolina,Cabarrus County,412,Census Tract,37025041200,Non-Rural,,,,,
,North Carolina,Cabarrus County,419.01,Census Tract,37025041901,Non-Rural,,,,,
,North Carolina,Cabarrus County,419.02,Census Tract,37025041902,Non-Rural,,,,,
,North Carolina,Cabarrus County,420,Census Tract,37025042000,Non-Rural,,,,,
,North Carolina,Cabarrus County,421.01,Census Tract,37025042101,Non-Rural,,,,,
,North Carolina,Cabarrus County,421.02,Census Tract,37025042102,Non-Rural,,,,,
,North Carolina,Cabarrus County,423,Census Tract,37025042300,Non-Rural,,,,,
,North Carolina,Cabarrus County,424.02,Census Tract,37025042402,Non-Rural,,,,,
,North Carolina,Cabarrus County,425.01,Census Tract,37025042501,Non-Rural,,,,,
,North Carolina,Cabarrus County,425.02,Census Tract,37025042502,Non-Rural,,,,,
,North Carolina,Cabarrus County,425.03,Census Tract,37025042503,Non-Rural,,,,,
,North Carolina,Cabarrus County,425.04,Census Tract,37025042504,Non-Rural,,,,,
,North Carolina,Cabarrus County,426.01,Census Tract,37025042601,Non-Rural,,,,,
,North Carolina,Cabarrus County,426.02,Census Tract,37025042602,Non-Rural,,,,,
Primary Care,1373572421,Anson County,High Needs Geographic HPSA,North Carolina,"Anson County, NC",5.02,17,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Anson County,Anson,Single County,37007,Rural,,,,,
Primary Care,1373180065,Caswell County,High Needs Geographic HPSA,North Carolina,"Caswell County, NC",3.84,15,Designated,Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Caswell County,Caswell,Single County,37033,Rural,,,,,
Primary Care,1376922976,Person County,Geographic HPSA,North Carolina,"Person County, NC",0.43,7,Designated,Partially Rural,12/31/2018,12/31/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Person County,Person,Single County,37145,Partially Rural,,,,,
Primary Care,1375392416,MI-Iredell County,Other Population HPSA,North Carolina,"Iredell County, NC",5.31,13,Designated,Non-Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Iredell County,Iredell,Single County,37097,Non-Rural,,,,,
Primary Care,1373342666,MI-Davidson County,Other Population HPSA,North Carolina,"Davidson County, NC",7.73,18,Designated,Partially Rural,04/23/2019,04/23/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Davidson County,Davidson,Single County,37057,Partially Rural,,,,,
Primary Care,1377216793,FCC-Butner,Correctional Facility,North Carolina,"Granville County, NC",3.16,12,Designated,Rural,02/13/2019,02/13/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Butner,2 Old 75 Hwy,Butner,NC,27509-1632,Granville,Rural,,,,
Primary Care,1379531898,LI-Chatham county,Low Income Population HPSA,North Carolina,"Chatham County, NC",2.5,12,Designated,Partially Rural,05/13/2019,05/13/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Chatham County,Chatham,Single County,37037,Partially Rural,,,,,
Primary Care,1379835729,MI-Vance County,Other Population HPSA,North Carolina,"Vance County, NC",0.71,19,Designated,Rural,10/02/2019,10/02/2019
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,North Carolina,Vance County,Vance,Single County,37181,Rural,,,,,
Primary Care,1379993799,"Kinston Community Health Center, Incorporated",Federally Qualified Health Center,North Carolina,"Lenoir County, NC",0,18,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,107 S Queen,107 S Queen St,Kinston,NC,28501-4933,Lenoir,Rural,,,,
,Banks Elementary School,2148 Falling Creek Rd,Kinston,NC,28504-9168,Lenoir,Rural,,,,
,Contentnea-Savannah School,3400 Ferrell Rd,Kinston,NC,28501-7136,Lenoir,Rural,,,,
,E.B. Frink Middle School,102 Martin Luther King Jr Dr,La Grange,NC,28551-1441,Lenoir,Rural,,,,
,"KINSTON COMMUNITY HEALTH CENTER, INC.",324 N Queen St,Kinston,NC,28501-4932,Lenoir,Rural,,,,
,L.C. Learning Academy,2529 Cedar Dell Ln Bldg,Kinston,NC,28504-9113,Lenoir,Rural,,,,
,LaGrange Elementary School,402 W Railroad St,La Grange,NC,28551-1640,Lenoir,Rural,,,,
,Moss Hill Elementary,6040 Hwy 55 W,Kinston,NC,28504-7433,Lenoir,Rural,,,,
,Northeast Elementary School,1002 E Highland Ave,Kinston,NC,28501-3114,Lenoir,Rural,,,,
,Northwest Elementary School,1701 Old Well Rd,Kinston,NC,28504-2600,Lenoir,Rural,,,,
