data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1404828035,Lexington Correctional Center ( Lark),Correctional Facility,Oklahoma,"Cleveland County, OK",0.9,3,Designated,Non-Rural,06/18/2012,10/26/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Lexington Correctional Center ( Lark),15151 State Highway 39,Lexington,OK,73051-6217,Cleveland,Non-Rural,,,,
Primary Care,1404765415,Joseph Harp Correctional Center,Correctional Facility,Oklahoma,"Cleveland County, OK",0.66,3,Designated,Non-Rural,02/03/2016,10/19/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Joseph Harp Correctional Center,16161 Moffat Rd,Lexington,OK,73051,Cleveland,Non-Rural,,,,
Primary Care,1401646349,Oklahoma State Penitentiary - McAlester,Correctional Facility,Oklahoma,"Pittsburg County, OK",0.02,3,Designated,Rural,05/30/1979,09/25/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Oklahoma State Penitentiary - McAlester,1301 N West St,Mcalester,OK,74501-2659,Pittsburg,Rural,,,,
Primary Care,1402993456,Dick Conner Correctional Center,Correctional Facility,Oklahoma,"Osage County, OK",0.46,3,Designated,Non-Rural,10/24/2011,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Dick Conner Correctional Center,129 Conner Rd,Hominy,OK,74035-2100,Osage,Non-Rural,,,,
Primary Care,1408779691,FAIRFAX RURAL HEALTH CLINIC,Rural Health Clinic,Oklahoma,"Osage County, OK",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FAIRFAX RURAL HEALTH CLINIC,40 Hospital Rd,Fairfax,OK,74637-5084,Osage,Rural,,,,
Primary Care,1409994094,STIGLER HEALTH & WELLNESS CENTER INC.,Federally Qualified Health Center,Oklahoma,"Haskell County, OK",0,19,Designated,Rural,09/30/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Mobile Dental Unit,1505 E Main St,Stigler,OK,74462-2913,Haskell,Rural,,,,
,"Stigler Health and Wellness Center,  Latimer County - Wilburton",802 Highway 2 N,Wilburton,OK,74578-3625,Latimer,Rural,,,,
,"STIGLER HEALTH AND WELLNESS CENTER, Inc., McIntosh County Clinic",111 W Forrest Ave Ste A,Eufaula,OK,74432-3205,McIntosh,Rural,,,,
,"Stigler Health and Wellness Center, Leflore County - POTEAU",204 Wall St,Poteau,OK,74953-4400,Le Flore,Rural,,,,
,"Stigler Health and Wellness Center, McIntosh County - CHECOTAH MED",212 W Spaulding St,Checotah,OK,74426-2452,McIntosh,Rural,,,,
,"Stigler Health and Wellness Center, Muskogee County - WARNER",806 Campbell Ave Ste A,Warner,OK,74469-5008,Muskogee,Rural,,,,
,"Stigler Health and Wellness Center, Sequoyah County - SALLISAW",1630 S Kerr Blvd,Sallisaw,OK,74955-7240,Sequoyah,Non-Rural,,,,
,"STIGLER HEALTH AND WELLNESS CENTER, The Oaks",628 E Creek Ave,Mcalester,OK,74501-6930,Pittsburg,Rural,,,,
,"Stigler, Haskell County",1505 E Main St,Stigler,OK,74462-2913,Haskell,Rural,,,,
Primary Care,1409994096,"FAIRFAX MEDICAL FACILITIES, INC.",Federally Qualified Health Center,Oklahoma,"Osage County, OK",0,19,Designated,Rural,09/30/2005,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,"Fairfax Medical Facilities, Inc. - Administration Office",160 N Main St,Fairfax,OK,74637-3021,Osage,Rural,,,,
,"Fairfax Medical Facilities, Inc. - Billing Office",301 N 2nd St,Fairfax,OK,74637-2012,Osage,Rural,,,,
,Hominy Family Health Center,119 W Main St,Hominy,OK,74035-1031,Osage,Non-Rural,,,,
,Newkirk Family Health Center,716 S Highway 77,Newkirk,OK,74647-7009,Kay,Rural,,,,
,ROBERT CLARK FAMILY HEALTH CENTER (DBA),212 N Main St,Fairfax,OK,74637-3023,Osage,Rural,,,,
Primary Care,1409994076,"NORTHEASTERN OKLAHOMA COMMUNITY HEALTH CENTERS, INC.",Federally Qualified Health Center,Oklahoma,"Cherokee County, OK",0,19,Designated,Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Hulbert Health Center,124 E Main St,Hulbert,OK,74441-8902,Cherokee,Rural,,,,
,NeoHealth Business Office,127 E Main St,Hulbert,OK,74441-8901,Cherokee,Rural,,,,
,NeoHealth Hulbert Pharmacy,131 E Main St,Hulbert,OK,74441-8901,Cherokee,Rural,,,,
,NeoHealth Medical Center,529 N Oak Ave,Tahlequah,OK,74464-2925,Cherokee,Rural,,,,
,NeoHealth Muskogee,1328 S York St,Muskogee,OK,74403-7650,Muskogee,Rural,,,,
,NeoHealth OB,1500 E Downing St Ste 208,Tahlequah,OK,74464-3234,Cherokee,Rural,,,,
,NeoHealth Pediatrics,1500 E Downing St Ste 102,Tahlequah,OK,74464-3354,Cherokee,Rural,,,,
,NeoHealth Salina,101 E Ferry St,Salina,OK,74365-2988,Mayes,Rural,,,,
,NeoHealth Tahlequah Pediatrics,1310 E Boone St,Tahlequah,OK,74464-3338,Cherokee,Rural,,,,
,Tahlequah ENT,1203 E Ross Byp,Tahlequah,OK,74464-4133,Cherokee,Rural,,,,
,Tahlequah Family Practice,1500 E Downing St Ste 101,Tahlequah,OK,74464-3354,Cherokee,Rural,,,,
,Tahlequah Medical Center,1500 E Downing St Ste 214,Tahlequah,OK,74464-3379,Cherokee,Rural,,,,
,Westville Family Medicine,761 Buffington Rd,Westville,OK,74965-6139,Adair,Rural,,,,
