data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1119991114,"Unity Health Care, Inc.",Federally Qualified Health Center,District of Columbia,"District of Columbia, DC",0,22,Designated,Non-Rural,11/21/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,801 East Building Shelter,2700 Martin Luther King Jr Ave SE,Washington,DC,20032-2601,District of Columbia,Non-Rural,,,,
,Anacostia Health Center,1500 Galen St SE,Washington,DC,20020-4913,District of Columbia,Non-Rural,,,,
,Brentwood Health Center,1251 Saratoga Ave NE # B,Washington,DC,20018-1025,District of Columbia,Non-Rural,,,,
,Cardozo Student Health Center,1200 Clifton St NW,Washington,DC,20009-5217,District of Columbia,Non-Rural,,,,
,CCNV Shelter,425 2nd St NW,Washington,DC,20001-2003,District of Columbia,Non-Rural,,,,
,Central Union Mission,65 Massachusetts Ave NW,Washington,DC,20001-1431,District of Columbia,Non-Rural,,,,
,Christ House,1717 Columbia Rd NW,Washington,DC,20009-2803,District of Columbia,Non-Rural,,,,
,Columbia Road Health Center,1660 Columbia Rd NW,Washington,DC,20009-3602,District of Columbia,Non-Rural,,,,
,Conway Behavioral Health Services,4420 Benning Rd NE,Washington,DC,20019-4555,District of Columbia,Non-Rural,,,,
,Downtown BID,1313 New York Ave NW Bsmt # 1,Washington,DC,20005-4701,District of Columbia,Non-Rural,,,,
,East of the River Health Center,4430 Benning Rd NE,Washington,DC,20019,District of Columbia,Non-Rural,,,,
,Friendship Place,4713 Wisconsin Ave NW,Washington,DC,20016-4609,District of Columbia,Non-Rural,,,,
,H.D. Woodson Student Health Center,540 55th St NE,Washington,DC,20019-6799,District of Columbia,Non-Rural,,,,
,Harbor Light,2100 New York Ave NE,Washington,DC,20002-1826,District of Columbia,Non-Rural,,,,
,Hope Has A Home,4515 Edson Pl NE,Washington,DC,20019-4768,District of Columbia,Non-Rural,,,,
,Isaiah House,75 Hanover Pl NW,Washington,DC,20001-1252,District of Columbia,Non-Rural,,,,
,Minnesota Avenue Health Center,3924 Minnesota Ave NE,Washington,DC,20019-2661,District of Columbia,Non-Rural,,,,
,Mobile Outreach Van,1717 Columbia Rd NW,Washington,DC,20009-2803,District of Columbia,Non-Rural,,,,
,N Street Village,1333 N St NW,Washington,DC,20005-4599,District of Columbia,Non-Rural,,,,
,New York Avenue Shelter,1355 New York Ave NE,Washington,DC,20002-1620,District of Columbia,Non-Rural,,,,
,Parkside Health Center,765 Kenilworth Ter NE,Washington,DC,20019-1898,District of Columbia,Non-Rural,,,,
,Pathways to Housing,828 Evarts St NE,Washington,DC,20018-1722,District of Columbia,Non-Rural,,,,
,Patricia Handy Place,810 5th St NW,Washington,DC,20001-2622,District of Columbia,Non-Rural,,,,
,So Others Might Eat (SOME),60 O St NW,Washington,DC,20001-1259,District of Columbia,Non-Rural,,,,
,Southwest Health Center,555 L St SE,Washington,DC,20003-3447,District of Columbia,Non-Rural,,,,
,Stanton Road Health Center,3240 Stanton Rd SE,Washington,DC,20020-2910,District of Columbia,Non-Rural,,,,
,Temporary Site - ISAQ 1,1615 New York Ave NE,Washington,DC,20002-1725,District of Columbia,Non-Rural,,,,
,Temporary Site - ISAQ 2,1917 Bladensburg Rd NE,Washington,DC,20002-1811,District of Columbia,Non-Rural,,,,
,Temporary Site - ISAQ 3,4400 Connecticut Ave NW,Washington,DC,20008-2301,District of Columbia,Non-Rural,,,,
,Temporary Site - ISAQ 4,10 I St SW,Washington,DC,20024-4266,District of Columbia,Non-Rural,,,,
,Temporary Site - PEP-V,2305 New York Ave NE,Washington,DC,20002-1905,District of Columbia,Non-Rural,,,,
,Temporary Site - Pep-V 2,1501 Rhode Island Ave NW,Washington,DC,20005-5504,District of Columbia,Non-Rural,,,,
,"Unity Health Care, Inc - Administrative Offices",1100 New Jersey Ave SE Ste 500,Washington,DC,20003-3326,District of Columbia,Non-Rural,,,,
,Upper Cardozo Health Center,3020 14th St NW,Washington,DC,20009-6865,District of Columbia,Non-Rural,,,,
Primary Care,1119991118,"Community Of Hope, Inc.",Federally Qualified Health Center,District of Columbia,"District of Columbia, DC",0,22,Designated,Non-Rural,02/28/2006,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Community of Hope Conway Health and Resource Center,S Capitol St SE & Atlantic St SE,Washington,DC,20032,District of Columbia,Non-Rural,,,,
,Community of Hope Family Health and Birth Center,801 17th St NE,Washington,DC,20002-7200,District of Columbia,Non-Rural,,,,
,Community of Hope Marie Reed Center,2155 Champlain St NW,Washington,DC,20009-2795,District of Columbia,Non-Rural,,,,
,Ketcham Elementary School,1919 15th St SE,Washington,DC,20020-4818,District of Columbia,Non-Rural,,,,
,Marie Reed Elementary School,2201 18th St NW,Washington,DC,20009-1812,District of Columbia,Non-Rural,,,,
,Moten Elementary School,1565 Morris Rd SE,Washington,DC,20020-4435,District of Columbia,Non-Rural,,,,
,The Commons,2375 Elvans Rd SE,Washington,DC,20020-3543,District of Columbia,Non-Rural,,,,
,The Triumph,4225 6th St SE,Washington,DC,20032-3613,District of Columbia,Non-Rural,,,,
Primary Care,111999110A,"BREAD FOR THE CITY, INC.",Federally Qualified Health Center,District of Columbia,"District of Columbia, DC",0,20,Designated,Non-Rural,05/01/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bread for the City's Northwest Center,1525 7th St NW,Washington,DC,20001-3201,District of Columbia,Non-Rural,,,,
Primary Care,1119991124,Family and Medical Counseling Service Inc,Federally Qualified Health Center,District of Columbia,"District of Columbia, DC",0,22,Designated,Non-Rural,06/01/2012,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
