data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1534515068,ICE - Tacoma Northwest Detention Center,Correctional Facility,Washington,"Pierce County, WA",2.98,12,Designated,Non-Rural,08/24/2004,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ICE - Tacoma Northwest Detention Center,1623 E J St Apt Su,Tacoma,WA,98421-1602,Pierce,Non-Rural,,,,
Primary Care,1535201304,CF-Washington Corrections Center,Correctional Facility,Washington,"Mason County, WA",2.84,15,Designated,Rural,02/05/2019,02/05/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CF-Washington Corrections Center,2321 W Dayton Airport Rd,Shelton,WA,98584-6319,Mason,Rural,,,,
Primary Care,15399953H5,Unity Care Northwest,Federally Qualified Health Center,Washington,"Whatcom County, WA",0,18,Designated,Non-Rural,09/30/2007,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,UCNW 1616  #101,1616 Cornwall Ave Ste 101,Bellingham,WA,98225-4642,Whatcom,Non-Rural,,,,
,UCNW 1616 #115,1616 Cornwall Ave Ste 115,Bellingham,WA,98225-4642,Whatcom,Non-Rural,,,,
,UCNW 1616 Cornwall #205,1616 Cornwall Ave Ste 205,Bellingham,WA,98225-4642,Whatcom,Non-Rural,,,,
,UCNW 218 Unity,218 Unity St,Bellingham,WA,98225-4420,Whatcom,Non-Rural,,,,
,UCNW 220 Unity,220 Unity St,Bellingham,WA,98225-4420,Whatcom,Non-Rural,,,,
,UCNW Carl Cozier Elementary School,1330 Lincoln St,Bellingham,WA,98229-6238,Whatcom,Non-Rural,,,,
,UCNW Mobile Dental,220 Unity St,Bellingham,WA,98225-4420,Whatcom,Non-Rural,,,,
,UCNW North Whatcom,6060 Portal Way,Ferndale,WA,98248-7833,Whatcom,Non-Rural,,,,
Primary Care,1538406067,ASTRIA URGENT CARE CENTER,Rural Health Clinic,Washington,"Benton County, WA",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,ASTRIA URGENT CARE CENTER,355 Chardonnay Ave,Prosser,WA,99350-9521,Benton,Rural,,,,
Primary Care,15399953PL,VALLEY INTERNAL MEDICINE,Rural Health Clinic,Washington,"Yakima County, WA",0,17,Designated,Rural,12/05/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,VALLEY INTERNAL MEDICINE,2925 Allen Rd,Sunnyside,WA,98944-8931,Yakima,Rural,,,,
Primary Care,15399953E5,COULEE FAMILY MEDICINE,Rural Health Clinic,Washington,"Grant County, WA",0,14,Designated,Rural,01/06/2004,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,COULEE FAMILY MEDICINE,411 Fortuyn Rd,Grand Coulee,WA,99133-8718,Grant,Rural,,,,
Primary Care,153999530A,COMMUNITY HEALTH ASSOCIATION OF SPOKANE,Federally Qualified Health Center,Washington,"Spokane County, WA",0,19,Designated,Non-Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHAS Administrative Offices,203 N Washington St Ste 300,Spokane,WA,99201-0254,Spokane,Non-Rural,,,,
,CHAS Health Admin Iron Bridge,611 N Iron Bridge Way,Spokane,WA,99202-4932,Spokane,Non-Rural,,,,
,CHAS Health at Rogers High School,1622 E Wellesley Ave,Spokane,WA,99207-4261,Spokane,Non-Rural,,,,
,CHAS Health Family Dental,203 E Dalke Ave,Spokane,WA,99208-8112,Spokane,Non-Rural,,,,
,Cheney Health Center,1720 2nd St,Cheney,WA,99004-1910,Spokane,Non-Rural,,,,
,Denny Murphy Clinic,1001 W 2nd Ave,Spokane,WA,99201-4503,Spokane,Non-Rural,,,,
,Latah Community Health,803 S Main St Ste 120,Moscow,ID,83843-2695,Latah,Rural,,,,
,Lewis &amp; Clark Health Center,1203 Idaho St,Lewiston,ID,83501-1940,Nez Perce,Non-Rural,,,,
,Lewis and Clark Dental Clinic,844 6th St,Clarkston,WA,99403-2013,Asotin,Non-Rural,,,,
,Maple Street Clinic,3919 N Maple St,Spokane,WA,99205-1349,Spokane,Non-Rural,,,,
,Market Street Clinic,5921 N Market St,Spokane,WA,99208-2484,Spokane,Non-Rural,,,,
,North Central Clinic,914 W Carlisle Ave,Spokane,WA,99205-3309,Spokane,Non-Rural,,,,
,North County Clinic,401 S Main St,Deer Park,WA,99006-8238,Spokane,Non-Rural,,,,
,Perry Street Clinic,817 S Perry St Unit B,Spokane,WA,99202-3443,Spokane,Non-Rural,,,,
,Southgate Clinic,5620 S Regal St Ste 11,Spokane,WA,99223-7957,Spokane,Non-Rural,,,,
,Spokane Urgent Care-North,5901 N Lidgerwood St Ste 126,Spokane,WA,99208-1122,Spokane,Non-Rural,,,,
,Spokane Urgent Care-Valley,1502 N Vercler Rd,Spokane Valley,WA,99216-1078,Spokane,Non-Rural,,,,
,Valley Clinic,15812 E Indiana Ave,Spokane Valley,WA,99216-1875,Spokane,Non-Rural,,,,
Primary Care,153999532Y,CONFLUENCE HEALTH BREWSTER,Rural Health Clinic,Washington,"Okanogan County, WA",0,17,Designated,Rural,11/04/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CONFLUENCE HEALTH BREWSTER,418 W Main Ave,Brewster,WA,98812,Okanogan,Rural,,,,
Primary Care,15399953PK,ASTRIA HEALTH CENTER,Rural Health Clinic,Washington,"Yakima County, WA",0,17,Designated,Rural,12/05/2014,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
