data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1549226776,Federal Correctional Institution - Gilmer,Correctional Facility,West Virginia,"Gilmer County, WV",1.73,12,Designated,Rural,11/16/2005,12/31/2018
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Federal Correctional Institution - Gilmer,201 Fci Ln,Glenville,WV,26351-9500,Gilmer,Rural,,,,
Primary Care,1546820362,FCC-Hazelton,Correctional Facility,West Virginia,"Preston County, WV",3.24,12,Designated,Non-Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCC-Hazelton,1640 Skyview Ln,Bruceton Mills,WV,26525-6891,Preston,Non-Rural,,,,
Primary Care,1541530052,FCI-Beckley,Correctional Facility,West Virginia,"Raleigh County, WV",1.48,12,Designated,Non-Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-Beckley,1600 Industrial Park Rd,Beaver,WV,25813-9529,Raleigh,Non-Rural,,,,
Primary Care,1544427577,FCI-McDowell,Correctional Facility,West Virginia,"McDowell County, WV",1.27,21,Designated,Rural,02/01/2019,02/01/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,FCI-McDowell,101 Federal Dr,Welch,WV,24801-9756,McDowell,Rural,,,,
Primary Care,1549995466,"Tug River Health Association, Inc",Federally Qualified Health Center,West Virginia,"McDowell County, WV",0,20,Designated,Rural,05/08/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MOUNT VIEW MIDDLE HIGH SCHOOL HC,959 Mt View High School Rd,Welch,WV,24801,McDowell,Rural,,,,
,Pineville Children's Center,585 Appalachian Hwy,Pineville,WV,24874,Wyoming,Rural,,,,
,TUG RIVER HEALTH ASSOCIATION,34035 Coal Heritage Rd,Northfork,WV,24868,McDowell,Rural,,,,
,TUG RIVER HEALTH CENTER,5883 Black Diamond Hwy,Welch,WV,24801,McDowell,Rural,,,,
,Tug Riverview Health Center,556 Mountaineer Hwy,Jolo,WV,24850,McDowell,Rural,,,,
Primary Care,1549995480,Clay-Battelle Health Services Association,Federally Qualified Health Center,West Virginia,"Monongalia County, WV",0,11,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,CHC OF NORTHEASTERN WETZEL CTY,60 May Ln Ste 102,Burton,WV,26562-9669,Wetzel,Rural,,,,
,CLAY-BATTELLE COMMUNITY HEALTH CENTER,5861 Mason Dixon Hwy,Blacksville,WV,26521-8300,Monongalia,Non-Rural,,,,
Primary Care,15499954AK,BRADSHAW MEDICAL CLINIC,Rural Health Clinic,West Virginia,"McDowell County, WV",0,22,Designated,Rural,01/27/2010,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BRADSHAW MEDICAL CLINIC,9981 Marshall Hwy,Jolo,WV,24850,McDowell,Rural,,,,
Primary Care,1549995467,"Community Care of West Virginia, Inc.",Federally Qualified Health Center,West Virginia,"Upshur County, WV",0,17,Designated,Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Adamston Elementary School Wellness Center,1636 W Pike St,Clarksburg,WV,26301-2361,Harrison,Rural,,,,
,Alternative Learning Center School Wellness Center,1349 Shinnston Pike,Clarksburg,WV,26301-6307,Harrison,Rural,,,,
,Big Elm Elementary School Wellness Center,200 Tetrick Rd,Shinnston,WV,26431-9704,Harrison,Rural,,,,
,Big Otter Clinic,797 Clinic Dr,Ivydale,WV,25113-8263,Clay,Non-Rural,,,,
,Big Otter Elementary Wellness Center,59 Ossia Rd,Duck,WV,25063-8500,Clay,Non-Rural,,,,
,Braxton County High School Wellness Center,200 Jerry Burton Dr,Sutton,WV,26601-9768,Braxton,Rural,,,,
,Braxton County Middle School Wellness Center,100 Carter Braxton Dr,Sutton,WV,26601-9773,Braxton,Rural,,,,
,Bridgeport High School Wellness Center,515 Johnson Ave,Bridgeport,WV,26330-1311,Harrison,Rural,,,,
,Bridgeport Middle School Wellness Center,413 Johnson Ave,Bridgeport,WV,26330-1309,Harrison,Rural,,,,
,Buckhannon Academy Elementary School Wellness Center,16 College Ave,Buckhannon,WV,26201-2628,Upshur,Rural,,,,
,Buckhannon-Upshur High School Wellness Center,50 Bu Dr,Buckhannon,WV,26201-9411,Upshur,Rural,,,,
,Buckhannon-Upshur Middle School Wellness Center,PO BOX 303,Buckhannon,WV,26201-0303,Upshur,Rural,,,,
,Burnsville Elementary School Wellness Center,228 Kanawha Ave,Burnsville,WV,26335-7700,Braxton,Rural,,,,
,Care Xpress and Pediatrics of Buckhannon,4 Northridge Dr Ste 118,Buckhannon,WV,26201-8484,Upshur,Rural,,,,
,Clay Elementary School Wellness Center,168 Church St,Clay,WV,25043-9420,Clay,Non-Rural,,,,
,Clay High School Wellness Center,1 Panther Dr,Clay,WV,25043,Clay,Non-Rural,,,,
,Clay Middle School Wellness Center,236 Church St,Clay,WV,25043-9412,Clay,Non-Rural,,,,
,Community Care Call Center,100 Garden Fresh Plaza Dr,Buckhannon,WV,26201-4052,Upshur,Rural,,,,
,Community Care of Bridgeport,65 Professional Pl,Bridgeport,WV,26330-0258,Harrison,Rural,,,,
,Community Care of Buckhannon,37 Main St,Buckhannon,WV,26201-2716,Upshur,Rural,,,,
,Community Care of Clarksburg,700 Oakmound Rd,Clarksburg,WV,26301-9398,Harrison,Rural,,,,
,Community Care of Flatwoods,266 Skidmore Ln,Sutton,WV,26601-9271,Braxton,Rural,,,,
,Community Care of Flatwoods Extension Office,249 Skidmore Ln,Sutton,WV,26601-9272,Braxton,Rural,,,,
