data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find,data.HRSA.gov – HPSA Find
,,,,,,,,,,,
Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,1563295786,LI - Western Uinta,Low Income Population HPSA,Wyoming,"Uinta County, WY",1.09,16,Designated,Rural,12/27/2018,12/27/2018
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,
,Wyoming,Uinta County,9753,Census Tract,56041975300,Rural,,,,,
,Wyoming,Uinta County,9754,Census Tract,56041975400,Rural,,,,,
Primary Care,1569995635,"Community Health Center of Central Wyoming, Inc.",Federally Qualified Health Center,Wyoming,"Natrona County, WY",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Community Health Center of Central Wyoming,5000 Blackmore Rd,Casper,WY,82609-3345,Natrona,Non-Rural,,,,
,Community Health Center of Central Wyoming-Riverton,2002 W Sunset Dr Ste 2,Riverton,WY,82501-2285,Fremont,Rural,,,,
,Cougar Community Health Center,223 N Cherry St Bldg,Pavillion,WY,82523-5005,Fremont,Rural,,,,
,DUBOIS MEDICAL CLINIC,5647 US Highway 26,Dubois,WY,82513-9607,Fremont,Rural,,,,
,Fremont County Pediatrics and Community Health,115 Wyoming St,Lander,WY,82520-3919,Fremont,Rural,,,,
,Fremont County Pediatrics and Community Health,704 E Fremont Ave,Riverton,WY,82501-4421,Fremont,Rural,,,,
Primary Care,1569995642,HULETT CLINIC,Rural Health Clinic,Wyoming,"Crook County, WY",0,11,Designated,Rural,10/30/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,HULETT CLINIC,122 Main St,Hulett,WY,82720,Crook,Rural,,,,
Primary Care,1564403722,BRIDGER VALLEY MEDICAL GROUP,Rural Health Clinic,Wyoming,"Uinta County, WY",0,15,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,BRIDGER VALLEY MEDICAL GROUP,531 Parkway Dr,Mountain View,WY,82939,Uinta,Rural,,,,
Primary Care,1561043674,WIND RIVER CARES - RIVERTON,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Wyoming,"Fremont County, WY",0,17,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,WIND RIVER CARES - RIVERTON,511 N 12th St E,Riverton,WY,82501-3809,Fremont,Rural,,,,
Primary Care,1499994973,"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Utah,"Rich County, UT",0,16,Designated,Rural,09/30/2003,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Bear Lake Community Health Center - Montpelier,152 S 4th St,Montpelier,ID,83254-1538,Bear Lake,Rural,,,,
,"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",325 W Logan Rd,Garden City,UT,84028,Rich,Rural,,,,
,Box Elder Communty Health Center,5 W 200 N,Brigham City,UT,84302-2109,Box Elder,Non-Rural,,,,
,Cache Valley Community Health Center,1515 N 400 E Ste 104,North Logan,UT,84341-7595,Cache,Non-Rural,,,,
,Cache Valley Community Health Center South,517 W 100 N Ste 210,Providence,UT,84332-9826,Cache,Non-Rural,,,,
,Cache Valley Community Health Center South,517 W 100 N Ste 110,Providence,UT,84332-9826,Cache,Non-Rural,,,,
,Evanston Community Health Center,75 Yellow Creek Rd Ste 102,Evanston,WY,82930-5205,Uinta,Rural,,,,
,Rock Springs Community Health Center,2620 Commercial Way,Rock Springs,WY,82901-4671,Sweetwater,Rural,,,,
Primary Care,1309993055,Montana Migrant & Seasonal Farm Workers Council Inc,Federally Qualified Health Center,Montana,"Yellowstone County, MT",0,19,Designated,Non-Rural,10/26/2002,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,Ag Worker Health & Services,233 E 2nd St,Powell,WY,82435-1900,Park,Rural,,,,
,Ag Worker Health & Services,General Delivery,Bigfork,MT,59911-9999,Flathead,Rural,,,,
,Ag Worker Health &amp; Services,35432 Mt Highway 35,Polson,MT,59860-8999,Lake,Rural,,,,
,Mobile Dental,General Delivery,Bridger,MT,59014-9999,Carbon,Non-Rural,,,,
,"Montana Migrant & Seasonal Farmworkers Council, Inc.",9801 Valley Grove Dr,Lolo,MT,59847-8617,Missoula,Non-Rural,,,,
,"Montana Migrant and Seasonal Farmworkers Council, Inc.",116 N Washington St,Dillon,MT,59725-2631,Beaverhead,Rural,,,,
,"Montana Migrant and Seasonal Farmworkers Council, Inc.",General Delivery,Polson,MT,59860-9999,Lake,Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",35511 County Road 134,Fairview,MT,59221-9465,Richland,Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",300 S Finley Point Rd,Polson,MT,59860-9698,Lake,Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",General Delivery,Bridger,MT,59014-9999,Carbon,Non-Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",3318 3rd Ave N Ste 100,Billings,MT,59101-1900,Yellowstone,Non-Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",General Delivery,Glendive,MT,59330-9999,Dawson,Rural,,,,
,"MONTANA MIGRANT COUNCIL, INC.",General Delivery,Forsyth,MT,59327-9999,Rosebud,Rural,,,,
Primary Care,1562363627,MEDICINE BOW HEALTH CENTER,Rural Health Clinic,Wyoming,"Carbon County, WY",0,11,Designated,Rural,08/18/2019,08/18/2019
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,
,MEDICINE BOW HEALTH CENTER,514 Idaho St,Medicine Bow,WY,82329,Carbon,Rural,,,,
