countyFIPS,6/15/2020,Cases_Jun_8,State_name,State,County_name,Latitude,Longitude,LAND_AREA,Tot_Pop_ACS_14_18,Med_HHD_Inc_ACS_14_18($),Prs_Blw_Pov_Lev_ACS_14_18,pct_NoHealthIns_65P_ACS_14_18,pct_One_Health_Ins_ACS_14_18,Deaths_Jun_15,Region,Pop_density,CFR(%)
1001,368,272,Alabama,AL,Autauga County,32.536382,-86.6445,594.437,55200.0,58786.0,8422.0,0.0,72.36,6,South,93.0,2.2
1003,383,320,Alabama,AL,Baldwin County,30.659218,-87.7461,1589.786,208107.0,55962.0,21653.0,0.41,69.54,9,South,131.0,2.8
1005,238,197,Alabama,AL,Barbour County,31.87067,-85.4055,884.875,25782.0,34186.0,6597.0,0.29,58.07,1,South,29.0,0.5
1007,111,79,Alabama,AL,Bibb County,33.015893,-87.1271,622.581,22527.0,45340.0,2863.0,0.0,65.9,1,South,36.0,1.3
1009,116,73,Alabama,AL,Blount County,33.977447999999995,-86.5672,644.775,57645.0,48695.0,8220.0,0.63,69.34,1,South,89.0,1.4
1011,307,238,Alabama,AL,Bullock County,32.101759,-85.7173,622.805,10352.0,32152.0,3110.0,1.26,72.27,9,South,17.0,3.8
1013,544,455,Alabama,AL,Butler County,31.751666999999998,-86.682,776.827,20025.0,39109.0,4640.0,0.0,64.94,25,South,26.0,5.5
1015,204,178,Alabama,AL,Calhoun County,33.771706,-85.8225,605.865,115098.0,45197.0,20819.0,0.26,66.71,3,South,190.0,1.7
1017,475,383,Alabama,AL,Chambers County,32.917943,-85.3918,596.533,33826.0,39872.0,5531.0,0.19,68.99,26,South,57.0,6.8
1019,53,42,Alabama,AL,Cherokee County,34.069515,-85.6542,553.7,25853.0,41014.0,3827.0,0.22,66.55,5,South,47.0,11.9
1021,141,111,Alabama,AL,Chilton County,32.85406,-86.7266,692.8539999999999,43930.0,45182.0,8034.0,0.71,67.29,2,South,63.0,1.8
1023,176,156,Alabama,AL,Choctaw County,31.991008,-88.2489,913.4989999999999,13075.0,34884.0,2864.0,0.0,63.53,11,South,14.0,7.1
1025,192,158,Alabama,AL,Clarke County,31.685521,-87.8186,1238.4660000000001,24387.0,36127.0,6088.0,1.34,66.28,3,South,20.0,1.9
1027,30,29,Alabama,AL,Clay County,33.267809,-85.8621,603.961,13378.0,41225.0,2405.0,0.0,64.75,2,South,22.0,6.9
1029,22,19,Alabama,AL,Cleburne County,33.671981,-85.5161,560.1,14938.0,40188.0,2719.0,1.4,67.57,1,South,27.0,5.3
1031,294,248,Alabama,AL,Coffee County,31.402183,-85.9892,678.971,51288.0,53155.0,7604.0,0.14,63.06,1,South,76.0,0.4
1033,272,212,Alabama,AL,Colbert County,34.703112,-87.8015,592.618,54495.0,47558.0,8785.0,0.07,70.73,5,South,92.0,2.4
