FIPS,Geog_Level,State_name,County_name,Lat_State,Lon_State,LAND_AREA,Med_HHD_Inc_ACS_14_18($),Aggregate_HH_INC_ACS_14_18($),Tot_Pop_CEN_2010,Tot_Pop_ACS_14_18,Pop_65plus_ACS_14_18,NH_Blk_alone_ACS_14_18,Pov_Univ_ACS_14_18,Prs_Blw_Pov_Lev_ACS_14_18,One_Health_Ins_ACS_14_18,No_Health_Ins_ACS_14_18,pct_Pov_Univ_ACS_14_18,pct_Prs_Blw_Pov_Lev_ACS_14_18,pct_One_Health_Ins_ACS_14_18,pct_No_Health_Ins_ACS_14_18,pct_NoHealthIns_65P_ACS_14_18,pct_Pop_NoCompDevic_ACS_14_18,pct_Pop_w_BroadComp_ACS_14_18,pct_HHD_NoCompDevic_ACS_14_18,pct_HHD_No_Internet_ACS_14_18,pct_HHD_w_Broadband_ACS_14_18,State,County,Latitude,Longitude
1000,State,Alabama,All counties,32.7794,-86.8287,50645.319,48486,1.25091E+11,4779736,4864680,783832,1285737,4742208,829400,3401905,477474,97.48,17.49,69.93,9.82,0.41,11.71,77.81,16.61,22.4,56.41,,,,
1001,County,Alabama,Autauga County,,,594.437,58786,1594492400,54571,55200,8050,10475,54765,8422,39945,3875,99.21,15.38,72.36,7.02,0,8.18,84,13.01,19.03,61.97,AL,Autauga,32.536382,-86.6445
1003,County,Alabama,Baldwin County,,,1589.786,55962,6070564600,182265,208107,40665,19529,204929,21653,144712,20864,98.47,10.57,69.54,10.03,0.41,7.21,83.03,11.43,16.83,57.24,AL,Baldwin,30.659218,-87.7461
1005,County,Alabama,Barbour County,,,884.875,34186,440096500,27457,25782,4634,12199,22856,6597,14971,2558,88.65,28.86,58.07,9.92,0.29,18.02,64.92,23.95,34.11,38.84,AL,Barbour,31.87067,-85.4055
1007,County,Alabama,Bibb County,,,622.581,45340,400338900,22915,22527,3661,4974,20468,2863,14845,1619,90.86,13.99,65.9,7.19,0,17.2,72.83,23.73,29.24,33.42,AL,Bibb,33.015893,-87.1271
1009,County,Alabama,Blount County,,,644.775,48695,1249317400,57322,57645,10233,820,57082,8220,39972,6303,99.02,14.4,69.34,10.93,0.63,14.39,74.34,21.35,27.35,49.47,AL,Blount,33.977448,-86.5672
1011,County,Alabama,Bullock County,,,622.805,32152,164266400,10914,10352,1616,7893,9909,3110,7481,1076,95.72,31.39,72.27,10.39,1.26,18.88,61.98,27.1,31.95,41.98,AL,Bullock,32.101759,-85.7173
1013,County,Alabama,Butler County,,,776.827,39109,353041600,20947,20025,3806,9027,19707,4640,13004,2005,98.41,23.54,64.94,10.01,0,24.69,65.04,29.89,33.65,44.34,AL,Butler,31.751667,-86.682
1015,County,Alabama,Calhoun County,,,605.865,45197,2776430700,118572,115098,19386,23618,111981,20819,76777,10686,97.29,18.59,66.71,9.28,0.26,10.05,77.56,15.34,21.94,55.46,AL,Calhoun,33.771706,-85.8225
1017,County,Alabama,Chambers County,,,596.533,39872,723825600,34215,33826,6409,13319,33274,5531,23335,3613,98.37,16.62,68.99,10.68,0.19,17.95,72.76,24.24,30.82,47.83,AL,Chambers,32.917943,-85.3918
1019,County,Alabama,Cherokee County,,,553.7,41014,589815400,25989,25853,5621,1267,25501,3827,17206,2133,98.64,15.01,66.55,8.25,0.22,12.72,75.61,19.9,26.01,43.46,AL,Cherokee,34.069515,-85.6542
1021,County,Alabama,Chilton County,,,692.854,45182,1051480600,43643,43930,6927,4112,43260,8034,29561,6176,98.47,18.57,67.29,14.06,0.71,14.86,67.88,21.96,32.81,38.92,AL,Chilton,32.85406,-86.7266
1023,County,Alabama,Choctaw County,,,913.499,34884,279521300,13859,13075,2884,5570,12875,2864,8307,1481,98.47,22.24,63.53,11.33,0,17.93,65.61,25.94,35.85,40.58,AL,Choctaw,31.991008,-88.2489
