Sort,FIPS,State,County,Latitude,Longitude
1,1001,AL,Autauga,32.536382,-86.6445
2,1003,AL,Baldwin,30.659218,-87.7461
3,1005,AL,Barbour,31.87067,-85.4055
4,1007,AL,Bibb,33.015893,-87.1271
5,1009,AL,Blount,33.977448,-86.5672
6,1011,AL,Bullock,32.101759,-85.7173
7,1013,AL,Butler,31.751667,-86.682
8,1015,AL,Calhoun,33.771706,-85.8225
9,1017,AL,Chambers,32.917943,-85.3918
10,1019,AL,Cherokee,34.069515,-85.6542
11,1021,AL,Chilton,32.85406,-86.7266
12,1023,AL,Choctaw,31.991008,-88.2489
13,1025,AL,Clarke,31.685521,-87.8186
14,1027,AL,Clay,33.267809,-85.8621
15,1029,AL,Cleburne,33.671981,-85.5161
16,1031,AL,Coffee,31.402183,-85.9892
17,1033,AL,Colbert,34.703112,-87.8015
18,1035,AL,Conecuh,31.428293,-86.992
19,1037,AL,Coosa,32.931445,-86.2435
20,1039,AL,Covington,31.243987,-86.4487
21,1041,AL,Crenshaw,31.732826,-86.3192
22,1043,AL,Cullman,34.131923,-86.8693
23,1045,AL,Dale,31.430654,-85.6095
24,1047,AL,Dallas,32.33354,-87.1144
25,1049,AL,DeKalb,34.460929,-85.804
26,1051,AL,Elmore,32.597229,-86.1427
27,1053,AL,Escambia,31.121748,-87.1684
28,1055,AL,Etowah,34.047638,-86.0344
29,1057,AL,Fayette,33.732249,-87.752
30,1059,AL,Franklin,34.441988,-87.8428
31,1061,AL,Geneva,31.090866,-85.8243
32,1063,AL,Greene,32.844497,-87.9642
33,1065,AL,Hale,32.752796,-87.6231
34,1067,AL,Henry,31.516978,-85.24
35,1069,AL,Houston,31.158193,-85.2964
36,1071,AL,Jackson,34.763522,-85.9774
37,1073,AL,Jefferson,33.553444,-86.8965
38,1075,AL,Lamar,33.787085,-88.0874
39,1077,AL,Lauderdale,34.904122,-87.651
40,1079,AL,Lawrence,34.529776,-87.3219
41,1081,AL,Lee,32.604064,-85.353
42,1083,AL,Limestone,34.810239,-86.9814
43,1085,AL,Lowndes,32.147888,-86.6506
44,1087,AL,Macon,32.387027,-85.6929
45,1089,AL,Madison,34.764238,-86.5511
46,1091,AL,Marengo,32.247591,-87.7911
47,1093,AL,Marion,34.138219,-87.8816
48,1095,AL,Marshall,34.309564,-86.3217
49,1097,AL,Mobile,30.684573,-88.1966
50,1099,AL,Monroe,31.580332,-87.3833
51,1101,AL,Montgomery,32.203651,-86.2038
52,1103,AL,Morgan,34.454484,-86.8464
53,1105,AL,Perry,32.639005,-87.2938
54,1107,AL,Pickens,33.296809,-88.0969
55,1109,AL,Pike,31.798726,-85.942
56,1111,AL,Randolph,33.296475,-85.4641
57,1113,AL,Russell,32.289811,-85.187
58,1115,AL,St. Clair,33.712963,-86.3157
59,1117,AL,Shelby,33.262937,-86.6781
60,1119,AL,Sumter,32.597481,-88.2001
61,1121,AL,Talladega,33.369277,-86.1758
62,1123,AL,Tallapoosa,32.863369,-85.7996
63,1125,AL,Tuscaloosa,33.290202,-87.5229
